src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,5,0.2030
0,2,1,0.3263
0,3,3,0.1776
0,4,2,0.1247
0,5,3,0.1084
0,6,0,0.0472
0,7,6,0.1801
0,8,4,-0.0107
1,0,4,0.1130
1,1,0,1.0000
1,2,6,-0.2243
1,3,2,-0.0214
1,4,5,-0.1535
1,5,2,0.1387
1,6,6,0.3222
1,7,0,0.9434
1,8,6,0.8228
2,0,1,0.2609
2,1,6,0.7705
2,2,0,1.0000
2,3,4,0.2085
2,4,1,0.2360
2,5,6,0.1412
2,6,0,0.5585
2,7,6,0.8068
2,8,6,-0.2969
3,0,1,0.2486
3,1,0,-0.0404
3,2,6,0.2409
3,3,0,1.0000
3,4,0,0.4832
3,5,0,0.4017
3,6,0,0.2048
3,7,2,-0.1040
3,8,1,0.2813
4,0,2,0.2648
4,1,6,0.0671
4,2,3,0.3891
4,3,0,0.4832
4,4,0,1.0000
4,5,0,0.4612
4,6,2,0.3905
4,7,6,0.0886
4,8,0,0.0920
5,0,2,0.2555
5,1,0,0.0428
5,2,6,0.3219
5,3,0,0.4017
5,4,0,0.4612
5,5,0,1.0000
5,6,2,0.1940
5,7,1,-0.0459
5,8,2,0.3611
6,0,1,0.0778
6,1,6,0.4156
6,2,2,0.8693
6,3,0,0.2048
6,4,3,0.3891
6,5,0,0.0702
6,6,0,1.0000
6,7,6,0.3723
6,8,0,0.3090
7,0,6,0.1177
7,1,0,0.9434
7,2,6,-0.2768
7,3,2,-0.0427
7,4,5,-0.1952
7,5,4,0.0955
7,6,6,0.3484
7,7,0,1.0000
7,8,6,0.8904
8,0,5,0.1249
8,1,0,-0.3376
8,2,6,0.7775
8,3,6,0.1929
8,4,4,0.3708
8,5,0,0.1681
8,6,4,0.8459
8,7,0,-0.3220
8,8,0,1.0000
