t_idx,node_idx,curvature,density
0,0,0.000000,39033.5400
0,1,0.000000,86452.4100
0,2,0.000000,30692.7400
0,3,0.000000,20862.2300
0,4,0.000000,5361.8600
0,5,0.000000,4468.6500
0,6,0.000000,47418.8700
0,7,0.000000,86528.0300
0,8,0.000000,86528.0300
1,0,0.000000,48461.4100
1,1,0.000000,89845.7100
1,2,0.000000,68298.4600
1,3,0.000000,17202.1000
1,4,0.000000,5238.8700
1,5,0.000000,8630.8200
1,6,0.000000,57446.2700
1,7,0.000000,104067.6000
1,8,0.000000,125232.3000
2,0,6337.140000,60046.0200
2,1,2540.800000,99192.0900
2,2,31609.980000,134195.6800
2,3,4815.720000,18357.6900
2,4,732.520000,4383.3600
2,5,3652.240000,9140.7500
2,6,1706.140000,69179.8100
2,7,3156.380000,124763.5500
2,8,26794.360000,197043.6900
3,0,28709.930000,63004.0800
3,1,30802.530000,97819.3200
3,2,8203.460000,157274.1200
3,3,148.160000,19365.1200
3,4,1740.810000,5268.6600
3,5,232.070000,9418.6100
3,6,20760.840000,60152.5100
3,7,36855.120000,108604.3800
3,8,11344.000000,206488.8400
4,0,31238.580000,67905.7200
4,1,22691.320000,89842.8700
4,2,14959.880000,187650.3200
4,3,1910.010000,18462.5400
4,4,2026.520000,4127.4400
4,5,1525.730000,8170.7400
4,6,8043.820000,59169.0300
4,7,14833.120000,107278.3300
4,8,18664.180000,226936.0500
5,0,18710.470000,71992.0700
5,1,15943.400000,83818.2000
5,2,23280.970000,180983.7900
5,3,987.020000,16572.9400
5,4,3447.840000,6434.0600
5,5,421.180000,7344.0500
5,6,6995.810000,51189.7400
5,7,12064.870000,93887.4100
5,8,18096.980000,205156.5400
6,0,25952.080000,62554.7000
6,1,7890.380000,82331.5100
6,2,30034.170000,168229.5300
6,3,4726.280000,19409.6200
6,4,5632.350000,3108.3300
6,5,2583.020000,9100.3800
6,6,1676.200000,41534.2500
6,7,6688.400000,73808.0900
6,8,18661.620000,188661.8500
7,0,65132.950000,92947.8600
7,1,12324.480000,67866.8800
7,2,72709.810000,178726.2000
7,3,4461.250000,17785.0500
7,4,2633.330000,2415.9300
7,5,2673.450000,8183.2600
7,6,326.730000,31552.0300
7,7,3234.000000,56962.7700
7,8,27963.440000,150671.7200
8,0,86277.880000,60187.1600
8,1,12418.820000,64107.4500
8,2,63676.290000,116856.1200
8,3,2850.110000,19010.5900
8,4,2578.450000,4301.9800
8,5,1265.790000,8531.9300
8,6,856.810000,20713.0000
8,7,3160.740000,36956.7100
8,8,1184.490000,105175.6200
9,0,78370.590000,67780.7500
9,1,34138.890000,56470.6100
9,2,44289.700000,123697.3000
9,3,4316.140000,15919.9900
9,4,468.120000,5719.9100
9,5,1922.300000,10802.9000
9,6,15130.740000,25004.7100
9,7,29088.740000,46039.3900
9,8,16877.960000,100979.0400
10,0,18594.430000,81559.3500
10,1,10358.450000,63254.7600
10,2,3038.690000,122512.2700
10,3,4789.130000,17618.5200
10,4,2403.340000,4734.5000
10,5,1713.530000,11360.3400
10,6,2031.270000,31327.6900
10,7,1361.940000,56484.0100
10,8,3855.700000,95650.6400
11,0,44763.260000,64229.4900
11,1,189.360000,83504.3500
11,2,58871.300000,101983.9600
11,3,1340.430000,17976.6200
11,4,2723.230000,6472.3200
11,5,2554.230000,9363.5500
11,6,6638.040000,44288.7100
11,7,12090.910000,79019.5400
11,8,7673.100000,122177.1600
12,0,53057.820000,74360.7500
12,1,9816.280000,87973.5200
12,2,15109.370000,140956.0800
12,3,331.320000,18003.4000
12,4,3520.830000,4689.3100
12,5,897.580000,8264.3400
12,6,2982.070000,54267.6600
12,7,4703.000000,96852.0700
12,8,26898.530000,166196.2100
13,0,10805.830000,82787.1000
13,1,14066.150000,87477.4600
13,2,22903.090000,152641.9700
13,3,770.120000,18800.3000
13,4,2440.130000,5346.4300
13,5,853.550000,8018.6800
13,6,9515.690000,54730.9200
13,7,16504.540000,98180.0600
13,8,8590.120000,168616.0600
14,0,47266.490000,49322.7000
14,1,8040.450000,100397.5900
14,2,69647.090000,138650.1900
14,3,2400.940000,17196.2600
14,4,670.700000,5332.8500
14,5,12.120000,7760.9000
14,6,10728.320000,65922.5000
14,7,22394.210000,121902.2600
14,8,409.500000,215414.8300
15,0,74149.990000,86372.4300
15,1,14449.950000,95231.9100
15,2,62685.860000,208389.9500
15,3,4208.580000,19800.8000
15,4,91.620000,5227.6500
15,5,3240.320000,4262.8000
15,6,16267.880000,60846.2000
15,7,35243.790000,110380.6700
15,8,45766.630000,237492.6500
16,0,74135.130000,48814.9100
16,1,2599.710000,92193.8200
16,2,18504.180000,144880.5900
16,3,6066.510000,16338.8300
16,4,1357.700000,3764.7500
16,5,5918.750000,6683.4500
16,6,2363.650000,58133.5500
16,7,8232.780000,107091.8600
16,8,65605.250000,210430.7800
17,0,41586.220000,65422.8100
17,1,15015.000000,86719.9300
17,2,23649.950000,162074.1600
17,3,6590.520000,19467.3800
17,4,1963.470000,4265.3200
17,5,4253.370000,4850.7300
17,6,8725.400000,46695.5000
17,7,18430.940000,85372.1100
17,8,46957.430000,193464.4600
18,0,31331.670000,79311.7400
18,1,20785.610000,67981.0100
18,2,25254.860000,184036.2900
18,3,4865.890000,17730.0400
18,4,1981.100000,6746.9900
18,5,3590.150000,6608.1600
18,6,3760.290000,39017.7400
18,7,6546.570000,70198.9300
18,8,16789.720000,172801.5600
19,0,53630.470000,70550.3800
19,1,19099.570000,61122.7000
19,2,24605.830000,150710.9500
19,3,630.850000,15361.8500
19,4,3478.050000,5750.6100
19,5,2302.630000,10668.2200
19,6,3609.480000,27730.5000
19,7,3869.900000,51155.8500
19,8,11470.920000,132927.9400
20,0,8135.770000,72454.4500
20,1,1097.060000,55696.9900
20,2,2239.910000,125182.7000
20,3,3148.730000,16142.3900
20,4,607.100000,5361.3300
20,5,8137.930000,6590.3500
20,6,167.770000,16611.0300
20,7,135.290000,31977.4800
20,8,2913.880000,95697.6200
21,0,9345.290000,54645.3100
21,1,35475.010000,56687.7900
21,2,13019.210000,99537.1600
21,3,3492.700000,13430.2300
21,4,700.290000,4271.7600
21,5,2808.700000,5321.1800
21,6,20945.760000,26437.3200
21,7,35204.190000,48003.3000
21,8,28753.230000,100122.4500
22,0,23438.720000,90451.5100
22,1,20838.390000,67016.8200
22,2,42310.130000,131635.2900
22,3,7036.980000,17755.0500
22,4,665.750000,3847.9400
22,5,3797.140000,7849.1500
22,6,5750.080000,30513.5300
22,7,8244.650000,55784.4700
22,8,15961.420000,104019.4000
23,0,44515.390000,40194.8000
23,1,11780.370000,47578.7000
23,2,79195.190000,46664.8700
23,3,22079.870000,0.0000
23,4,3424.120000,0.0000
23,5,7338.730000,3038.3900
23,6,8993.390000,25596.3500
23,7,17157.820000,46407.8200
23,8,1778.860000,71821.8500
