t_idx,node_idx,fk_echo_impact
0,0,0.0000
0,1,0.0000
0,2,0.0000
0,3,0.0000
0,4,0.0000
0,5,0.0000
0,6,0.0000
0,7,100.0000
0,8,85.0000
1,0,0.0000
1,1,0.0000
1,2,72.2500
1,3,39.1227
1,4,8.8599
1,5,13.4299
1,6,0.0000
1,7,100.0000
1,8,85.0000
2,0,35.4289
2,1,30.1146
2,2,72.2500
2,3,14.2559
2,4,4.5939
2,5,7.1338
2,6,25.5974
2,7,100.0000
2,8,85.0000
3,0,28.6772
3,1,24.3756
3,2,72.2500
3,3,17.4782
3,4,8.2216
3,5,7.0355
3,6,20.7193
3,7,100.0000
3,8,85.0000
4,0,38.0764
4,1,32.3649
4,2,72.2500
4,3,14.9703
4,4,3.4071
4,5,4.9587
4,6,27.5102
4,7,100.0000
4,8,85.0000
5,0,30.5896
5,1,26.0012
5,2,72.2500
5,3,19.1263
5,4,3.2823
5,5,8.4143
5,6,22.1010
5,7,100.0000
5,8,85.0000
6,0,38.9507
6,1,33.1081
6,2,72.2500
6,3,14.4132
6,4,3.7279
6,5,4.3207
6,6,28.1419
6,7,100.0000
6,8,85.0000
7,0,31.9268
7,1,27.1378
7,2,72.2500
7,3,16.9561
7,4,2.7657
7,5,9.7639
7,6,23.0671
7,7,100.0000
7,8,85.0000
8,0,35.7713
8,1,30.4056
8,2,72.2500
8,3,17.0195
8,4,5.6497
8,5,2.9720
8,6,25.8448
8,7,100.0000
8,8,85.0000
9,0,27.6102
9,1,23.4686
9,2,72.2500
9,3,20.1983
9,4,5.2115
9,5,8.3925
9,6,19.9483
9,7,100.0000
9,8,85.0000
10,0,37.7010
10,1,32.0459
10,2,72.2500
10,3,15.8445
10,4,4.2842
10,5,3.5828
10,6,27.2390
10,7,100.0000
10,8,85.0000
11,0,19.0590
11,1,16.2001
11,2,72.2500
11,3,25.5860
11,4,8.0615
11,5,8.7061
11,6,13.7701
11,7,100.0000
11,8,85.0000
12,0,32.3165
12,1,27.4690
12,2,72.2500
12,3,17.5002
12,4,3.7675
12,5,7.8284
12,6,23.3486
12,7,100.0000
12,8,85.0000
13,0,30.2849
13,1,25.7421
13,2,72.2500
13,3,18.4302
13,4,5.9566
13,5,6.7409
13,6,21.8808
13,7,100.0000
13,8,85.0000
14,0,31.8357
14,1,27.0604
14,2,72.2500
14,3,18.9819
14,4,5.4707
14,5,5.1242
14,6,23.0013
14,7,100.0000
14,8,85.0000
15,0,34.8048
15,1,29.5841
15,2,72.2500
15,3,15.9511
15,4,3.9450
15,5,6.7116
15,6,25.1465
15,7,100.0000
15,8,85.0000
16,0,34.1297
16,1,29.0102
16,2,72.2500
16,3,17.8776
16,4,4.2240
16,5,5.1813
16,6,24.6587
16,7,100.0000
16,8,85.0000
17,0,30.5849
17,1,25.9972
17,2,72.2500
17,3,18.0128
17,4,5.0422
17,5,7.7726
17,6,22.0976
17,7,100.0000
17,8,85.0000
18,0,36.9721
18,1,31.4263
18,2,72.2500
18,3,14.5079
18,4,4.6811
18,5,5.2514
18,6,26.7123
18,7,100.0000
18,8,85.0000
19,0,34.5481
19,1,29.3659
19,2,72.2500
19,3,15.7685
19,4,4.2297
19,5,6.8661
19,6,24.9610
19,7,100.0000
19,8,85.0000
20,0,31.7710
20,1,27.0054
20,2,72.2500
20,3,18.2704
20,4,5.9735
