t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,-39622.8200,0.0000,0.0000,39622.8200,1000000.0000,0.0000
0,1,-7033.6200,0.0000,0.0000,7033.6200,1000000.0000,0.0000
0,2,-30704.2500,0.0000,0.0000,30704.2500,1000000.0000,0.0000
0,3,17707.1500,0.0000,0.0000,17707.1500,1000000.0000,0.0000
0,4,4494.2000,0.0000,0.0000,4494.2000,1000000.0000,0.0000
0,5,8502.9000,0.0000,0.0000,8502.9000,1000000.0000,0.0000
0,6,46656.4400,0.0000,0.0000,46656.4400,1000000.0000,0.0000
0,7,-84521.4800,0.0000,0.0000,84521.4800,1000000.0000,0.0000
0,8,84521.4800,0.0000,0.0000,84521.4800,1000000.0000,0.0000
1,0,-36418.8300,3203.9900,0.0000,38020.8250,0.0006,2.0000
1,1,-23156.6000,-16122.9800,0.0000,15095.1100,0.0001,-2.0000
1,2,-7828.2100,22876.0400,0.0000,19266.2300,0.0001,2.0000
1,3,18778.9800,1071.8300,0.0000,18243.0650,0.0019,2.0000
1,4,4252.7600,-241.4400,0.0000,4373.4800,0.0083,-1.9999
1,5,6446.4000,-2056.5000,0.0000,7474.6500,0.0010,-2.0000
1,6,59575.4300,12918.9900,0.0000,53115.9350,0.0002,2.0000
1,7,-105594.4100,-21072.9300,0.0000,95057.9450,0.0001,-2.0000
1,8,83944.4800,-577.0000,0.0000,84232.9800,0.0035,-2.0000
2,0,11829.9900,48248.8200,45044.8300,29290.5467,0.0000,1319387697.3974
2,1,-33153.7700,-9997.1700,6125.8100,21114.6633,0.0002,129344414.2895
2,2,977.3500,8805.5600,-14070.4800,13169.9367,0.0001,-185307329.5349
2,3,16881.2600,-1897.7200,-2969.5500,17789.1300,0.0008,-52825712.5371
2,4,5439.9200,1187.1600,1428.6000,4728.9600,0.0016,6755794.1573
2,5,8447.5600,2001.1600,4057.6600,7798.9533,0.0006,31645502.1905
2,6,63277.3100,3701.8800,-9217.1100,56503.0600,0.0002,-520794918.6751
2,7,-113214.3000,-7619.8900,13453.0400,101110.0633,0.0001,1360237725.5512
2,8,39514.6800,-44429.8000,-43852.8000,69326.8800,0.0000,-3040177805.3990
3,0,-17499.5600,-29329.5500,-77578.3700,26342.8000,0.0000,-2043631486.2936
3,1,-19681.4700,13472.3000,23469.4700,20756.3650,0.0001,487140886.8799
3,2,42550.3300,41572.9800,32767.4200,20515.0350,0.0001,672224770.8055
3,3,14887.3200,-1993.9400,-96.2200,17063.6775,0.0008,-1641868.5853
3,4,7002.8300,1562.9100,375.7500,5297.4275,0.0013,1990510.4278
3,5,5992.5500,-2455.0100,-4456.1700,7347.3525,0.0006,-32741053.1685
3,6,61607.2200,-1670.0900,-5371.9700,57779.1000,0.0002,-310387592.1228
3,7,-112255.8500,958.4500,8578.3400,103896.5100,0.0001,891259587.7021
3,8,17396.6300,-22118.0500,22311.7500,56344.3175,0.0001,1257140324.7709
4,0,8461.5700,25961.1300,55290.6800,22766.5540,0.0000,1258778252.9108
4,1,-33052.9100,-13371.4400,-26843.7400,23215.6740,0.0001,-623195518.0172
4,2,43767.7300,1217.4000,-40355.5800,25165.5740,0.0001,-1015571334.7250
4,3,17615.9900,2728.6700,4722.6100,17174.1400,0.0006,81106766.8227
4,4,4009.3000,-2993.5300,-4556.4400,5039.8020,0.0006,-22963557.2940
4,5,5835.0500,-157.5000,2297.5100,7044.8920,0.0006,16185709.7207
4,6,69397.0900,7789.8700,9459.9600,60102.6980,0.0002,568569120.4408
4,7,-125549.6700,-13293.8200,-14252.2700,108227.1420,0.0001,-1542482450.7171
4,8,9515.8500,-7880.7800,14237.2700,46978.6240,0.0001,668847353.6456
5,0,2153.9000,-6307.6700,-32268.8000,19331.1117,0.0000,-623791776.4061
5,1,-31598.9100,1454.0000,14825.4400,24612.8800,0.0001,364896775.8100
5,2,36474.6900,-7293.0400,-8510.4400,27050.4267,0.0001,-230211033.5633
5,3,22610.0300,4994.0400,2265.3700,18080.1217,0.0004,40958167.2282
