t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,207198.3600,1.4657,0.0000,0.0000,0.0000,0.0000,207198.3600
1,252555.3900,1.7851,349067359.0325,0.0000,0.0000,0.0000,-622856837.7130
2,348354.0800,1.5852,1117337484.9706,0.0000,0.0000,0.0000,-1770887543.8436
3,365685.5600,1.7145,1884295994.0271,0.0000,0.0000,0.0000,-3230285613.5712
4,382544.0100,1.7793,1776476600.3489,0.0000,0.0000,0.0000,-3160431401.6530
5,410542.4200,1.6599,857992745.8268,0.0000,0.0000,0.0000,-1423778799.2691
6,413427.7400,1.7603,566093335.4751,0.0000,0.0000,0.0000,-996092356.1363
7,398095.6200,1.4707,822690625.7234,0.0000,0.0000,0.0000,-1209514363.7841
8,366202.4800,1.7214,1516033762.9877,0.0000,0.0000,0.0000,-2609331041.8648
9,306667.7100,1.6594,1281000063.8990,0.0000,0.0000,0.0000,-2125374375.3048
10,296007.2200,1.2782,1180027253.8427,0.0000,0.0000,0.0000,-1508070309.4427
11,224669.2400,1.7795,1216917340.6925,0.0000,0.0000,0.0000,-2165237606.1967
12,239447.1100,1.5077,952350862.9686,0.0000,0.0000,0.0000,-1435628950.5235
13,167007.9600,1.7719,762863635.8835,0.0000,0.0000,0.0000,-1351567901.7895
14,212581.5800,1.5230,840840761.9368,0.0000,0.0000,0.0000,-1280398270.4923
15,202350.0800,1.6474,672713509.0382,0.0000,0.0000,0.0000,-1108045114.5190
16,238640.7400,1.6432,589749614.7495,0.0000,0.0000,0.0000,-968859558.9289
17,253414.4100,1.8596,515592068.6826,0.0000,0.0000,0.0000,-958534476.1822
18,319367.1000,1.3874,981287794.1674,0.0000,0.0000,0.0000,-1361074256.6278
19,359253.7100,1.5176,1139000607.0683,0.0000,0.0000,0.0000,-1728228625.2535
20,380190.2400,1.5491,1419011621.7722,0.0000,0.0000,0.0000,-2197744051.6764
21,374160.7100,1.6485,916384919.3732,0.0000,0.0000,0.0000,-1510325606.6030
22,370775.6000,1.6393,457457181.8201,0.0000,0.0000,0.0000,-749526587.0134
23,419260.3100,1.6557,794281550.0512,0.0000,0.0000,0.0000,-1314638293.1726
24,381273.9400,1.4632,933209067.7264,0.0000,0.0000,0.0000,-1365051715.8749
25,332702.9300,1.7195,1349518757.2803,0.0000,0.0000,0.0000,-2320152197.1140
26,322732.6000,1.7259,1217000115.7914,0.0000,0.0000,0.0000,-2100053086.1768
27,287407.2400,1.6106,1547198980.0192,0.0000,0.0000,0.0000,-2491665520.9350
28,280473.6900,1.4168,1967506048.5668,0.0000,0.0000,0.0000,-2787345665.6179
29,236978.2800,1.7769,1503993673.0023,0.0000,0.0000,0.0000,-2672166896.5812
30,214835.8200,1.7802,887892473.4226,0.0000,0.0000,0.0000,-1580408479.1897
31,221239.2500,1.5443,914640024.3069,0.0000,0.0000,0.0000,-1412226297.1199
32,177811.1300,1.7747,726730739.2287,0.0000,0.0000,0.0000,-1289547018.9913
33,217415.5100,1.6929,695920491.4140,0.0000,0.0000,0.0000,-1177922559.2972
34,248868.3100,1.6267,471959384.9260,0.0000,0.0000,0.0000,-767506278.9158
35,142425.3300,0.3213,454121608.0117,0.0000,0.0000,0.0000,-145788082.7192
