t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
0,0,46799.3900,-0.0000,0.0000
0,1,86259.5400,-0.0000,0.0000
0,2,87284.9900,-0.0000,0.0000
0,3,42139.2000,1.7770,0.0000
0,4,20862.2300,-0.0000,0.0000
0,5,5361.8600,-0.0000,0.0000
0,6,7392.3000,-0.0000,0.0000
0,7,47226.0000,-0.0000,0.0000
0,8,86528.0300,-0.0000,0.0000
1,0,63667.1300,-0.0000,227043719.9209
1,1,90087.9000,-0.0000,73073090.9584
1,2,164590.6000,-0.0000,445768692.1652
1,3,121557.4900,1.6804,402279037.0410
1,4,17202.1000,-0.0000,3349137.9042
1,5,5238.8700,-0.0000,3781.6350
1,6,7325.8300,-0.0000,1104.5652
1,7,57688.4600,-0.0000,27365767.3129
1,8,104067.6000,-0.0000,76909128.9462
2,0,62411.7200,-0.0000,228134059.5327
2,1,99168.7900,-0.0000,160252363.7901
2,2,232653.6200,-0.0000,804589035.3915
2,3,170227.5300,1.6390,1239738464.6474
2,4,18357.6900,-0.0000,2333851.1641
2,5,4383.3600,-0.0000,189387.3500
2,6,7196.9700,-0.0000,6575.2188
2,7,69156.5100,-0.0000,80214056.5460
2,8,124763.5500,-0.0000,244212650.2064
3,0,67679.0900,-0.0000,172135628.6228
3,1,97205.8800,-0.0000,121212712.4206
3,2,221657.6600,-0.0000,1133685264.7774
3,3,171254.9000,1.5810,1464065185.1509
3,4,19365.1200,-0.0000,1808723.0971
3,5,5268.6600,-0.0000,156113.4953
3,6,3555.5600,-0.0000,2640909.5911
3,7,59539.0700,-0.0000,60591131.9540
3,8,108604.3800,-0.0000,185436264.3149
4,0,68340.6500,-0.0000,28596171.3536
4,1,89265.6400,-0.0000,41965812.0531
4,2,224924.6700,-0.0000,447067045.6746
4,3,183505.8000,1.5283,503551907.5733
4,4,18462.5400,-0.0000,590207.0091
4,5,4127.4400,-0.0000,257480.9796
4,6,5602.6700,-0.0000,2324571.2368
4,7,58591.8000,-0.0000,21297657.5825
4,8,107278.3300,-0.0000,64238975.5277
5,0,63302.3000,-0.0000,29249854.6529
5,1,84012.0100,-0.0000,60643283.7293
5,2,205976.8600,-0.0000,169536969.9155
5,3,176382.7700,1.7748,12841956.3073
5,4,16572.9400,-0.0000,1024546.8287
5,5,6434.0600,-0.0000,814728.6062
5,6,10612.4800,-0.0000,6659771.4570
5,7,51383.5500,-0.0000,39959690.7303
5,8,93887.4100,-0.0000,119865754.2417
6,0,80733.8100,-0.0000,27258157.2431
6,1,81282.9300,-0.0000,111424650.2615
6,2,174008.1200,-0.0000,68180909.2618
6,3,169081.7300,1.4919,82462282.4014
6,4,19409.6200,-0.0000,1320450.1355
6,5,3108.3300,-0.0000,1546695.4379
6,6,6427.2000,-0.0000,6595731.8852
6,7,40485.6700,-0.0000,58062279.9136
6,8,73808.0900,-0.0000,195742638.0071
7,0,69804.0200,-0.0000,15247627.2429
7,1,67765.4600,-0.0000,181104748.4108
7,2,130411.2500,-0.0000,32732390.9667
7,3,132677.7300,1.4943,221095079.9030
7,4,17785.0500,-0.0000,1067608.3216
7,5,2415.9300,-0.0000,2310850.8742
7,6,5539.1000,-0.0000,4364160.1259
7,7,31450.6100,-0.0000,107134575.0623
7,8,56962.7700,-0.0000,367600138.6820
8,0,79709.3000,-0.0000,5553271.2445
8,1,63728.3100,-0.0000,221207056.6299
8,2,91864.9700,-0.0000,15100328.6869
8,3,125295.0900,1.6633,547931385.1125
8,4,19010.5900,-0.0000,1234906.4072
8,5,4301.9800,-0.0000,2325813.5338
8,6,10759.4100,-0.0000,5630358.9574
8,7,20333.8600,-0.0000,130717438.7923
8,8,36956.7100,-0.0000,440609011.4883
9,0,74860.3500,-0.0000,50199610.9976
9,1,56700.6400,-0.0000,74343141.8588
9,2,93275.5000,-0.0000,82549932.3418
9,3,117993.9800,1.5036,491299943.6265
9,4,15919.9900,-0.0000,1844260.9761
9,5,5719.9100,-0.0000,1575535.1317
9,6,5723.5200,-0.0000,4543610.3726
9,7,25234.7400,-0.0000,56659776.0336
9,8,46039.3900,-0.0000,188434216.0517
10,0,63392.9700,-0.0000,49999536.8478
10,1,63236.8100,-0.0000,73091036.8111
10,2,96384.4700,-0.0000,194938332.5428
10,3,103563.9600,1.7107,242648628.1230
10,4,17618.5200,-0.0000,1211425.0464
10,5,4734.5000,-0.0000,1438616.6994
10,6,9844.5800,-0.0000,5562690.1755
10,7,31309.7400,-0.0000,21477075.3953
10,8,56484.0100,-0.0000,68293280.4189
11,0,71142.7100,-0.0000,60910831.5051
11,1,82796.5700,-0.0000,106733429.3289
11,2,134594.0400,-0.0000,259844344.1349
11,3,119800.5000,1.7197,39342232.6887
11,4,17976.6200,-0.0000,1237607.9959
11,5,6472.3200,-0.0000,716571.6737
11,6,7849.9900,-0.0000,3759076.6381
11,7,43580.9300,-0.0000,75561577.9166
11,8,79019.5400,-0.0000,246107667.6393
12,0,72921.5000,-0.0000,50629179.2794
12,1,86878.8600,-0.0000,91280048.3393
12,2,173730.2000,-0.0000,90135906.6618
12,3,149486.0100,1.6412,135923392.5503
12,4,18003.4000,-0.0000,733275.8587
12,5,4689.3100,-0.0000,550029.6990
12,6,10699.5300,-0.0000,3693430.7929
12,7,53173.0000,-0.0000,117164170.8170
12,8,96852.0700,-0.0000,389633646.0309
13,0,66452.4000,-0.0000,21050972.8055
