t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
0,5,0.0000,0.0000,0
0,6,0.0000,0.0000,0
0,7,0.0000,0.0000,0
0,8,0.0000,0.0000,0
1,0,0.0000,0.0000,0
1,1,0.0000,0.0000,0
1,2,3.2541,0.0000,1
1,3,0.0000,0.0000,0
1,4,0.0000,0.0000,0
1,5,0.0000,0.0000,0
1,6,0.0000,0.0000,0
1,7,0.0000,0.0000,0
1,8,20.7233,0.0000,1
2,0,0.0000,4.7001,1
2,1,0.0000,1.5412,0
2,2,0.7034,2.1844,0
2,3,0.0000,0.5062,0
2,4,0.0000,2.8604,0
2,5,0.0000,0.4568,0
2,6,0.0000,2.6446,0
2,7,0.0000,2.3856,0
2,8,0.6931,8.1910,1
3,0,0.0000,0.3999,0
3,1,0.0000,0.2780,0
3,2,0.1560,3.8765,1
3,3,0.0000,2.5994,0
3,4,0.0000,0.0771,0
3,5,0.0000,0.2802,0
3,6,0.0000,0.7225,0
3,7,0.0000,0.7609,0
3,8,0.4055,3.0463,1
4,0,0.0000,0.5248,0
4,1,0.0000,1.5284,0
4,2,0.0344,2.5088,0
4,3,0.0000,0.4213,0
4,4,0.0000,1.1143,0
4,5,0.0000,1.1488,0
4,6,0.0000,1.4966,0
4,7,0.0000,1.4074,0
4,8,0.2877,1.8129,0
5,0,0.0000,1.5121,0
5,1,0.0000,1.4407,0
5,2,0.0978,0.9323,0
5,3,0.0000,0.7274,0
5,4,0.0000,0.8482,0
5,5,0.0000,2.3263,0
5,6,0.0000,1.5915,0
5,7,0.0000,1.5670,0
5,8,0.2231,1.1105,0
6,0,0.0000,0.5935,0
6,1,0.0000,0.4046,0
6,2,0.0089,1.9447,0
6,3,0.0000,1.3852,0
6,4,0.0000,0.7748,0
6,5,0.0000,1.0533,0
6,6,0.0000,0.7362,0
6,7,0.0000,0.9932,0
6,8,0.1823,1.5121,0
7,0,0.0000,2.3109,0
7,1,0.0000,0.0484,0
7,2,0.1408,0.2627,0
7,3,0.0000,0.9604,0
7,4,0.0000,1.4326,0
7,5,0.0000,0.1097,0
7,6,0.0000,0.5473,0
7,7,0.0000,0.7407,0
7,8,0.1542,1.4587,0
8,0,0.0000,0.0689,0
8,1,0.0000,2.2308,0
8,2,0.0116,1.0735,0
8,3,0.0000,2.1449,0
8,4,0.0000,0.6160,0
8,5,0.0000,0.8649,0
8,6,0.0000,2.2649,0
8,7,0.0000,2.5408,0
8,8,0.1335,2.0612,0
9,0,0.0000,0.3975,0
9,1,0.0000,1.3103,0
9,2,0.0245,0.2123,0
9,3,0.0000,1.3420,0
9,4,0.0000,2.3734,0
9,5,0.0000,0.2196,0
9,6,0.0000,2.2188,0
9,7,0.0000,2.1925,0
9,8,0.1178,0.9041,0
10,0,0.0000,1.6647,0
10,1,0.0000,2.1737,0
10,2,0.1419,0.8338,0
10,3,0.0000,0.6586,0
10,4,0.0000,3.0415,1
10,5,0.0000,3.4815,1
10,6,0.0000,2.6670,0
10,7,0.0000,2.7434,0
10,8,0.1054,0.9550,0
11,0,0.0000,0.9750,0
11,1,0.0000,2.7777,0
11,2,0.0153,0.2750,0
11,3,0.0000,0.0359,0
11,4,0.0000,1.7257,0
11,5,0.0000,0.2679,0
11,6,0.0000,2.6398,0
11,7,0.0000,2.6926,0
11,8,0.0953,0.7059,0
12,0,0.0000,1.0621,0
12,1,0.0000,2.0255,0
12,2,0.0579,1.1903,0
12,3,0.0000,0.9999,0
12,4,0.0000,0.6570,0
12,5,0.0000,0.5532,0
12,6,0.0000,2.4138,0
12,7,0.0000,2.3340,0
12,8,0.0870,0.8973,0
13,0,0.0000,1.5404,0
13,1,0.0000,1.8177,0
13,2,0.1961,0.6475,0
13,3,0.0000,0.5497,0
13,4,0.0000,0.5264,0
13,5,0.0000,0.9480,0
13,6,0.0000,2.0825,0
13,7,0.0000,2.0544,0
13,8,0.0000,0.3724,0
14,0,0.0000,0.1475,0
14,1,0.0000,1.3873,0
14,2,0.0193,2.3137,0
14,3,0.0000,1.4031,0
14,4,0.0000,1.0648,0
14,5,0.0000,0.6974,0
14,6,0.0000,1.2295,0
14,7,0.0000,1.2347,0
14,8,0.0000,0.7639,0
15,0,0.0000,0.0303,0
15,1,0.0000,0.6235,0
15,2,0.0113,1.3673,0
15,3,0.0000,2.1477,0
15,4,0.0000,1.0741,0
15,5,0.0000,1.2266,0
15,6,0.0000,1.0061,0
15,7,0.0000,1.0146,0
15,8,0.0000,0.8041,0
16,0,0.0000,0.0078,0
16,1,0.0000,0.3180,0
16,2,0.0058,1.1236,0
16,3,0.0000,1.2701,0
16,4,0.0000,1.6121,0
16,5,0.0000,0.5126,0
16,6,0.0000,0.4758,0
16,7,0.0000,0.3935,0
16,8,0.0000,1.4646,0
17,0,0.0000,1.4295,0
17,1,0.0000,0.3948,0
17,2,0.0589,1.2900,0
17,3,0.0000,1.3127,0
17,4,0.0000,1.0630,0
17,5,0.0000,3.1851,1
17,6,0.0000,0.1534,0
17,7,0.0000,0.0972,0
17,8,0.0000,2.7975,0
18,0,0.0000,1.7792,0
18,1,0.0000,1.6561,0
18,2,0.0594,0.9278,0
18,3,0.0000,0.5460,0
18,4,0.0000,0.0116,0
18,5,0.0000,0.7825,0
18,6,0.0000,1.0060,0
18,7,0.0000,1.0669,0
18,8,0.0000,1.7606,0
19,0,0.0000,1.0349,0
19,1,0.0000,2.2710,0
19,2,0.0169,0.2990,0
19,3,0.0000,0.8337,0
19,4,0.0000,0.2923,0
19,5,0.0000,0.7110,0
