t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,0.0062,0.0000,0
2,0.0000,0.0036,0.2238,0
3,0.0000,0.0052,0.1216,0
4,0.0000,0.0047,0.4478,0
5,0.0000,0.0040,1.3703,0
6,0.0000,0.0043,1.6850,0
7,0.0000,0.0028,1.8151,0
8,0.0000,0.0047,2.0169,0
9,0.0000,0.0048,1.9771,0
10,0.0000,0.0052,3.4078,1
11,0.0000,0.0030,1.8843,0
12,0.0000,0.0037,5.0069,1
13,0.0000,0.0035,5.0741,1
14,0.0000,0.0036,2.8376,0
15,0.0000,0.0032,3.3157,1
16,0.0000,0.0030,3.0917,1
17,0.0000,0.0040,2.1024,0
18,0.0000,0.0034,1.6593,0
19,0.0000,0.0035,2.8339,0
20,0.0000,0.0026,4.0471,1
21,0.0000,0.0033,3.2899,1
22,0.0000,0.0036,2.8449,0
23,0.0000,0.0020,2.4892,0
24,0.0000,0.0035,2.3596,0
25,0.0000,0.0054,2.0093,0
26,0.0000,0.0038,4.8014,1
27,0.0000,0.0045,3.1349,1
28,0.0000,0.0035,4.1602,1
29,0.0000,0.0026,2.0587,0
30,0.0000,0.0037,2.1293,0
31,0.0000,0.0029,2.9504,0
32,0.0000,0.0035,4.2004,1
33,0.0000,0.0037,4.0677,1
34,0.0000,0.0033,2.6469,0
35,0.0000,0.0073,2.5264,0
