t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,0,39701.9200,-0.0000,0.0000,0.0000
0,1,91053.3100,-0.0000,0.0000,0.0000
0,2,30363.7300,1.3963,0.0000,0.0000
0,3,17652.4800,-0.0000,0.0000,0.0000
0,4,5704.2300,-0.0000,0.0000,0.0000
0,5,7007.0200,-0.0000,0.0000,0.0000
0,6,51351.3900,-0.0000,0.0000,0.0000
0,7,93797.2200,-0.0000,0.0000,0.0000
0,8,93797.2200,-0.0000,0.0000,0.0000
1,0,41692.7000,-0.0000,5946.9000,5581.3200
1,1,94523.8300,-0.0000,6686.7700,-3215.6250
1,2,59312.8500,1.7031,10788.3500,-39312.2450
1,3,18427.3500,-0.0000,387.4350,10400.9150
1,4,4750.2500,-0.0000,476.9900,10311.3600
1,5,3930.0500,-0.0000,1538.4850,9249.8650
1,6,59773.4200,-0.0000,4211.0150,2475.7550
1,7,106500.7400,-0.0000,6351.7600,-72.0650
1,8,131763.6500,-0.0000,6279.6950,4580.7200
2,0,73361.2600,-0.0000,20285.9415,-21968.6995
2,1,97827.7100,-0.0000,8622.5339,8723.6604
2,2,137289.7300,1.5850,9980.6496,-10033.6541
2,3,20042.6100,-0.0000,995.6689,8984.9806
2,4,4616.7700,-0.0000,484.2479,9496.4017
2,5,8101.7100,-0.0000,1766.0011,8214.6485
2,6,65160.6000,-0.0000,5682.7867,2939.7472
2,7,118445.4300,-0.0000,10064.1790,6273.5554
2,8,182279.9200,-0.0000,16337.7344,-12630.6402
3,0,44594.5700,-0.0000,18012.1062,10837.9141
3,1,95200.8400,-0.0000,7493.8781,7948.2752
3,2,150871.7000,1.8116,39368.2485,-137823.7235
3,3,18616.6900,-0.0000,863.1703,38505.0782
3,4,8046.4300,-0.0000,1374.4029,37993.8456
3,5,4757.8300,-0.0000,1676.9475,37691.3010
3,6,58400.4000,-0.0000,4923.9251,2569.9530
3,7,109024.7100,-0.0000,8798.3881,28292.5039
