src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,2,0.3582
0,2,1,0.2052
0,3,0,0.1485
0,4,1,0.1960
0,5,0,0.2440
0,6,6,0.1290
0,7,2,0.3760
0,8,6,0.2798
1,0,1,0.0741
1,1,0,1.0000
1,2,6,0.5346
1,3,2,-0.0617
1,4,0,-0.0052
1,5,0,0.3223
1,6,6,0.9233
1,7,0,0.9628
1,8,4,0.9102
2,0,1,0.3951
2,1,4,0.7858
2,2,0,1.0000
2,3,3,0.2150
2,4,2,0.2140
2,5,1,0.5472
2,6,0,0.3781
2,7,4,0.8784
2,8,6,0.4032
3,0,3,0.3336
3,1,6,0.1453
3,2,4,0.5304
3,3,0,1.0000
3,4,0,0.5712
3,5,5,0.4381
3,6,4,0.4239
3,7,6,0.0651
3,8,1,0.3077
4,0,1,0.2053
4,1,3,0.2894
4,2,0,0.1557
4,3,0,0.5712
4,4,0,1.0000
4,5,3,0.4015
4,6,0,0.1170
4,7,3,0.1746
4,8,6,0.1354
5,0,5,0.2649
5,1,3,0.4574
5,2,0,0.0867
5,3,5,0.2225
5,4,2,0.0551
5,5,0,1.0000
5,6,6,0.2062
5,7,3,0.5365
5,8,6,0.6862
6,0,4,0.2342
6,1,6,0.9304
6,2,2,0.8248
6,3,3,0.2547
6,4,5,0.4455
6,5,4,0.5037
6,6,0,1.0000
6,7,6,0.9451
6,8,0,0.4852
7,0,0,0.1168
7,1,0,0.9628
7,2,6,0.5526
7,3,6,-0.0573
7,4,0,-0.1122
7,5,0,0.2252
7,6,6,0.9445
7,7,0,1.0000
7,8,4,0.9371
8,0,4,0.3795
8,1,6,0.4914
8,2,3,0.7678
8,3,5,0.2031
8,4,5,0.3849
8,5,6,0.5127
8,6,2,0.8765
8,7,6,0.3761
8,8,0,1.0000
