t_idx,src_idx,tgt_idx,weight,stress
0,0,1,39701.9200,0.0000
0,1,6,51351.3900,0.0000
0,2,3,17652.4800,0.0000
0,2,4,5704.2300,0.0000
0,2,5,7007.0200,0.0000
0,7,8,93797.2200,0.0000
1,0,1,34750.4100,0.0000
1,1,6,59773.4200,0.0000
1,2,0,6942.2900,0.0000
1,2,3,18427.3500,0.0000
1,2,4,4750.2500,0.0000
1,2,5,3930.0500,0.0000
1,7,8,106500.7400,0.0000
1,8,2,25262.9100,0.0000
2,0,1,32667.1100,1.8415
2,1,6,65160.6000,2.2793
2,2,0,40694.1500,10.7236
2,2,3,20042.6100,5.1691
2,2,4,4616.7700,1.2798
2,2,5,8101.7100,1.7115
2,7,8,118445.4300,2.8805
2,8,2,63834.4900,4.0536
3,0,1,36800.4400,0.3708
3,1,6,58400.4000,0.0636
3,2,0,7794.1300,0.4548
3,2,3,18616.6900,0.0912
3,2,4,8046.4300,6.2420
3,2,5,4757.8300,0.8995
3,7,8,109024.7100,0.2759
3,8,2,111656.6200,3.1224
4,0,1,34277.2000,0.6552
4,1,6,58315.7900,0.0722
4,2,0,51402.4800,2.3783
4,2,3,15874.6300,3.2556
4,2,4,6263.7800,0.3524
4,2,5,6967.4700,0.6072
4,7,8,105903.8100,0.1180
4,8,2,117826.6300,1.6049
5,0,1,32575.0000,1.2652
5,1,6,51779.7100,1.5479
5,2,0,54348.6100,1.6000
5,2,3,16597.5200,1.1185
5,2,4,5780.2400,0.0772
5,2,5,8385.6700,1.4366
5,7,8,93077.1900,1.7330
5,8,2,110396.8100,1.0061
6,0,1,44360.2700,3.7096
6,1,6,40729.8100,3.5167
6,2,0,25206.5200,0.0737
6,2,3,16771.1600,0.8019
6,2,4,3656.4000,1.9390
6,2,5,11506.9900,3.0289
6,7,8,72872.3500,3.5843
6,8,2,105235.6300,0.7368
7,0,1,32396.6800,0.8688
7,1,6,29280.1800,3.4113
7,2,0,39718.1800,0.4513
7,2,3,17425.9200,0.2069
7,2,4,4663.1900,0.6081
7,2,5,9033.1800,0.7038
7,7,8,54648.7300,3.1752
7,8,2,90520.6300,0.0442
8,0,1,43878.7300,1.9728
8,1,6,20537.8400,2.4752
8,2,0,46475.4000,0.6250
8,2,3,17528.3900,0.0189
8,2,4,5669.9900,0.1169
8,2,5,12856.2800,2.3172
8,7,8,37816.8500,2.4609
8,8,2,74481.7100,1.3974
9,0,1,35895.5800,0.2983
9,1,6,19411.1100,1.6486
9,2,0,23621.2700,0.8503
9,2,3,16160.0600,1.1336
9,2,4,5599.4300,0.0593
9,2,5,5861.1800,1.1337
9,7,8,36946.8400,1.5949
9,8,2,51748.8400,3.3756
10,0,1,33441.9300,0.7563
10,1,6,30499.8300,0.4154
10,2,0,43456.0400,0.2771
10,2,3,19513.8400,4.6062
10,2,4,3753.4400,1.7560
10,2,5,7185.9200,0.7881
10,7,8,54698.6400,0.4639
10,8,2,45888.2500,2.0125
11,0,1,37134.5400,0.0085
11,1,6,40879.3800,0.7819
11,2,0,43923.2100,0.4614
11,2,3,17718.1900,0.3559
11,2,4,3929.0500,1.0381
