t_idx,node_idx,optimal_input_u,state_error_x
0,0,0.0000,39701.9200
0,1,0.0000,11649.4700
0,2,0.0000,30363.7300
0,3,-0.0000,17652.4800
0,4,-0.0000,5704.2300
0,5,-0.0000,7007.0200
0,6,-0.0000,51351.3900
0,7,0.0000,103797.2200
0,8,0.0000,93797.2200
1,0,0.0000,27808.1200
1,1,0.0000,25023.0100
1,2,0.0000,8787.0300
1,3,3988.0193,18427.3500
1,4,1028.0419,4750.2500
1,5,850.5355,3930.0500
1,6,0.0000,59773.4200
1,7,0.0000,116500.7400
1,8,0.0000,81237.8300
2,0,0.0000,8027.0400
2,1,0.0000,32493.4900
2,2,0.0000,9620.7500
2,3,10742.3885,20042.6100
2,4,2474.4850,4616.7700
2,5,4342.3345,8101.7100
2,6,0.0000,65160.6000
2,7,0.0000,128445.4300
2,8,0.0000,54610.9400
3,0,0.0000,29006.3100
3,1,0.0000,21599.9600
3,2,0.0000,72441.5400
3,3,3140.9853,18616.6900
3,4,1357.5839,8046.4300
3,5,802.7353,4757.8300
3,6,0.0000,58400.4000
3,7,0.0000,119024.7100
3,8,0.0000,2631.9100
4,0,0.0000,17125.2800
4,1,0.0000,24038.5900
4,2,0.0000,37318.2700
4,3,7221.1739,15874.6300
4,4,2849.3165,6263.7800
4,5,3169.4164,6967.4700
4,6,-0.0000,58315.7900
4,7,0.0000,115903.8100
4,8,0.0000,11922.8200
5,0,0.0000,21773.6100
5,1,0.0000,19204.7100
5,2,0.0000,25284.7700
5,3,5707.2737,16597.5200
5,4,1987.6109,5780.2400
5,5,2883.5220,8385.6700
5,6,-0.0000,51779.7100
5,7,0.0000,103077.1900
5,8,0.0000,17319.6200
6,0,0.0000,19153.7500
6,1,0.0000,3630.4600
6,2,0.0000,48094.5600
6,3,-944.8942,16771.1600
6,4,-206.0031,3656.4000
6,5,-648.3087,11506.9900
6,6,0.0000,40729.8100
6,7,0.0000,82872.3500
6,8,0.0000,32363.2800
7,0,0.0000,7321.5000
7,1,0.0000,3116.5000
7,2,0.0000,19680.1600
7,3,-959.9186,17425.9200
7,4,-256.8750,4663.1900
7,5,-497.5988,9033.1800
7,6,0.0000,29280.1800
7,7,0.0000,64648.7300
7,8,0.0000,35871.9000
8,0,0.0000,2596.6700
8,1,0.0000,23340.8900
8,2,0.0000,8048.3500
8,3,-6333.6544,17528.3900
8,4,-2048.7767,5669.9900
8,5,-4645.4486,12856.2800
8,6,0.0000,20537.8400
8,7,0.0000,47816.8500
8,8,0.0000,36664.8600
9,0,0.0000,12274.3100
9,1,0.0000,16484.4700
9,2,0.0000,506.9000
9,3,-4879.3041,16160.0600
9,4,-1690.6696,5599.4300
9,5,-1769.7013,5861.1800
9,6,0.0000,19411.1100
9,7,0.0000,46946.8400
9,8,0.0000,14802.0000
10,0,0.0000,10014.1100
10,1,0.0000,2942.1000
10,2,0.0000,28020.9900
10,3,-1018.5443,19513.8400
10,4,-195.9145,3753.4400
10,5,-375.0763,7185.9200
10,6,-0.0000,30499.8300
10,7,0.0000,64698.6400
10,8,0.0000,8810.3900
11,0,0.0000,6788.6700
11,1,0.0000,3744.8400
11,2,0.0000,27160.2500
11,3,1313.8150,17718.1900
11,4,291.3415,3929.0500
11,5,415.5668,5604.3600
11,6,-0.0000,40879.3800
11,7,0.0000,82308.5800
11,8,0.0000,28294.0200
12,0,0.0000,8257.3500
12,1,0.0000,21607.7100
12,2,0.0000,6997.8500
12,3,6769.6267,18027.4700
12,4,2178.3570,5800.9500
12,5,1623.6316,4323.7200
12,6,0.0000,53536.6600
12,7,0.0000,109087.6900
12,8,0.0000,54261.8000
13,0,0.0000,1888.4100
13,1,0.0000,19047.8300
13,2,0.0000,16510.1200
13,3,6461.3623,17671.8900
13,4,1113.4621,3045.3300
13,5,2506.8575,6856.2800
13,6,-0.0000,53275.0500
13,7,0.0000,109710.8100
13,8,0.0000,23288.3800
14,0,0.0000,13729.2300
14,1,0.0000,28642.2700
14,2,0.0000,30234.2900
14,3,7639.5415,16100.1500
14,4,1606.1631,3384.9500
14,5,4890.6323,10306.8900
14,6,0.0000,65858.5000
14,7,0.0000,131006.7400
14,8,0.0000,37493.4600
15,0,0.0000,14691.1300
15,1,0.0000,28598.0400
15,2,0.0000,42898.7500
15,3,9356.7481,18818.4500
15,4,1310.5896,2635.8800
15,5,4877.8727,9810.4600
15,6,0.0000,60969.5900
15,7,0.0000,122371.6900
