t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,83.0000,0.0000,0.0000,83.0000,0.0000,0.0000
0,1,182.0000,0.0000,0.0000,182.0000,0.0000,0.0000
0,2,-199.0000,0.0000,0.0000,199.0000,0.0000,0.0000
0,3,13.0000,0.0000,0.0000,13.0000,0.0000,0.0000
0,4,7.0000,0.0000,0.0000,7.0000,0.0000,0.0000
0,5,180.0000,0.0000,0.0000,180.0000,0.0000,0.0000
0,6,-401.0000,0.0000,0.0000,401.0000,0.0000,0.0000
0,7,84.0000,0.0000,0.0000,84.0000,0.0000,0.0000
0,8,-137.0000,0.0000,0.0000,137.0000,0.0000,0.0000
0,9,-109.0000,0.0000,0.0000,109.0000,0.0000,0.0000
0,10,228.0000,0.0000,0.0000,228.0000,0.0000,0.0000
0,11,191.0000,0.0000,0.0000,191.0000,0.0000,0.0000
0,12,-49.0000,0.0000,0.0000,49.0000,0.0000,0.0000
0,13,-6.0000,0.0000,0.0000,6.0000,0.0000,0.0000
0,14,-93.0000,0.0000,0.0000,93.0000,0.0000,0.0000
0,15,105.0000,0.0000,0.0000,105.0000,0.0000,0.0000
0,16,78.0000,0.0000,0.0000,78.0000,0.0000,0.0000
0,17,6.0000,0.0000,0.0000,6.0000,0.0000,0.0000
0,18,-248.0000,0.0000,0.0000,248.0000,0.0000,0.0000
0,19,167.0000,0.0000,0.0000,167.0000,0.0000,0.0000
0,20,-193.0000,0.0000,0.0000,193.0000,0.0000,0.0000
0,21,119.0000,0.0000,0.0000,119.0000,0.0000,0.0000
0,22,-91.0000,0.0000,0.0000,91.0000,0.0000,0.0000
0,23,110.0000,0.0000,0.0000,110.0000,0.0000,0.0000
0,24,-27.0000,0.0000,0.0000,27.0000,0.0000,0.0000
1,0,-147.0000,-230.0000,0.0000,115.0000,0.0087,-2.0000
1,1,52.0000,-130.0000,0.0000,117.0000,0.0154,-2.0000
1,2,-49.0000,150.0000,0.0000,124.0000,0.0133,2.0000
1,3,327.0000,314.0000,0.0000,170.0000,0.0064,2.0000
1,4,-242.0000,-249.0000,0.0000,124.5000,0.0080,-2.0000
1,5,-214.0000,-394.0000,0.0000,197.0000,0.0051,-2.0000
1,6,253.0000,654.0000,0.0000,327.0000,0.0031,2.0000
1,7,4.0000,-80.0000,0.0000,44.0000,0.0250,-2.0000
