t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,0.0044,0.0000,0
2,0.0000,0.0058,0.0725,0
3,0.0000,0.0044,0.8135,0
4,0.0000,0.0054,0.6364,0
5,0.0000,0.0035,1.2755,0
6,0.0000,0.0031,0.4762,0
7,0.0000,0.0035,2.3384,0
8,0.0000,0.0034,1.3742,0
9,0.0000,0.0041,1.1542,0
10,0.0000,0.0052,2.2251,0
11,0.0000,0.0029,0.8329,0
12,0.0000,0.0041,1.4297,0
13,0.0000,0.0043,1.9650,0
14,0.0000,0.0041,2.9412,0
15,0.0000,0.0026,0.8480,0
16,0.0000,0.0037,1.6698,0
17,0.0000,0.0043,0.9088,0
18,0.0000,0.0023,1.0689,0
19,0.0000,0.0045,1.0940,0
20,0.0000,0.0037,1.3846,0
21,0.0000,0.0030,1.6160,0
22,0.0000,0.0038,0.7768,0
23,0.0000,0.0053,0.3597,0
