t_idx,src_idx,tgt_idx,value
0,0,1,39033.54
0,2,3,20862.23
0,2,4,5361.86
0,2,5,4468.65
0,1,6,47418.87
0,7,8,86528.03
1,0,1,32399.440000000002
1,8,2,21164.7
1,2,0,16061.970000000001
1,2,3,17202.1
1,2,4,5238.87
1,2,5,8630.82
1,1,6,57446.27
1,7,8,104067.6
2,0,1,30012.28
2,8,2,72280.14
2,2,0,30033.74
2,2,3,18357.69
2,2,4,4383.36
2,2,5,9140.75
2,1,6,69179.81
2,7,8,124763.55
3,0,1,37666.81
3,8,2,97884.46
3,2,0,25337.27
3,2,3,19365.120000000003
3,2,4,5268.66
3,2,5,9418.61
3,1,6,60152.51
3,7,8,108604.38
4,0,1,30673.84
4,8,2,119657.72
4,2,0,37231.88
4,2,3,18462.54
4,2,4,4127.44
4,2,5,8170.74
4,1,6,59169.03
4,7,8,107278.33
5,0,1,32628.46
5,8,2,111269.13
5,2,0,39363.61
5,2,3,16572.94
5,2,4,6434.06
5,2,5,7344.05
5,1,6,51189.74
5,7,8,93887.41
6,0,1,40797.26
6,8,2,114853.76
6,2,0,21757.440000000002
6,2,3,19409.62
6,2,4,3108.33
6,2,5,9100.380000000001
6,1,6,41534.25
6,7,8,73808.09
7,0,1,36314.850000000006
7,8,2,93708.95
7,2,0,56633.01
7,2,3,17785.05
7,2,4,2415.93
7,2,5,8183.26
7,1,6,31552.03
7,7,8,56962.77
8,0,1,43394.45
8,8,2,68218.91
8,2,0,16792.71
8,2,3,19010.59
8,2,4,4301.98
8,2,5,8531.93
8,1,6,20713.0
8,7,8,36956.71
9,0,1,31465.899999999998
9,8,2,54939.65
9,2,0,36314.850000000006
9,2,3,15919.99
9,2,4,5719.91
9,2,5,10802.9
9,1,6,25004.71
9,7,8,46039.39
10,0,1,31927.07
10,8,2,39166.63
10,2,0,49632.28
10,2,3,17618.52
10,2,4,4734.5
10,2,5,11360.34
10,1,6,31327.69
10,7,8,56484.01
11,0,1,39215.64
11,8,2,43157.62
11,2,0,25013.85
11,2,3,17976.62
11,2,4,6472.32
11,2,5,9363.55
11,1,6,44288.71
11,7,8,79019.54
12,0,1,33705.86
12,8,2,69344.14
12,2,0,40654.89
12,2,3,18003.4
12,2,4,4689.31
12,2,5,8264.34
12,1,6,54267.66
12,7,8,96852.07
13,0,1,32746.539999999997
13,8,2,70436.0
13,2,0,50040.56
13,2,3,18800.3
13,2,4,5346.43
13,2,5,8018.68
13,1,6,54730.92
13,7,8,98180.06
14,0,1,34475.09
14,8,2,93512.57
14,2,0,14847.609999999999
14,2,3,17196.260000000002
14,2,4,5332.85
14,2,5,7760.9
14,1,6,65922.5
14,7,8,121902.26
15,0,1,34385.71
15,8,2,127111.98
15,2,0,51986.72
15,2,3,19800.8
15,2,4,5227.65
15,2,5,4262.8
15,1,6,60846.200000000004
15,7,8,110380.67
16,0,1,34060.27
16,8,2,103338.92
16,2,0,14754.64
16,2,3,16338.83
16,2,4,3764.75
16,2,5,6683.45
16,1,6,58133.55
16,7,8,107091.86
17,0,1,40024.43
17,8,2,108092.35
17,2,0,25398.379999999997
17,2,3,19467.38
17,2,4,4265.32
17,2,5,4850.73
17,1,6,46695.5
17,7,8,85372.11
18,0,1,28963.27
18,8,2,102602.63
18,2,0,50348.47
18,2,3,17730.04
18,2,4,6746.99
18,2,5,6608.16
18,1,6,39017.74
18,7,8,70198.93
19,0,1,33392.2
19,8,2,81772.09
19,2,0,37158.18
19,2,3,15361.85
19,2,4,5750.61
19,2,5,10668.220000000001
19,1,6,27730.5
19,7,8,51155.85
20,0,1,39085.96
20,8,2,63720.14
20,2,0,33368.49
20,2,3,16142.39
20,2,4,5361.33
20,2,5,6590.35
20,1,6,16611.03
20,7,8,31977.48
21,0,1,30250.47
21,8,2,52119.15
21,2,0,24394.84
21,2,3,13430.23
21,2,4,4271.76
21,2,5,5321.18
21,1,6,26437.32
21,7,8,48003.3
22,0,1,36503.29
22,8,2,48234.93
22,2,0,53948.22
22,2,3,17755.05
22,2,4,3847.94
22,2,5,7849.150000000001
22,1,6,30513.53
22,7,8,55784.47
23,0,1,21982.35
23,8,2,25414.03
23,2,0,18212.449999999997
23,2,5,3038.39
23,1,6,25596.35
23,7,8,46407.82
