Trans_Date,Src,Tgt,Amount
2020-01,ACC_Accounts_Payable,ACC_Inventory,39033.54
2020-01,ACC_Cash,ACC_Payroll_Exp,20862.23
2020-01,ACC_Cash,ACC_Rent_Exp,5361.86
2020-01,ACC_Cash,ACC_Travel_Exp,4468.65
2020-01,ACC_Inventory,ACC_COGS,47418.87
2020-01,ACC_Sales_Revenue,ACC_Accounts_Receivable,86528.03
2020-02,ACC_Accounts_Payable,ACC_Inventory,32399.440000000002
2020-02,ACC_Accounts_Receivable,ACC_Cash,21164.7
2020-02,ACC_Cash,ACC_Accounts_Payable,16061.970000000001
2020-02,ACC_Cash,ACC_Payroll_Exp,17202.1
2020-02,ACC_Cash,ACC_Rent_Exp,5238.87
2020-02,ACC_Cash,ACC_Travel_Exp,8630.82
2020-02,ACC_Inventory,ACC_COGS,57446.27
2020-02,ACC_Sales_Revenue,ACC_Accounts_Receivable,104067.6
2020-03,ACC_Accounts_Payable,ACC_Inventory,30012.28
2020-03,ACC_Accounts_Receivable,ACC_Cash,72280.14
2020-03,ACC_Cash,ACC_Accounts_Payable,30033.74
2020-03,ACC_Cash,ACC_Payroll_Exp,18357.69
2020-03,ACC_Cash,ACC_Rent_Exp,4383.36
2020-03,ACC_Cash,ACC_Travel_Exp,9140.75
2020-03,ACC_Inventory,ACC_COGS,69179.81
2020-03,ACC_Sales_Revenue,ACC_Accounts_Receivable,124763.55
2020-04,ACC_Accounts_Payable,ACC_Inventory,37666.81
2020-04,ACC_Accounts_Receivable,ACC_Cash,97884.46
2020-04,ACC_Cash,ACC_Accounts_Payable,25337.27
2020-04,ACC_Cash,ACC_Payroll_Exp,19365.120000000003
2020-04,ACC_Cash,ACC_Rent_Exp,5268.66
2020-04,ACC_Cash,ACC_Travel_Exp,9418.61
2020-04,ACC_Inventory,ACC_COGS,60152.51
2020-04,ACC_Sales_Revenue,ACC_Accounts_Receivable,108604.38
2020-05,ACC_Accounts_Payable,ACC_Inventory,30673.84
2020-05,ACC_Accounts_Receivable,ACC_Cash,119657.72
2020-05,ACC_Cash,ACC_Accounts_Payable,37231.88
2020-05,ACC_Cash,ACC_Payroll_Exp,18462.54
2020-05,ACC_Cash,ACC_Rent_Exp,4127.44
2020-05,ACC_Cash,ACC_Travel_Exp,8170.74
2020-05,ACC_Inventory,ACC_COGS,59169.03
2020-05,ACC_Sales_Revenue,ACC_Accounts_Receivable,107278.33
2020-06,ACC_Accounts_Payable,ACC_Inventory,32628.46
2020-06,ACC_Accounts_Receivable,ACC_Cash,111269.13
2020-06,ACC_Cash,ACC_Accounts_Payable,39363.61
2020-06,ACC_Cash,ACC_Payroll_Exp,16572.94
2020-06,ACC_Cash,ACC_Rent_Exp,6434.06
2020-06,ACC_Cash,ACC_Travel_Exp,7344.05
2020-06,ACC_Inventory,ACC_COGS,51189.74
2020-06,ACC_Sales_Revenue,ACC_Accounts_Receivable,93887.41
2020-07,ACC_Accounts_Payable,ACC_Inventory,40797.26
2020-07,ACC_Accounts_Receivable,ACC_Cash,114853.76
2020-07,ACC_Cash,ACC_Accounts_Payable,21757.440000000002
2020-07,ACC_Cash,ACC_Payroll_Exp,19409.62
2020-07,ACC_Cash,ACC_Rent_Exp,3108.33
2020-07,ACC_Cash,ACC_Travel_Exp,9100.380000000001
2020-07,ACC_Inventory,ACC_COGS,41534.25
2020-07,ACC_Sales_Revenue,ACC_Accounts_Receivable,73808.09
2020-08,ACC_Accounts_Payable,ACC_Inventory,36314.850000000006
2020-08,ACC_Accounts_Receivable,ACC_Cash,93708.95
2020-08,ACC_Cash,ACC_Accounts_Payable,56633.01
2020-08,ACC_Cash,ACC_Payroll_Exp,17785.05
2020-08,ACC_Cash,ACC_Rent_Exp,2415.93
2020-08,ACC_Cash,ACC_Travel_Exp,8183.26
2020-08,ACC_Inventory,ACC_COGS,31552.03
2020-08,ACC_Sales_Revenue,ACC_Accounts_Receivable,56962.77
