t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,0,39033.5400,-0.0000,0.0000,0.0000
0,1,86452.4100,-0.0000,0.0000,0.0000
0,2,30692.7400,1.2231,0.0000,0.0000
0,3,20862.2300,-0.0000,0.0000,0.0000
0,4,5361.8600,-0.0000,0.0000,0.0000
0,5,4468.6500,-0.0000,0.0000,0.0000
0,6,47418.8700,-0.0000,0.0000,0.0000
0,7,86528.0300,-0.0000,0.0000,0.0000
0,8,86528.0300,-0.0000,0.0000,0.0000
1,0,48461.4100,-0.0000,11348.0350,-12003.4800
1,1,89845.7100,-0.0000,8330.7500,-299.7650
1,2,68298.4600,1.8607,2361.8400,5324.0450
1,3,17202.1000,-0.0000,1830.0650,531.7750
1,4,5238.8700,-0.0000,61.4950,2300.3450
1,5,8630.8200,-0.0000,2081.0850,280.7550
1,6,57446.2700,-0.0000,5013.7000,3317.0500
1,7,104067.6000,-0.0000,8769.7850,-6957.2200
1,8,125232.3000,-0.0000,1812.5650,7506.4950
2,0,60046.0200,-0.0000,16013.9495,-1103.9710
2,1,99192.0900,-0.0000,12581.0421,-255.1711
2,2,134195.6800,1.7042,18342.8859,-56378.7194
2,3,18357.6900,-0.0000,1527.6947,16815.1912
2,4,4383.3600,-0.0000,435.1866,17907.6993
2,5,9140.7500,-0.0000,2092.6381,16250.2479
2,6,69179.8100,-0.0000,8892.9636,3688.0785
2,7,124763.5500,-0.0000,15627.3046,-361.0634
2,8,197043.6900,-0.0000,15266.2412,3437.7081
3,0,63004.0800,-0.0000,14119.4315,10924.1121
3,1,97819.3200,-0.0000,10920.7568,34.8692
3,2,157274.1200,1.7828,28242.2182,-92929.3697
3,3,19365.1200,-0.0000,1344.8878,26897.3305
3,4,5268.6600,-0.0000,395.1120,27847.1062
3,5,9418.6100,-0.0000,2009.5418,26232.6765
3,6,60152.5100,-0.0000,7756.9513,3163.8055
3,7,108604.3800,-0.0000,13617.4985,16795.2500
3,8,206488.8400,-0.0000,30412.7485,-18965.7803
4,0,67905.7200,-0.0000,15737.8494,11609.9157
4,1,89842.8700,-0.0000,9948.9041,2782.4955
4,2,187650.3200,1.5992,33136.7105,-107219.8207
4,3,18462.5400,-0.0000,1218.3995,31918.3110
4,4,4127.4400,-0.0000,514.7723,32621.9382
4,5,8170.7400,-0.0000,1800.3041,31336.4064
4,6,59169.0300,-0.0000,6942.4543,3006.4498
4,7,107278.3300,-0.0000,12190.7429,27001.6634
4,8,226936.0500,-0.0000,39192.4063,-33057.3592
5,0,71992.0700,-0.0000,16010.1390,9970.4604
5,1,83818.2000,-0.0000,9367.2462,4199.7358
5,2,180983.7900,1.6176,32623.4922,-100825.7686
5,3,16572.9400,-0.0000,1398.9925,31224.4998
5,4,6434.0600,-0.0000,746.9731,31876.5191
5,5,7344.0500,-0.0000,1659.7056,30963.7866
5,6,51189.7400,-0.0000,6924.0891,2443.1570
5,7,93887.4100,-0.0000,12044.3555,30431.5268
5,8,205156.5400,-0.0000,42475.8823,-40283.9169
6,0,62554.7000,-0.0000,15227.9919,15796.0028
6,1,82331.5100,-0.0000,11820.4527,73.4501
6,2,168229.5300,1.7325,34431.5338,-105755.5223
6,3,19409.6200,-0.0000,1336.2600,33095.2738
6,4,3108.3300,-0.0000,990.7353,33440.7985
6,5,9100.3800,-0.0000,1596.4991,32835.0348
6,6,41534.2500,-0.0000,8486.3637,3334.0891
6,7,73808.0900,-0.0000,15406.4031,31844.2574
6,8,188661.8500,-0.0000,47250.6605,-44663.3841
7,0,92947.8600,-0.0000,13386.2754,15759.6596
7,1,67866.8800,-0.0000,14355.0732,-3579.9322
7,2,178726.2000,1.3336,28177.1373,-81452.2219
7,3,17785.0500,-0.0000,979.8848,27197.2524
7,4,2415.9300,-0.0000,1268.8986,26908.2386
7,5,8183.2600,-0.0000,670.0561,27507.0812
7,6,31552.0300,-0.0000,11743.9387,2611.1344
7,7,56962.7700,-0.0000,21375.4258,21752.9237
7,8,150671.7200,-0.0000,43128.3495,-36704.1359
8,0,60187.1600,-0.0000,15300.6131,8374.1475
8,1,64107.4500,-0.0000,19904.2233,-8529.2238
8,2,116856.1200,1.8094,19071.1504,-46711.4875
8,3,19010.5900,-0.0000,929.0395,18142.1109
8,4,4301.9800,-0.0000,1224.6587,17846.4917
8,5,8531.9300,-0.0000,669.6630,18401.4874
8,6,20713.0000,-0.0000,15978.6097,3925.6136
8,7,36956.7100,-0.0000,29094.8874,1425.4030
8,8,105175.6200,-0.0000,30520.2904,-12874.5429
9,0,67780.7500,-0.0000,15549.5215,10366.5093
9,1,56470.6100,-0.0000,17123.5838,-3783.8052
9,2,123697.3000,1.6931,24341.9685,-85703.4811
9,3,15919.9900,-0.0000,1279.2553,23062.7132
9,4,5719.9100,-0.0000,1324.2533,23017.7152
9,5,10802.9000,-0.0000,1031.7926,23310.1759
9,6,25004.7100,-0.0000,14913.8408,2209.7429
9,7,46039.3900,-0.0000,27098.6152,-10277.0765
9,8,100979.0400,-0.0000,16821.5387,17797.5064
10,0,81559.3500,-0.0000,16442.6706,17690.0779
10,1,63254.7600,-0.0000,15634.4501,-1820.3764
10,2,122512.2700,1.5462,34940.9690,-135848.1658
10,3,17618.5200,-0.0000,1168.8851,33772.0840
10,4,4734.5000,-0.0000,1291.7342,33649.2348
10,5,11360.3400,-0.0000,1368.6761,33572.2929
10,6,31327.6900,-0.0000,13005.8532,2628.5969
10,7,56484.0100,-0.0000,23736.8637,-5152.1504
10,8,95650.6400,-0.0000,18584.7134,21508.4060
11,0,64229.4900,-0.0000,17121.6955,10865.5489
11,1,83504.3500,-0.0000,11559.5939,4147.3840
11,2,101983.9600,1.8196,33549.3460,-119927.1226
11,3,17976.6200,-0.0000,1143.1433,32406.2027
11,4,6472.3200,-0.0000,1468.0662,32081.2798
11,5,9363.5500,-0.0000,1319.4122,32229.9338
11,6,44288.7100,-0.0000,10144.8763,1414.7176
11,7,79019.5400,-0.0000,18406.6326,8360.6577
11,8,122177.1600,-0.0000,26767.2903,-1578.6020
12,0,74360.7500,-0.0000,17136.4813,8508.2315
12,1,87973.5200,-0.0000,12064.4480,3881.3724
12,2,140956.0800,1.5815,30716.7461,-103106.4739
12,3,18003.4000,-0.0000,1036.2123,29680.5338
12,4,4689.3100,-0.0000,1297.6839,29419.0622
12,5,8264.3400,-0.0000,1160.0831,29556.6630
12,6,54267.6600,-0.0000,10873.7871,1190.6609
12,7,96852.0700,-0.0000,19125.4354,10721.3608
12,8,166196.2100,-0.0000,29846.7961,-9851.4108
13,0,82787.1000,-0.0000,16508.1284,402.7440
13,1,87477.4600,-0.0000,14572.5074,99.4672
13,2,152641.9700,1.5067,18846.4933,-46634.3839
13,3,18800.3000,-0.0000,931.0884,17915.4049
13,4,5346.4300,-0.0000,1188.5710,17657.9223
13,5,8018.6800,-0.0000,1254.2458,17592.2475
13,6,54730.9200,-0.0000,12736.3536,1836.1538
13,7,98180.0600,-0.0000,22553.9700,5162.0790
13,8,168616.0600,-0.0000,27716.0491,-14031.6348
14,0,49322.7000,-0.0000,16700.6670,11296.3412
14,1,100397.5900,-0.0000,17442.8479,-2395.1411
14,2,138650.1900,1.8588,27254.8273,-93819.6940
14,3,17196.2600,-0.0000,961.3814,26293.4458
14,4,5332.8500,-0.0000,676.8170,26578.0103
14,5,7760.9000,-0.0000,1311.4211,25943.4062
14,6,65922.5000,-0.0000,15789.8878,1652.9601
14,7,121902.2600,-0.0000,28894.1537,-6089.9979
14,8,215414.8300,-0.0000,22804.1559,10540.6693
15,0,86372.4300,-0.0000,14380.4873,16298.2207
15,1,95231.9100,-0.0000,13511.6069,1455.5567
15,2,208389.9500,1.3864,31547.5884,-120551.2925
15,3,19800.8000,-0.0000,1129.7931,30417.7953
15,4,5227.6500,-0.0000,563.9532,30983.6352
15,5,4262.8000,-0.0000,2171.3083,29376.2801
15,6,60846.2000,-0.0000,14098.2831,-586.6763
15,7,110380.6700,-0.0000,25800.2286,-6859.1210
15,8,237492.6500,-0.0000,18941.1076,19465.6018
16,0,48814.9100,-0.0000,16580.5419,14789.9817
16,1,92193.8200,-0.0000,10846.2726,5610.2816
16,2,144880.5900,1.7979,37104.7929,-148121.0177
16,3,16338.8300,-0.0000,1029.9013,36074.8916
16,4,3764.7500,-0.0000,765.0543,36339.7387
16,5,6683.4500,-0.0000,2034.2368,35070.5562
16,6,58133.5500,-0.0000,10722.2849,123.9877
16,7,107091.8600,-0.0000,20197.1163,-3203.9035
16,8,210430.7800,-0.0000,16993.2128,23315.4837
17,0,65422.8100,-0.0000,15742.4366,9170.2646
17,1,86719.9300,-0.0000,9197.1562,4394.9217
17,2,162074.1600,1.6441,31457.9816,-115743.2793
17,3,19467.3800,-0.0000,1139.1949,30318.7867
17,4,4265.3200,-0.0000,811.6200,30646.3616
17,5,4850.7300,-0.0000,1732.3584,29725.6232
17,6,46695.5000,-0.0000,7046.7975,2150.3587
17,7,85372.1100,-0.0000,13653.5296,8467.4892
17,8,193464.4600,-0.0000,22121.0187,869.4737
18,0,79311.7400,-0.0000,17208.8119,601.4988
18,1,67981.0100,-0.0000,8193.8637,9137.6794
18,2,184036.2900,1.4995,26825.2590,-89063.6091
18,3,17730.0400,-0.0000,1150.1284,25675.1305
18,4,6746.9900,-0.0000,884.5353,25940.7236
18,5,6608.1600,-0.0000,1446.7198,25378.5391
18,6,39017.7400,-0.0000,8316.5948,-122.7311
18,7,70198.9300,-0.0000,15760.3191,8612.1711
18,8,172801.5600,-0.0000,24372.4902,-6159.4023
19,0,70550.3800,-0.0000,17097.3809,2563.2300
19,1,61122.7000,-0.0000,12185.0696,5181.7888
19,2,150710.9500,1.6788,24572.9222,-77121.3043
19,3,15361.8500,-0.0000,1522.7627,23050.1595
19,4,5750.6100,-0.0000,899.9685,23672.9537
19,5,10668.2200,-0.0000,1979.7112,22593.2110
19,6,27730.5000,-0.0000,12454.5471,-269.4775
19,7,51155.8500,-0.0000,22945.2777,1298.2057
19,8,132927.9400,-0.0000,24243.4835,-968.7670
