t_idx,src_idx,tgt_idx,weight,stress
0,0,1,39033.5400,0.0000
0,1,6,47418.8700,0.0000
0,2,3,20862.2300,0.0000
0,2,4,5361.8600,0.0000
0,2,5,4468.6500,0.0000
0,7,8,86528.0300,0.0000
1,0,1,32399.4400,0.0000
1,1,6,57446.2700,0.0000
1,2,0,16061.9700,0.0000
1,2,3,17202.1000,0.0000
1,2,4,5238.8700,0.0000
1,2,5,8630.8200,0.0000
1,7,8,104067.6000,0.0000
1,8,2,21164.7000,0.0000
2,0,1,30012.2800,1.7197
2,1,6,69179.8100,3.3403
2,2,0,30033.7400,2.7397
2,2,3,18357.6900,0.3686
2,2,4,4383.3600,14.9119
2,2,5,9140.7500,1.2450
2,7,8,124763.5500,3.3599
2,8,2,72280.1400,5.8303
3,0,1,37666.8100,1.0092
3,1,6,60152.5100,0.2404
3,2,0,25337.2700,0.8126
3,2,3,19365.1200,0.3651
3,2,4,5268.6600,0.6295
3,2,5,9418.6100,0.9582
3,7,8,108604.3800,0.2230
3,8,2,97884.4600,2.1995
4,0,1,30673.8400,1.1086
4,1,6,59169.0300,0.0799
4,2,0,37231.8800,1.6889
4,2,3,18462.5400,0.3601
4,2,4,4127.4400,2.3683
4,2,5,8170.7400,0.1274
4,7,8,107278.3300,0.0945
4,8,2,119657.7200,1.8390
5,0,1,32628.4600,0.3595
5,1,6,51189.7400,1.0779
5,2,0,39363.6100,1.3712
5,2,3,16572.9400,1.8688
5,2,4,6434.0600,3.0266
5,2,5,7344.0500,0.3454
5,7,8,93887.4100,1.0140
5,8,2,111269.1300,1.0849
6,0,1,40797.2600,2.0708
6,1,6,41534.2500,2.2951
6,2,0,21757.4400,0.2166
6,2,3,19409.6200,0.6713
6,2,4,3108.3300,2.7141
6,2,5,9100.3800,0.7460
6,7,8,73808.0900,2.5224
6,8,2,114853.7600,0.9849
7,0,1,36314.8500,0.5866
7,1,6,31552.0300,2.9259
7,2,0,56633.0100,3.4423
7,2,3,17785.0500,0.4242
7,2,4,2415.9300,2.2418
7,2,5,8183.2600,0.6411
7,7,8,56962.7700,2.8970
7,8,2,93708.9500,0.1221
8,0,1,43394.4500,2.2363
8,1,6,20713.0000,2.5084
8,2,0,16792.7100,1.5966
8,2,3,19010.5900,0.7067
8,2,4,4301.9800,0.0093
8,2,5,8531.9300,0.0383
8,7,8,36956.7100,2.5130
8,8,2,68218.9100,2.0903
9,0,1,31465.9000,1.2425
9,1,6,25004.7100,1.3217
9,2,0,36314.8500,0.2599
9,2,3,15919.9900,2.5067
9,2,4,5719.9100,1.0920
9,2,5,10802.9000,3.4699
9,7,8,46039.3900,1.2715
9,8,2,54939.6500,2.6681
10,0,1,31927.0700,0.8241
10,1,6,31327.6900,0.4973
10,2,0,49632.2800,1.1580
10,2,3,17618.5200,0.1919
10,2,4,4734.5000,0.2762
10,2,5,11360.3400,2.4740
10,7,8,56484.0100,0.5031
10,8,2,39166.6300,2.2351
11,0,1,39215.6400,0.6818
11,1,6,44288.7100,1.0547
11,2,0,25013.8500,0.8328
11,2,3,17976.6200,0.2089
11,2,4,6472.3200,1.4533
11,2,5,9363.5500,0.1005
11,7,8,79019.5400,0.9836
11,8,2,43157.6200,1.3134
12,0,1,33705.8600,0.7886
12,1,6,54267.6600,2.6198
12,2,0,40654.8900,0.4298
12,2,3,18003.4000,0.0447
12,2,4,4689.3100,0.1648
12,2,5,8264.3400,1.1204
12,7,8,96852.0700,2.6448
12,8,2,69344.1400,0.0123
13,0,1,32746.5400,0.7695
13,1,6,54730.9200,1.7658
13,2,0,50040.5600,0.9218
13,2,3,18800.3000,1.1767
13,2,4,5346.4300,0.4946
13,2,5,8018.6800,1.1217
13,7,8,98180.0600,1.7908
13,8,2,70436.0000,0.4910
14,0,1,34475.0900,0.2125
14,1,6,65922.5000,2.0377
14,2,0,14847.6100,1.7669
14,2,3,17196.2600,0.6886
14,2,4,5332.8500,0.1674
14,2,5,7760.9000,1.2773
14,7,8,121902.2600,2.2132
14,8,2,93512.5700,2.8276
15,0,1,34385.7100,0.1798
15,1,6,60846.2000,1.0550
15,2,0,51986.7200,1.2489
