t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,-0.3394,0.0000,0
2,0.0000,1.3953,2.2330,0
3,0.0000,0.6684,5.7017,1
4,0.0000,0.5874,5.1437,1
5,0.0000,0.4537,4.2651,1
6,0.0000,0.2815,8.1542,1
7,0.0000,0.1309,43.0878,1
8,0.0000,0.0857,7.5022,1
9,0.0000,0.0177,5.3546,1
10,0.0000,0.0261,7.6205,1
11,0.0000,0.0329,5.6573,1
12,0.0000,0.0167,3.0179,1
13,0.0000,0.0250,1.8293,0
14,0.0000,0.1008,6.3398,1
15,0.0000,0.0790,11.5722,1
16,0.0000,0.0904,6.7352,1
17,0.0000,0.0173,4.1779,1
18,0.0000,0.0504,15.0495,1
19,0.0000,0.0313,3.1709,1
20,0.0000,0.0086,4.6827,1
21,0.0000,0.0010,6.2147,1
22,0.0000,0.0614,33.0721,1
23,0.0000,0.5971,5.8904,1
