t_idx,node_idx,fk_echo_impact
0,0,0.6072
0,1,1.3835
0,2,0.7835
0,3,5.8782
0,4,9.0175
0,5,14.2526
0,6,5.0848
0,7,7.0099
0,8,37.6912
0,9,16.8690
0,10,2.0439
0,11,7.5977
0,12,0.8555
0,13,35.0278
0,14,129.7895
0,15,14.7494
0,16,5.3948
0,17,37.7433
0,18,39.4577
0,19,17.8050
0,20,0.6569
0,21,1.5045
0,22,6.3403
0,23,9.8429
0,24,7.8470
1,0,0.5820
1,1,1.3580
1,2,0.7733
1,3,5.7065
1,4,9.1556
1,5,13.9352
1,6,5.0954
1,7,7.1997
1,8,37.9246
1,9,16.8127
1,10,1.9534
1,11,7.3951
1,12,0.8121
1,13,34.1744
1,14,129.5202
1,15,14.7986
1,16,5.3643
1,17,38.1595
1,18,39.6526
1,19,18.5121
1,20,0.6356
1,21,1.4933
1,22,6.4060
1,23,9.8843
1,24,7.9290
2,0,0.5977
2,1,1.3779
2,2,0.8007
2,3,5.8204
2,4,9.2366
2,5,13.9308
2,6,4.9824
2,7,7.0404
2,8,38.0245
2,9,16.7997
2,10,2.0514
2,11,7.6840
2,12,0.8525
2,13,34.8767
2,14,129.7133
2,15,14.8105
2,16,5.4812
2,17,37.8126
2,18,39.3128
2,19,17.9803
2,20,0.6543
2,21,1.4850
2,22,6.2622
2,23,9.7795
2,24,7.8664
3,0,0.6043
3,1,1.3933
3,2,0.8170
3,3,5.8961
3,4,9.0943
3,5,14.1903
3,6,5.1711
3,7,7.2501
3,8,37.5959
3,9,17.1024
3,10,2.0216
3,11,7.6297
3,12,0.8592
3,13,34.7674
3,14,129.2485
3,15,14.6367
3,16,5.4181
3,17,37.5557
3,18,39.7064
3,19,17.9130
3,20,0.6365
3,21,1.4852
3,22,6.2661
3,23,10.0811
3,24,7.8938
4,0,0.5809
4,1,1.3558
4,2,0.8066
4,3,5.7387
4,4,8.9254
4,5,14.0599
4,6,5.1262
4,7,7.2911
4,8,37.3285
4,9,17.0118
4,10,2.0599
4,11,7.7439
4,12,0.8437
4,13,35.5262
4,14,129.5311
4,15,14.9793
4,16,5.4466
4,17,37.4767
4,18,39.3607
4,19,17.8746
4,20,0.6353
4,21,1.5042
4,22,6.3510
4,23,9.8144
4,24,7.8613
5,0,0.5997
5,1,1.4010
5,2,0.8014
5,3,5.9161
5,4,9.3181
5,5,14.1689
5,6,5.1390
5,7,7.5626
5,8,38.6438
5,9,17.7773
5,10,2.0180
5,11,7.4725
5,12,0.8422
5,13,34.3253
5,14,129.1069
5,15,14.7265
5,16,5.3789
5,17,38.3105
5,18,38.2849
5,19,17.7567
5,20,0.6407
5,21,1.4941
5,22,6.2749
5,23,9.5849
5,24,7.6886
6,0,0.5949
6,1,1.3684
6,2,0.7875
6,3,5.8028
6,4,9.1444
6,5,14.3414
6,6,5.0758
6,7,7.2726
6,8,38.3611
6,9,17.2122
6,10,1.9694
6,11,7.4002
6,12,0.8172
6,13,34.5544
6,14,129.4087
6,15,14.6379
6,16,5.2831
6,17,38.0928
6,18,38.9494
6,19,18.0653
6,20,0.6328
6,21,1.4693
6,22,6.2499
6,23,9.7981
6,24,7.9441
7,0,0.5854
7,1,1.3771
7,2,0.7660
7,3,5.8074
7,4,9.0742
7,5,13.9533
7,6,4.9834
7,7,7.1520
7,8,37.6933
7,9,16.9795
7,10,1.9657
7,11,7.3071
7,12,0.8281
7,13,33.7004
7,14,129.2832
7,15,14.8969
7,16,5.4129
7,17,38.2883
7,18,40.1323
7,19,18.5367
7,20,0.6443
7,21,1.5051
7,22,6.3517
7,23,9.9435
7,24,8.0659
8,0,0.5772
8,1,1.3406
8,2,0.8182
8,3,5.7369
8,4,8.9497
8,5,13.7357
8,6,5.0668
8,7,7.0525
8,8,37.0034
8,9,16.9319
8,10,2.0826
8,11,7.5343
8,12,0.8509
8,13,34.0680
8,14,129.3864
8,15,14.7700
8,16,5.4246
8,17,38.9203
8,18,39.6884
8,19,18.6218
8,20,0.6458
8,21,1.5081
8,22,6.3941
8,23,10.0031
8,24,8.1224
9,0,0.6107
9,1,1.3609
9,2,0.8269
9,3,5.6363
9,4,8.7819
9,5,14.2741
9,6,5.2431
9,7,7.0359
9,8,37.1812
9,9,17.0799
9,10,2.0810
9,11,7.6579
9,12,0.8632
9,13,35.2236
9,14,129.4563
9,15,15.2315
9,16,5.5665
9,17,37.3331
9,18,39.9732
9,19,17.5843
9,20,0.6557
9,21,1.5097
9,22,6.3923
9,23,9.8241
9,24,7.8505
10,0,0.5999
10,1,1.3824
10,2,0.7976
10,3,5.7028
10,4,8.8405
10,5,13.9979
10,6,5.0850
10,7,7.1803
10,8,37.6968
10,9,17.1061
10,10,1.9908
10,11,7.5219
10,12,0.8254
10,13,34.4089
10,14,129.7080
10,15,14.8905
10,16,5.4776
10,17,38.6662
10,18,39.1877
10,19,18.1341
10,20,0.6355
10,21,1.5031
10,22,6.3320
10,23,9.7431
10,24,7.8195
11,0,0.5872
11,1,1.3624
11,2,0.8021
11,3,5.9122
11,4,9.2286
11,5,14.2904
11,6,5.0677
11,7,7.2895
11,8,38.3251
11,9,17.1879
11,10,2.0527
11,11,7.5402
11,12,0.8227
11,13,34.9744
11,14,129.4805
11,15,14.9434
11,16,5.4139
11,17,37.2908
11,18,39.2650
11,19,17.7152
11,20,0.6265
11,21,1.4708
11,22,6.2726
11,23,9.6062
11,24,7.7054
12,0,0.5735
12,1,1.3234
12,2,0.7916
12,3,5.7028
12,4,9.1151
12,5,13.9083
12,6,4.9760
12,7,7.3908
12,8,37.7900
12,9,16.9896
12,10,1.9940
12,11,7.4630
12,12,0.8431
12,13,34.5940
12,14,129.8815
12,15,14.8314
12,16,5.4820
12,17,37.6740
12,18,39.7586
12,19,17.9156
12,20,0.6494
12,21,1.4747
12,22,6.2796
12,23,9.9133
12,24,7.9184
13,0,0.5748
13,1,1.3245
13,2,0.7785
13,3,5.8349
13,4,9.0448
13,5,14.0465
13,6,4.9773
13,7,6.9331
13,8,37.3961
13,9,16.3987
13,10,2.0174
13,11,7.5031
13,12,0.8423
13,13,34.6469
13,14,129.9086
13,15,14.8724
13,16,5.4641
13,17,37.6662
13,18,40.2777
13,19,18.2395
13,20,0.6539
13,21,1.4975
13,22,6.4002
13,23,9.9942
13,24,7.9405
14,0,0.5911
14,1,1.3558
14,2,0.7854
14,3,5.8224
14,4,9.0489
14,5,13.9929
14,6,5.1124
14,7,7.2567
14,8,37.5295
14,9,17.3452
14,10,1.9597
14,11,7.6232
14,12,0.8508
14,13,34.7902
14,14,129.2778
14,15,14.9388
14,16,5.5645
14,17,37.9036
14,18,39.3316
14,19,17.7681
14,20,0.6546
14,21,1.5177
14,22,6.4271
14,23,9.9460
14,24,7.8396
15,0,0.5849
15,1,1.3536
15,2,0.7851
15,3,5.7867
15,4,9.1827
15,5,13.9240
15,6,5.0168
15,7,7.2905
15,8,37.5910
15,9,17.0546
15,10,2.0512
15,11,7.5916
15,12,0.8268
15,13,34.7198
15,14,129.2372
15,15,14.7544
15,16,5.3487
15,17,37.6874
15,18,39.6226
15,19,18.1724
15,20,0.6494
15,21,1.5111
15,22,6.4454
15,23,10.0572
15,24,7.9886
16,0,0.6003
16,1,1.3907
16,2,0.8092
16,3,5.8450
16,4,9.1832
16,5,13.9800
16,6,5.1262
16,7,7.2320
16,8,37.8465
16,9,17.0656
16,10,1.9988
16,11,7.5651
16,12,0.8426
16,13,34.5678
16,14,129.3967
16,15,15.0079
16,16,5.5094
16,17,37.4204
16,18,39.6812
16,19,17.7882
16,20,0.6496
16,21,1.5240
16,22,6.4345
16,23,9.8976
16,24,7.8713
17,0,0.5991
17,1,1.4081
17,2,0.8246
17,3,5.9786
17,4,9.1159
17,5,14.4942
17,6,5.2897
17,7,7.2365
17,8,38.2472
17,9,17.0355
17,10,2.0089
17,11,7.6587
17,12,0.8233
17,13,34.7919
17,14,129.0512
17,15,14.6565
17,16,5.3567
17,17,37.4512
17,18,38.9039
17,19,18.0768
17,20,0.6324
17,21,1.4911
17,22,6.3510
17,23,9.8148
17,24,7.9358
18,0,0.5913
18,1,1.3527
18,2,0.7917
18,3,5.7356
18,4,9.0580
18,5,13.9633
18,6,5.0169
18,7,7.3952
18,8,37.4865
18,9,17.4220
18,10,2.0515
18,11,7.6375
18,12,0.8641
18,13,34.7137
18,14,129.3652
18,15,14.5534
18,16,5.4283
18,17,38.3267
18,18,39.2123
18,19,18.1169
18,20,0.6463
18,21,1.5083
18,22,6.3553
18,23,9.8175
18,24,7.8236
19,0,0.5817
19,1,1.3347
19,2,0.7885
19,3,5.7371
19,4,8.9275
19,5,14.0021
19,6,5.0142
19,7,7.0687
19,8,37.7195
19,9,17.2044
19,10,1.9495
19,11,7.3667
19,12,0.8111
19,13,34.4247
19,14,129.7216
19,15,14.8103
19,16,5.3425
19,17,38.1880
19,18,39.8372
19,19,18.1423
19,20,0.6453
19,21,1.4782
19,22,6.2919
19,23,9.8633
19,24,7.9827
20,0,0.5755
20,1,1.3444
20,2,0.8033
20,3,5.6096
20,4,8.9471
20,5,13.7460
20,6,5.0796
20,7,7.2287
20,8,37.3211
20,9,17.2228
20,10,2.0556
20,11,7.7634
20,12,0.8376
20,13,35.0774
20,14,129.6307
20,15,14.9569
20,16,5.5054
20,17,38.1424
20,18,39.2294
20,19,17.9305
20,20,0.6430
20,21,1.5174
20,22,6.3293
20,23,9.7504
20,24,7.9861
21,0,0.5958
21,1,1.3759
21,2,0.7791
21,3,5.8536
21,4,9.0143
21,5,14.0467
21,6,5.0593
21,7,7.1542
21,8,37.3080
21,9,17.1361
21,10,1.9798
21,11,7.4087
21,12,0.8300
21,13,34.9363
21,14,129.4312
21,15,14.9760
21,16,5.4424
21,17,37.4242
21,18,40.1783
21,19,17.7768
21,20,0.6529
21,21,1.5005
21,22,6.3467
21,23,10.1753
21,24,7.8515
22,0,0.5688
22,1,1.3485
22,2,0.7774
22,3,5.8432
22,4,9.0561
22,5,14.2569
22,6,5.0176
22,7,7.1962
22,8,37.6562
22,9,16.9965
22,10,2.0083
22,11,7.4847
22,12,0.8336
22,13,34.8180
22,14,129.5109
22,15,14.7896
22,16,5.3295
22,17,37.5670
22,18,39.8710
22,19,18.1356
22,20,0.6505
22,21,1.4887
22,22,6.3397
22,23,9.7721
22,24,7.9170
23,0,0.6012
23,1,1.3763
23,2,0.8129
23,3,5.8752
23,4,9.1408
23,5,14.2029
23,6,5.1474
23,7,7.2085
23,8,38.2148
23,9,17.1110
23,10,2.0353
23,11,7.6056
23,12,0.8416
23,13,34.4073
23,14,129.5554
23,15,14.6298
23,16,5.4051
23,17,37.5000
23,18,39.6047
23,19,17.8114
23,20,0.6516
23,21,1.4912
23,22,6.3138
23,23,9.8719
23,24,7.8183
24,0,0.5669
24,1,1.3118
24,2,0.7736
