t_idx,src_idx,tgt_idx,value
0,0,4,55952.86
0,3,5,18973.66
0,3,6,6683.35
0,3,8,6181.45
0,4,2,53801.35
0,7,1,95968.3
1,7,1,116246.21
1,3,8,8271.36
1,3,6,5368.76
1,4,2,64905.15
1,3,0,11648.77
1,1,3,24718.59
1,0,4,42491.61
1,3,5,18245.21
2,0,4,45747.05
2,1,3,80167.1
2,3,0,33507.51
2,3,5,14782.04
2,3,6,5803.61
2,3,8,12009.1
2,4,2,54939.95
2,7,1,100458.77
3,3,8,8741.78
3,7,1,50480.48
3,4,2,28447.92
3,3,6,5305.31
3,3,0,33374.83
3,1,3,101272.95
3,0,4,59585.880000000005
3,3,5,18834.01
4,4,2,25503.94
4,0,4,48149.3
4,1,3,101909.78
4,3,0,54811.43
4,3,5,18155.0
4,3,6,4705.11
4,3,8,5666.56
4,7,1,45351.38
5,4,2,30274.7
5,3,8,7536.98
5,3,6,5224.12
5,0,4,53632.43
5,3,0,81160.09
5,1,3,52243.78
5,7,1,54879.67
5,3,5,18066.68
6,4,2,58695.15
6,3,8,11233.65
6,7,1,111667.96
6,3,6,6658.59
6,0,4,63767.55
6,3,0,50022.77
6,1,3,49704.32
6,3,5,20722.72
7,0,4,49471.29
7,1,3,66951.17
7,3,0,26535.519999999997
7,3,5,18876.79
7,3,6,4943.7
7,3,8,7172.91
7,4,2,68951.98
7,7,1,124227.22
8,7,1,95107.68
8,4,2,52202.28
8,3,8,9500.69
8,3,6,3356.24
8,0,4,61487.57
8,3,0,92431.41
8,1,3,106292.37
8,3,5,21170.519999999997
9,7,1,56232.85
9,4,2,31142.57
9,3,8,9036.65
9,3,6,6428.78
9,3,0,35305.64
9,1,3,114799.0
9,0,4,48174.66
9,3,5,18513.78
10,7,1,46444.07
10,3,8,7888.08
10,3,6,5978.88
10,4,2,25672.71
10,3,0,35361.5
10,1,3,90662.45
10,0,4,47318.0
10,3,5,17692.5
11,4,2,31906.45
11,0,4,50971.77
11,1,3,51126.78
11,3,0,61488.54
11,3,5,16938.43
11,3,6,1553.29
11,3,8,6060.53
11,7,1,58092.97
