t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2020-W01,0,ACC_Accounts_Payable,1,ACC_Inventory,11648.77,0.0
0,2020-W01,1,ACC_Inventory,4,ACC_COGS,5839.62,0.0
0,2020-W01,2,ACC_Cash,3,ACC_Travel_Exp,1577.3,0.0
0,2020-W01,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,11688.16,0.0
1,2020-W02,0,ACC_Accounts_Payable,1,ACC_Inventory,10413.43,0.0
1,2020-W02,1,ACC_Inventory,4,ACC_COGS,10581.97,0.0
1,2020-W02,2,ACC_Cash,3,ACC_Travel_Exp,940.0,0.0
1,2020-W02,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,18504.48,0.0
2,2020-W03,0,ACC_Accounts_Payable,1,ACC_Inventory,13505.3,4.0057
2,2020-W03,1,ACC_Inventory,4,ACC_COGS,13742.18,2.3328
2,2020-W03,2,ACC_Cash,3,ACC_Travel_Exp,476.49,2.4546
2,2020-W03,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,23979.2,2.6064
3,2020-W04,0,ACC_Accounts_Payable,1,ACC_Inventory,10796.58,0.8336
3,2020-W04,1,ACC_Inventory,4,ACC_COGS,13011.32,0.9104
3,2020-W04,2,ACC_Cash,3,ACC_Travel_Exp,1940.72,2.0892
3,2020-W04,2,ACC_Cash,7,ACC_Payroll_Exp,18973.66,0.0
3,2020-W04,2,ACC_Cash,8,ACC_Rent_Exp,6683.35,0.0
3,2020-W04,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,24510.13,1.2834
4,2020-W05,0,ACC_Accounts_Payable,1,ACC_Inventory,9588.78,1.6794
4,2020-W05,1,ACC_Inventory,4,ACC_COGS,14224.42,1.1101
4,2020-W05,2,ACC_Cash,3,ACC_Travel_Exp,2409.76,2.0811
4,2020-W05,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,25700.15,1.1655
5,2020-W06,0,ACC_Accounts_Payable,1,ACC_Inventory,10714.26,0.3572
5,2020-W06,1,ACC_Inventory,4,ACC_COGS,15296.15,1.2367
5,2020-W06,2,ACC_Cash,3,ACC_Travel_Exp,856.51,0.8868
5,2020-W06,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,27839.6,1.3344
5,2020-W06,6,ACC_Accounts_Receivable,2,ACC_Cash,2873.47,0.0
6,2020-W07,0,ACC_Accounts_Payable,1,ACC_Inventory,9199.1,1.5542
6,2020-W07,1,ACC_Inventory,4,ACC_COGS,16229.4,1.3035
6,2020-W07,2,ACC_Cash,3,ACC_Travel_Exp,3375.11,2.9957
6,2020-W07,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,29035.09,1.2901
6,2020-W07,6,ACC_Accounts_Receivable,2,ACC_Cash,8461.33,7.4541
