t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,1.2946,0.0,0.0,0
2,2020-03,0.0,0.2757,0.7071,1.0425,0
3,2020-04,0.0,0.0998,0.5774,4.7943,1
4,2020-05,0.0,0.0606,1.0661,1.1383,0
5,2020-06,0.0,0.032,2.0306,3.394,1
6,2020-07,0.0,0.006,4.1377,4.8971,1
7,2020-08,0.0,0.0363,1.3463,2.1294,0
8,2020-09,0.0,0.0277,1.3897,1.8634,0
9,2020-10,0.0,0.0072,2.6105,2.7324,0
10,2020-11,0.0,0.0023,1.0852,0.9111,0
11,2020-12,0.0,0.0282,0.863,3.8833,1
