node_idx,node_label,account_category,dominant_frequency,spectral_power
7,07_ACC_Sales_Revenue,Revenue,0.1667,7366174776.6852
1,01_ACC_Accounts_Receivable,Asset,0.1667,6045066481.2511
3,03_ACC_Cash,Asset,0.25,5111116246.5849
0,00_ACC_Accounts_Payable,Liability,0.3333,3231274363.2621
4,04_ACC_Inventory,Asset,0.1667,2677163320.7572
2,02_ACC_COGS,Expense,0.1667,2119598363.4332
8,08_ACC_Travel_Exp,Expense,0.3333,15024154.0299
5,05_ACC_Payroll_Exp,Expense,0.0833,10423237.3348
6,06_ACC_Rent_Exp,Expense,0.25,6144417.1435
9,09_ACC_Equity_Capital,Equity,0.0,0.0
