t_idx,time_label,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0
1,2020-W02,0.0,0.0,0.0,0
2,2020-W03,0.0,0.0,1.6837,0
3,2020-W04,0.0,-0.1893,1.0893,0
4,2020-W05,0.0,0.3954,3.3704,1
5,2020-W06,0.0,2.0215,4.8791,1
6,2020-W07,0.0,2.1201,36.4093,1
7,2020-W08,0.0,1.6679,1.4899,0
8,2020-W09,0.0,3.152,11.498,1
9,2020-W10,0.0,2.2004,11.7976,1
10,2020-W11,0.0,1.639,4.347,1
11,2020-W12,0.0,1.3505,38.9724,1
12,2020-W13,0.0,2.5526,12.5915,1
13,2020-W14,0.0,1.9069,6.1125,1
14,2020-W15,0.0,1.2522,6.7122,1
15,2020-W16,0.0,1.1147,12.2345,1
16,2020-W17,0.0,2.3256,7.6913,1
17,2020-W18,0.0,1.1134,7.446,1
18,2020-W19,0.0,1.6784,6.5917,1
19,2020-W20,0.0,1.1731,3.3632,1
20,2020-W21,0.0,1.5158,3.8244,1
21,2020-W22,0.0,2.2133,8.8556,1
22,2020-W23,0.0,1.27,2.8379,0
23,2020-W24,0.0,1.3085,8.0239,1
24,2020-W25,0.0,0.7263,4.9616,1
25,2020-W26,0.0,0.9211,9.8424,1
26,2020-W27,0.0,1.3725,10.5524,1
27,2020-W28,0.0,0.6662,4.5021,1
28,2020-W29,0.0,0.6025,5.0406,1
29,2020-W30,0.0,1.3352,14.4688,1
30,2020-W31,0.0,0.3405,6.0083,1
31,2020-W32,0.0,1.5876,14.4847,1
32,2020-W33,0.0,1.2791,6.4609,1
33,2020-W34,0.0,1.2791,3.2825,1
34,2020-W35,0.0,1.6781,23.8966,1
35,2020-W36,0.0,0.6084,7.7897,1
36,2020-W37,0.0,1.2685,8.5681,1
37,2020-W38,0.0,1.0915,7.9755,1
38,2020-W39,0.0,1.286,15.7044,1
39,2020-W40,0.0,0.328,17.5834,1
40,2020-W41,0.0,1.0528,4.8166,1
41,2020-W42,0.0,1.2665,7.4755,1
42,2020-W43,0.0,2.7789,9.7869,1
43,2020-W44,0.0,0.4694,4.9976,1
44,2020-W45,0.0,1.1164,3.6063,1
45,2020-W46,0.0,1.5511,5.5803,1
46,2020-W47,0.0,0.4888,3.7968,1
47,2020-W48,0.0,2.3191,7.0511,1
48,2020-W49,0.0,0.565,4.7821,1
49,2020-W50,0.0,0.4883,3.5474,1
50,2020-W51,0.0,0.4996,5.3761,1
51,2020-W52,0.0,1.0916,146.3738,1
