t_idx,time_label,node_idx,node_label,account_category,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,37.0863,8.5,8,49.99,0.0,0
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,10.0,0.0,0,29.0242,4.9344,9
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,10.0,0.0,0,15.1848,2.5815,5
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,10.0,0.0,0,21.796,3.7055,6
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,31.8662,5.9943,5,49.99,0.0,0
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,18.5,8.5,2,15.7565,2.6787,10
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,18.5,8.5,3,27.9186,4.7464,11
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,25.725,7.1522,5,43.2296,3.4197,4
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,31.8663,6.8252,10,29.0242,4.9344,0
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,18.5,8.5,1,49.99,0.0,0
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,25.725,8.5,5,25.7559,3.516,8
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,25.725,8.5,6,47.382,1.5872,8
0,2020-01,12,12_ACC_Cash,Asset,10.0,0.0,0,49.99,0.0,0
0,2020-01,13,13_ACC_Raw_Materials,Unknown,10.0,0.0,0,49.99,0.0,0
0,2020-01,14,14_ACC_Finished_Goods,Unknown,10.0,0.0,0,49.99,0.0,0
0,2020-01,15,15_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,37.0863,8.5,8,47.7913,1.3687,4
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,37.8337,8.5,4,29.0242,4.9344,9
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,10.0,0.0,0,13.2157,2.2467,5
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,10.0,0.0,0,22.1308,3.7624,6
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,33.493,6.3597,5,22.2746,3.7869,1
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,18.5,8.5,2,12.7575,2.1688,10
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,18.5,8.5,3,28.6762,4.8752,11
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,25.725,7.9857,5,40.3571,2.6326,4
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,31.8663,7.4967,10,28.4747,4.841,0
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,41.5234,8.5,1,49.99,0.0,0
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,25.725,8.5,5,20.7786,3.1155,8
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,25.725,8.5,6,48.9446,0.9823,8
1,2020-02,12,12_ACC_Cash,Asset,10.0,0.0,0,49.99,0.0,0
1,2020-02,13,13_ACC_Raw_Materials,Unknown,10.0,0.0,0,49.99,0.0,0
1,2020-02,14,14_ACC_Finished_Goods,Unknown,10.0,0.0,0,49.99,0.0,0
1,2020-02,15,15_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,37.0863,8.5,8,0.0,-78.645,1
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,39.4723,8.5,4,0.0,-10.4037,9
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,10.0,0.0,0,0.0,-185.9789,1
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,10.0,0.0,0,0.0,-116.4331,1
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,37.0592,5.62,5,0.0,17.179,1
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,18.5,8.5,2,0.1377,37413.4915,1
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,18.5,8.5,3,0.0,-29.2568,1
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,25.725,7.7736,5,0.0,301.8684,1
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,31.8663,7.7278,10,0.0,275.8978,1
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,41.5234,8.5,1,0.0,-18.1119,1
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,25.725,8.5,5,0.0,66.2286,1
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,25.725,8.5,6,0.0001,753.3226,1
2,2020-03,12,12_ACC_Cash,Asset,10.0,0.0,0,0.0,0.0,0
2,2020-03,13,13_ACC_Raw_Materials,Unknown,10.0,0.0,0,0.0,0.0,0
2,2020-03,14,14_ACC_Finished_Goods,Unknown,10.0,0.0,0,0.0,0.0,0
2,2020-03,15,15_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,37.0863,8.5,8,0.0,-8.5701,4
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,38.2661,8.5,4,0.0,-11.4037,0
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,Expense,10.0,0.0,0,0.0,85.8372,0
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,Expense,10.0,0.0,0,0.0,-126.0596,1
3,2020-04,4,04_ACC_Cash_DPT_Admin,Asset,34.4341,6.0378,5,0.0,-8.9596,0
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,18.5,8.5,2,0.0,-334.3346,1
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,18.5,8.5,3,0.0,-29.3746,1
3,2020-04,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,25.725,7.8867,5,0.0,-45.364,0
3,2020-04,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,31.8663,7.453,10,0.0,33.843,0
3,2020-04,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,41.5234,8.5,1,0.0,-17.476,1
3,2020-04,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,25.725,8.5,5,0.0,72.2694,1
3,2020-04,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,25.725,8.5,6,0.0001,740.7535,1
3,2020-04,12,12_ACC_Cash,Asset,10.0,0.0,0,0.0,0.0,0
