t_idx,time_label,component_idx,node_idx,node_label,eigenvalue,explained_variance_ratio,vector_value
0,2020-02,0,0,00_AAPL_Close,0.0,0.0,0.0
0,2020-02,0,1,01_AMZN_Close,0.0,0.0,0.0
0,2020-02,0,2,02_APA_Close,0.0,0.0,0.0
0,2020-02,0,3,03_AVGO_Close,0.0,0.0,0.0
0,2020-02,0,4,04_BIIB_Close,0.0,0.0,0.0
0,2020-02,0,5,05_BXP_Close,0.0,0.0,0.0
0,2020-02,0,6,06_CAG_Close,0.0,0.0,0.0
0,2020-02,0,7,07_CAT_Close,0.0,0.0,0.0
0,2020-02,0,8,08_CPB_Close,0.0,0.0,0.0
0,2020-02,0,9,09_DIS_Close,0.0,0.0,0.0
0,2020-02,0,10,10_DOV_Close,0.0,0.0,0.0
0,2020-02,0,11,11_GOOG_Close,0.0,0.0,0.0
0,2020-02,0,12,12_HAL_Close,0.0,0.0,0.0
0,2020-02,0,13,13_HD_Close,0.0,0.0,0.0
0,2020-02,0,14,14_HPQ_Close,0.0,0.0,0.0
0,2020-02,0,15,15_JNJ_Close,0.0,0.0,0.0
0,2020-02,0,16,16_JPM_Close,0.0,0.0,0.0
0,2020-02,0,17,17_KSS_Close,0.0,0.0,0.0
0,2020-02,0,18,18_LIN_Close,0.0,0.0,0.0
0,2020-02,0,19,19_LYV_Close,0.0,0.0,0.0
0,2020-02,0,20,20_META_Close,0.0,0.0,0.0
0,2020-02,0,21,21_MSFT_Close,0.0,0.0,0.0
0,2020-02,0,22,22_M_Close,0.0,0.0,0.0
0,2020-02,0,23,23_NAVI_Close,0.0,0.0,0.0
0,2020-02,0,24,24_NEE_Close,0.0,0.0,0.0
0,2020-02,0,25,25_NI_Close,0.0,0.0,0.0
0,2020-02,0,26,26_NVDA_Close,0.0,0.0,0.0
0,2020-02,0,27,27_NWSA_Close,0.0,0.0,0.0
0,2020-02,0,28,28_OI_Close,0.0,0.0,0.0
0,2020-02,0,29,29_PG_Close,0.0,0.0,0.0
