t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-02,3356.4377,0.0,0.0,135.9528,53.0875,0.0,3356.4377
1,2020-03,4014.5161,0.0,344.5182,164.5316,161.4945,0.0,4014.5161
2,2020-04,3511.0815,0.0,367.16,-216.2073,-37.8869,0.0,3511.0815
3,2020-05,3370.2336,0.0,398.7851,-100.2491,-19.9067,0.0,3370.2336
4,2020-06,3373.7785,0.0,452.1457,-71.8807,38.4076,0.0,3373.7785
5,2020-07,3225.9594,0.0,536.0572,-181.1748,-30.1398,0.0,3225.9594
6,2020-08,3372.1455,0.0,675.1263,-236.4604,-41.9413,0.0,3372.1455
7,2020-09,3368.9456,0.0,689.9582,131.3206,34.4185,0.0,3368.9456
8,2020-10,3409.9244,0.0,698.7805,56.0268,38.0632,0.0,3409.9244
9,2020-11,3401.5886,0.0,764.2197,-230.832,-102.389,0.0,3401.5886
10,2020-12,3436.6228,0.0,841.4314,-134.1647,-29.28,0.0,3436.6228
11,2021-01,3438.4654,0.0,883.5681,-9.9003,-23.4835,0.0,3438.4654
12,2021-02,3338.2124,0.0,931.9889,-3.5973,-55.2482,0.0,3338.2124
13,2021-03,3285.7087,0.0,967.3269,-156.3999,-64.8739,0.0,3285.7087
14,2021-04,3274.2986,0.0,947.0346,-137.8768,-35.2247,0.0,3274.2986
15,2021-05,3196.3015,0.0,945.6562,11.9446,-42.5443,0.0,3196.3015
16,2021-06,3240.225,0.0,944.9781,-51.6936,-63.1845,0.0,3240.225
17,2021-07,3244.7398,0.0,923.7927,-72.4529,22.3199,0.0,3244.7398
18,2021-08,3290.5583,0.0,936.5873,-115.9001,-29.7952,0.0,3290.5583
19,2021-09,3316.5056,0.0,922.1082,142.36,92.4895,0.0,3316.5056
20,2021-10,3551.0596,0.0,932.4781,-295.8807,-22.7903,0.0,3551.0596
21,2021-11,3667.729,0.0,884.2129,-17.31,29.526,0.0,3667.729
22,2021-12,3619.2056,0.0,902.0987,-118.1661,-76.8403,0.0,3619.2056
23,2022-01,3525.1422,0.0,879.4918,233.1237,35.1975,0.0,3525.1422
24,2022-02,3501.0861,0.0,841.8824,240.607,15.2822,0.0,3501.0861
25,2022-03,3642.6102,0.0,819.8543,-182.0486,-5.8324,0.0,3642.6102
26,2022-04,3462.4529,0.0,847.3159,272.2975,77.5313,0.0,3462.4529
27,2022-05,3376.4212,0.0,887.8863,55.8488,14.0557,0.0,3376.4212
28,2022-06,3446.1625,0.0,966.5479,264.7608,111.8193,0.0,3446.1625
29,2022-07,3485.0053,0.0,966.8434,-258.2258,-61.2223,0.0,3485.0053
30,2022-08,3543.4228,0.0,983.3974,117.5504,74.1112,0.0,3543.4228
31,2022-09,3609.9253,0.0,1018.6062,228.3732,20.9554,0.0,3609.9253
32,2022-10,3551.0629,0.0,1057.4547,-100.3652,-94.5673,0.0,3551.0629
33,2022-11,3430.1235,0.0,1066.5472,-140.6745,-59.2196,0.0,3430.1235
34,2022-12,3354.4593,0.0,1058.6841,160.8445,58.8502,0.0,3354.4593
35,2023-01,3298.6148,0.0,948.8537,-183.0661,-96.9959,0.0,3298.6148
36,2023-02,3394.0153,0.0,876.6633,2.0077,68.7513,0.0,3394.0153
37,2023-03,3384.2714,0.0,840.5595,-131.9784,17.4567,0.0,3384.2714
38,2023-04,3321.2123,0.0,773.3972,-57.6529,-18.783,0.0,3321.2123
39,2023-05,3455.9586,0.0,776.8221,-55.7869,51.7047,0.0,3455.9586
40,2023-06,3637.7928,0.0,828.6672,-250.862,-62.76,0.0,3637.7928
41,2023-07,3682.352,0.0,885.4377,-128.6164,-30.6135,0.0,3682.352
42,2023-08,3675.3033,0.0,909.1026,47.2151,25.7511,0.0,3675.3033
43,2023-09,3672.5471,0.0,883.642,140.1404,65.6299,0.0,3672.5471
44,2023-10,3599.9018,0.0,822.7126,106.5332,52.2574,0.0,3599.9018
45,2023-11,3843.6674,0.0,817.6098,-293.0621,-50.3685,0.0,3843.6674
46,2023-12,3856.6884,0.0,856.1659,-166.1107,-103.7873,0.0,3856.6884
47,2024-01,3850.8727,0.0,832.2809,-34.4564,38.2628,0.0,3850.8727
48,2024-02,4356.3268,0.0,919.5617,-315.2793,-0.5275,0.0,4356.3268
49,2024-03,4424.817,0.0,995.9988,-91.8074,-65.8296,0.0,4424.817
50,2024-04,4254.5531,0.0,995.2736,229.1918,53.7251,0.0,4254.5531
51,2024-05,4456.7879,0.0,986.6453,-145.2747,-40.0951,0.0,4456.7879
52,2024-06,4761.3665,0.0,991.3399,-170.593,-2.0654,0.0,4761.3665
53,2024-07,4740.1177,0.0,1017.8404,-52.436,-38.4778,0.0,4740.1177
54,2024-08,4847.5153,0.0,1056.7297,-93.025,1.6733,0.0,4847.5153
55,2024-09,5225.2185,0.0,1113.7822,-200.5951,-32.2915,0.0,5225.2185
56,2024-10,5143.5597,0.0,1079.5311,92.762,27.6321,0.0,5143.5597
57,2024-11,5633.9191,0.0,1056.3347,-282.5553,-66.7953,0.0,5633.9191
58,2024-12,5768.5004,0.0,1060.1534,6.0533,95.7466,0.0,5768.5004
