t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-02,0,00_AAPL_Close,83.0897,-0.0,0.0,0.0
0,2020-02,1,01_AMZN_Close,106.6845,-0.0,0.0,0.0
0,2020-02,2,02_APA_Close,25.6297,-0.0,0.0,0.0
0,2020-02,3,03_AVGO_Close,28.9919,-0.0,0.0,0.0
0,2020-02,4,04_BIIB_Close,229.31,-0.0,0.0,0.0
0,2020-02,5,05_BXP_Close,115.4869,-0.0,0.0,0.0
0,2020-02,6,06_CAG_Close,29.3144,-0.0,0.0,0.0
0,2020-02,7,07_CAT_Close,122.5573,-0.0,0.0,0.0
0,2020-02,8,08_CPB_Close,41.2251,-0.0,0.0,0.0
0,2020-02,9,09_DIS_Close,155.3125,-0.0,0.0,0.0
0,2020-02,10,10_DOV_Close,114.3921,-0.0,0.0,0.0
0,2020-02,11,11_GOOG_Close,75.8339,-0.0,0.0,0.0
0,2020-02,12,12_HAL_Close,23.7735,-0.0,0.0,0.0
0,2020-02,13,13_HD_Close,204.7944,-0.0,0.0,0.0
0,2020-02,14,14_HPQ_Close,17.4903,-0.0,0.0,0.0
0,2020-02,15,15_JNJ_Close,136.4441,-0.0,0.0,0.0
0,2020-02,16,16_JPM_Close,125.5434,-0.0,0.0,0.0
0,2020-02,17,17_KSS_Close,32.7411,-0.0,0.0,0.0
0,2020-02,18,18_LIN_Close,196.8628,-0.0,0.0,0.0
0,2020-02,19,19_LYV_Close,75.55,-0.0,0.0,0.0
0,2020-02,20,20_META_Close,209.7043,-0.0,0.0,0.0
0,2020-02,21,21_MSFT_Close,168.6299,-0.0,0.0,0.0
0,2020-02,22,22_M_Close,14.9023,-0.0,0.0,0.0
0,2020-02,23,23_NAVI_Close,13.099,-0.0,0.0,0.0
0,2020-02,24,24_NEE_Close,60.4416,-0.0,0.0,0.0
0,2020-02,25,25_NI_Close,25.3232,-0.0,0.0,0.0
0,2020-02,26,26_NVDA_Close,5.0429,-0.0,0.0,0.0
0,2020-02,27,27_NWSA_Close,14.2003,-0.0,0.0,0.0
0,2020-02,28,28_OI_Close,14.3357,-0.0,0.0,0.0
0,2020-02,29,29_PG_Close,116.1145,-0.0,0.0,0.0
0,2020-02,30,30_PLD_Close,85.2717,-0.0,0.0,0.0
0,2020-02,31,31_PNR_Close,42.6594,-0.0,0.0,0.0
0,2020-02,32,32_PNW_Close,80.8237,-0.0,0.0,0.0
0,2020-02,33,33_PRGO_Close,51.9309,-0.0,0.0,0.0
0,2020-02,34,34_SEE_Close,36.2107,-0.0,0.0,0.0
0,2020-02,35,35_STX_Close,53.119,-0.0,0.0,0.0
0,2020-02,36,36_SYF_Close,30.3196,-0.0,0.0,0.0
0,2020-02,37,37_Sector_Comm,43.09,-0.0,0.0,0.0
0,2020-02,38,38_Sector_Disc,18.6165,-0.0,0.0,0.0
0,2020-02,39,39_Sector_Energy,13.9552,-0.0,0.0,0.0
0,2020-02,40,40_Sector_Fin,18.7418,-0.0,0.0,0.0
0,2020-02,41,41_Sector_Health,23.108,-0.0,0.0,0.0
0,2020-02,42,42_Sector_IT,25.5666,-0.0,0.0,0.0
0,2020-02,43,43_Sector_Ind,19.3226,-0.0,0.0,0.0
0,2020-02,44,44_Sector_Mat,17.4712,-0.0,0.0,0.0
0,2020-02,45,45_Sector_RE,27.4126,-0.0,0.0,0.0
0,2020-02,46,46_Sector_Staples,16.9982,-0.0,0.0,0.0
0,2020-02,47,47_Sector_Util,10.9736,-0.0,0.0,0.0
0,2020-02,48,48_TSLA_Close,42.21,-0.0,0.0,0.0
0,2020-02,49,49_VNO_Close,61.6354,-0.0,0.0,0.0
0,2020-02,50,50_XOM_Close,54.1797,-0.0,0.0,0.0
1,2020-03,0,00_AAPL_Close,87.6933,-0.0,2.3018,0.0
1,2020-03,1,01_AMZN_Close,103.386,-0.0,1.6493,26.0604
1,2020-03,2,02_APA_Close,43.372,-0.0,8.8712,0.0
1,2020-03,3,03_AVGO_Close,31.6953,-0.0,1.3517,0.0
1,2020-03,4,04_BIIB_Close,221.32,-0.0,3.995,-2.4884
1,2020-03,5,05_BXP_Close,141.6474,-0.0,13.0803,0.0
1,2020-03,6,06_CAG_Close,27.3302,-0.0,0.9921,-0.9638
1,2020-03,7,07_CAT_Close,129.8155,-0.0,3.6291,0.0
1,2020-03,8,08_CPB_Close,40.3952,-0.0,0.415,-0.3866
1,2020-03,9,09_DIS_Close,175.8782,-0.0,10.2828,0.0
1,2020-03,10,10_DOV_Close,131.7452,-0.0,8.6766,0.0
1,2020-03,11,11_GOOG_Close,84.588,-0.0,4.3771,0.0
1,2020-03,12,12_HAL_Close,32.7244,-0.0,4.4754,0.0
1,2020-03,13,13_HD_Close,230.4674,-0.0,12.8365,0.0
1,2020-03,14,14_HPQ_Close,20.1057,-0.0,1.3077,0.0
1,2020-03,15,15_JNJ_Close,139.2766,-0.0,1.4163,0.0
1,2020-03,16,16_JPM_Close,147.5754,-0.0,11.016,0.0
1,2020-03,17,17_KSS_Close,49.7082,-0.0,8.4836,0.0
1,2020-03,18,18_LIN_Close,212.5895,-0.0,7.8633,0.0
1,2020-03,19,19_LYV_Close,90.86,-0.0,7.655,0.0
1,2020-03,20,20_META_Close,235.1745,-0.0,12.7351,0.0
1,2020-03,21,21_MSFT_Close,172.7144,-0.0,2.0423,0.0
1,2020-03,22,22_M_Close,21.3807,-0.0,3.2392,0.0
1,2020-03,23,23_NAVI_Close,15.7437,-0.0,1.3223,0.0
1,2020-03,24,24_NEE_Close,63.0543,-0.0,1.3063,0.0
1,2020-03,25,25_NI_Close,26.9877,-0.0,0.8323,0.0
1,2020-03,26,26_NVDA_Close,5.204,-0.0,0.0806,0.0
