src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,AAPL_Close,0,AAPL_Close,0,1.0
0,AAPL_Close,1,Sector_IT,9,0.2681
0,AAPL_Close,2,AMZN_Close,0,0.6515
0,AAPL_Close,3,Sector_Disc,9,0.2166
0,AAPL_Close,4,APA_Close,9,0.2094
0,AAPL_Close,5,Sector_Energy,1,0.1586
0,AAPL_Close,6,AVGO_Close,0,0.3287
0,AAPL_Close,7,BIIB_Close,6,0.2009
0,AAPL_Close,8,Sector_Health,4,0.2286
0,AAPL_Close,9,BXP_Close,0,0.3114
0,AAPL_Close,10,Sector_RE,10,0.1305
0,AAPL_Close,11,CAG_Close,9,0.3132
0,AAPL_Close,12,Sector_Staples,6,0.3299
0,AAPL_Close,13,CAT_Close,0,0.2195
0,AAPL_Close,14,Sector_Ind,6,0.1852
0,AAPL_Close,15,CPB_Close,9,0.3136
0,AAPL_Close,16,DIS_Close,0,0.3832
0,AAPL_Close,17,Sector_Comm,5,0.2136
0,AAPL_Close,18,DOV_Close,0,0.4822
0,AAPL_Close,19,GOOG_Close,0,0.48
0,AAPL_Close,20,HAL_Close,3,0.2697
0,AAPL_Close,21,HD_Close,0,0.4204
0,AAPL_Close,22,HPQ_Close,0,0.5321
0,AAPL_Close,23,JNJ_Close,0,0.32
0,AAPL_Close,24,JPM_Close,0,0.2545
0,AAPL_Close,25,Sector_Fin,7,0.1387
0,AAPL_Close,26,KSS_Close,0,0.2792
0,AAPL_Close,27,LIN_Close,0,0.4061
0,AAPL_Close,28,Sector_Mat,6,0.2841
0,AAPL_Close,29,LYV_Close,0,0.3724
0,AAPL_Close,30,META_Close,0,0.3965
0,AAPL_Close,31,MSFT_Close,0,0.6274
0,AAPL_Close,32,M_Close,0,0.3069
0,AAPL_Close,33,NAVI_Close,0,0.41
0,AAPL_Close,34,NEE_Close,0,0.3733
0,AAPL_Close,35,Sector_Util,6,0.3258
0,AAPL_Close,36,NI_Close,0,0.3351
0,AAPL_Close,37,NVDA_Close,0,0.3329
0,AAPL_Close,38,NWSA_Close,0,0.3411
0,AAPL_Close,39,OI_Close,9,0.255
0,AAPL_Close,40,PG_Close,12,0.4178
0,AAPL_Close,41,PLD_Close,0,0.5689
0,AAPL_Close,42,PNR_Close,0,0.3351
0,AAPL_Close,43,PNW_Close,0,0.2477
0,AAPL_Close,44,PRGO_Close,9,0.219
0,AAPL_Close,45,SEE_Close,0,0.4671
0,AAPL_Close,46,STX_Close,0,0.3821
0,AAPL_Close,47,SYF_Close,0,0.3262
0,AAPL_Close,48,TSLA_Close,0,0.6318
0,AAPL_Close,49,VNO_Close,0,0.3335
0,AAPL_Close,50,XOM_Close,3,0.2215
1,Sector_IT,0,AAPL_Close,9,0.2526
1,Sector_IT,1,Sector_IT,0,1.0
1,Sector_IT,2,AMZN_Close,1,0.0986
1,Sector_IT,3,Sector_Disc,0,0.6911
1,Sector_IT,4,APA_Close,6,0.161
1,Sector_IT,5,Sector_Energy,5,0.2226
1,Sector_IT,6,AVGO_Close,5,0.2021
1,Sector_IT,7,BIIB_Close,3,0.2528
1,Sector_IT,8,Sector_Health,11,0.1166
1,Sector_IT,9,BXP_Close,12,0.1779
1,Sector_IT,10,Sector_RE,0,0.5462
1,Sector_IT,11,CAG_Close,6,0.1409
1,Sector_IT,12,Sector_Staples,12,0.3849
1,Sector_IT,13,CAT_Close,6,0.1781
1,Sector_IT,14,Sector_Ind,0,0.4096
1,Sector_IT,15,CPB_Close,6,0.2762
1,Sector_IT,16,DIS_Close,1,0.1217
1,Sector_IT,17,Sector_Comm,0,0.7368
1,Sector_IT,18,DOV_Close,6,0.1767
1,Sector_IT,19,GOOG_Close,9,0.2077
1,Sector_IT,20,HAL_Close,7,0.1404
1,Sector_IT,21,HD_Close,10,0.1276
1,Sector_IT,22,HPQ_Close,10,0.2213
1,Sector_IT,23,JNJ_Close,10,0.383
1,Sector_IT,24,JPM_Close,10,0.1832
1,Sector_IT,25,Sector_Fin,0,0.3452
1,Sector_IT,26,KSS_Close,10,0.1395
1,Sector_IT,27,LIN_Close,10,0.3996
1,Sector_IT,28,Sector_Mat,0,0.4874
1,Sector_IT,29,LYV_Close,12,0.0297
1,Sector_IT,30,META_Close,5,0.2122
1,Sector_IT,31,MSFT_Close,9,0.1984
1,Sector_IT,32,M_Close,2,0.1993
1,Sector_IT,33,NAVI_Close,10,0.3398
1,Sector_IT,34,NEE_Close,6,0.2144
1,Sector_IT,35,Sector_Util,0,0.3037
1,Sector_IT,36,NI_Close,10,0.2364
1,Sector_IT,37,NVDA_Close,9,0.1011
1,Sector_IT,38,NWSA_Close,4,0.0844
1,Sector_IT,39,OI_Close,10,0.3325
1,Sector_IT,40,PG_Close,7,0.3156
1,Sector_IT,41,PLD_Close,10,0.2484
1,Sector_IT,42,PNR_Close,10,0.2121
1,Sector_IT,43,PNW_Close,10,0.2491
1,Sector_IT,44,PRGO_Close,4,0.2879
1,Sector_IT,45,SEE_Close,10,0.2612
1,Sector_IT,46,STX_Close,11,0.1294
1,Sector_IT,47,SYF_Close,7,0.1171
1,Sector_IT,48,TSLA_Close,9,0.1299
1,Sector_IT,49,VNO_Close,12,0.1585
1,Sector_IT,50,XOM_Close,4,0.2131
2,AMZN_Close,0,AAPL_Close,0,0.6515
2,AMZN_Close,1,Sector_IT,9,0.091
2,AMZN_Close,2,AMZN_Close,0,1.0
2,AMZN_Close,3,Sector_Disc,3,0.1488
