node_idx,node_label,dominant_frequency,spectral_power
3,Sector_Disc,0.25,16167.5773
48,TSLA_Close,0.2083,9314.2485
17,Sector_Comm,0.0417,7482.1502
1,Sector_IT,0.25,5616.2618
14,Sector_Ind,0.4167,3691.3849
30,META_Close,0.25,3314.4783
8,Sector_Health,0.4583,3087.5132
7,BIIB_Close,0.4583,2766.6298
28,Sector_Mat,0.25,2668.3414
27,LIN_Close,0.25,2023.7968
21,HD_Close,0.125,1782.4537
13,CAT_Close,0.4167,1161.8509
31,MSFT_Close,0.25,1077.2181
10,Sector_RE,0.25,808.2261
16,DIS_Close,0.375,746.2913
5,Sector_Energy,0.375,729.401
0,AAPL_Close,0.25,718.2219
25,Sector_Fin,0.3333,656.9639
2,AMZN_Close,0.4583,642.4573
12,Sector_Staples,0.25,608.3368
41,PLD_Close,0.25,515.8852
18,DOV_Close,0.4167,510.8571
35,Sector_Util,0.25,483.0644
19,GOOG_Close,0.4583,381.7096
29,LYV_Close,0.3333,347.9178
40,PG_Close,0.25,343.3417
24,JPM_Close,0.375,320.7952
50,XOM_Close,0.375,222.7885
46,STX_Close,0.1667,163.7881
23,JNJ_Close,0.25,157.431
34,NEE_Close,0.25,149.6389
9,BXP_Close,0.375,138.5937
6,AVGO_Close,0.4167,102.5756
26,KSS_Close,0.0833,78.5258
43,PNW_Close,0.375,73.7828
42,PNR_Close,0.0417,69.475
45,SEE_Close,0.3333,65.1673
47,SYF_Close,0.3333,62.6699
20,HAL_Close,0.125,57.9083
44,PRGO_Close,0.375,44.5834
37,NVDA_Close,0.25,43.6464
4,APA_Close,0.125,43.3234
49,VNO_Close,0.375,25.4512
15,CPB_Close,0.4583,23.0122
22,HPQ_Close,0.25,18.8754
32,M_Close,0.375,17.6627
39,OI_Close,0.2083,12.7468
38,NWSA_Close,0.0833,7.8457
33,NAVI_Close,0.4583,6.9371
36,NI_Close,0.4167,6.7989
11,CAG_Close,0.2083,6.7347
