node_idx,node_label,spectral_exponent_beta,noise_classification
0,AAPL_Close,-0.2538,White Noise
1,Sector_IT,0.1247,White Noise
2,AMZN_Close,-0.1443,White Noise
3,Sector_Disc,0.0266,White Noise
4,APA_Close,-0.1871,White Noise
5,Sector_Energy,-0.3501,White Noise
6,AVGO_Close,0.1713,White Noise
7,BIIB_Close,0.0482,White Noise
8,Sector_Health,0.1005,White Noise
9,BXP_Close,0.2372,White Noise
10,Sector_RE,0.1373,White Noise
11,CAG_Close,0.1259,White Noise
12,Sector_Staples,-0.5682,White Noise
13,CAT_Close,-0.4047,White Noise
14,Sector_Ind,-0.1486,White Noise
15,CPB_Close,-0.137,White Noise
16,DIS_Close,-0.1195,White Noise
17,Sector_Comm,0.3709,White Noise
18,DOV_Close,-0.0744,White Noise
19,GOOG_Close,-0.0721,White Noise
20,HAL_Close,-0.3386,White Noise
21,HD_Close,0.4123,White Noise
22,HPQ_Close,-0.0696,White Noise
23,JNJ_Close,-0.1771,White Noise
24,JPM_Close,0.1779,White Noise
25,Sector_Fin,0.2053,White Noise
26,KSS_Close,0.2182,White Noise
27,LIN_Close,-0.3336,White Noise
28,Sector_Mat,-0.4505,White Noise
29,LYV_Close,0.149,White Noise
30,META_Close,0.5429,Pink Noise
31,MSFT_Close,0.2639,White Noise
32,M_Close,0.2919,White Noise
33,NAVI_Close,-0.3127,White Noise
34,NEE_Close,-0.543,White Noise
35,Sector_Util,-1.0628,White Noise
36,NI_Close,-0.4025,White Noise
37,NVDA_Close,0.4572,White Noise
38,NWSA_Close,0.0646,White Noise
39,OI_Close,0.0773,White Noise
40,PG_Close,-0.1307,White Noise
41,PLD_Close,-0.0414,White Noise
42,PNR_Close,0.3185,White Noise
43,PNW_Close,-0.3996,White Noise
44,PRGO_Close,-1.1911,White Noise
45,SEE_Close,-0.0131,White Noise
46,STX_Close,0.3384,White Noise
47,SYF_Close,-0.0438,White Noise
48,TSLA_Close,0.0023,White Noise
49,VNO_Close,0.376,White Noise
50,XOM_Close,-0.4446,White Noise
