Account_Name,Category
ACC_Cash_DPT_Admin,Asset
ACC_Raw_Materials_DPT_Ops,Asset
ACC_Work_In_Process_DPT_Prod_A,Asset
ACC_Work_In_Process_DPT_Prod_B,Asset
ACC_Finished_Goods_DPT_Prod_A,Asset
ACC_Finished_Goods_DPT_Prod_B,Asset
ACC_Accounts_Receivable_DPT_Admin,Asset
ACC_Accounts_Payable_DPT_Admin,Liability
ACC_Equity_Capital_DPT_Admin,Equity
ACC_Sales_Revenue_DPT_Sales,Revenue
ACC_COGS_DPT_Prod_A,Expense
ACC_COGS_DPT_Prod_B,Expense
ACC_Direct_Labor_Exp_DPT_Prod_A,Expense
ACC_Direct_Labor_Exp_DPT_Prod_B,Expense
ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense
ACC_Mfg_Overhead_Allocated_DPT_Prod_A,Asset
ACC_Mfg_Overhead_Allocated_DPT_Prod_B,Asset
ACC_Travel_Exp_DPT_Sales,Expense
ACC_Payroll_Exp_DPT_Ops,Expense
ACC_Payroll_Exp_DPT_Sales,Expense
ACC_Payroll_Exp_DPT_Admin,Expense
ACC_Rent_Exp_DPT_Admin,Expense
UNKNOWN_LEAK_DPT_Admin,Expense
