t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-01,0,143430.16,0.2656,8
0,2020-01,1,97837.781937,0.181173,8
0,2020-01,2,77569.695085,0.143641,8
0,2020-01,3,75433.08,0.139685,8
0,2020-01,4,68432.69,0.126722,8
1,2020-02,0,174750.72,0.287789,9
1,2020-02,1,102934.043885,0.169517,9
1,2020-02,2,78047.863956,0.128533,9
1,2020-02,3,72250.76,0.118987,9
1,2020-02,4,58193.96,0.095837,9
2,2020-03,0,150404.45,0.200871,9
2,2020-03,1,129796.682066,0.173349,9
2,2020-03,2,117078.95,0.156364,9
2,2020-03,3,110660.801912,0.147792,9
2,2020-03,4,72231.493421,0.096468,9
3,2020-04,0,172392.16,0.273914,9
3,2020-04,1,111129.146567,0.176573,9
3,2020-04,2,85461.763436,0.13579,9
3,2020-04,3,84120.41,0.133659,9
3,2020-04,4,68842.69,0.109384,9
4,2020-05,0,122515.83,0.221844,9
4,2020-05,1,93649.176125,0.169574,9
4,2020-05,2,86108.220397,0.155919,9
4,2020-05,3,65006.12,0.117709,9
4,2020-05,4,62507.58,0.113185,9
5,2020-06,0,106675.995779,0.18101,9
5,2020-06,1,104944.31,0.178071,9
5,2020-06,2,93024.58331,0.157846,9
5,2020-06,3,86939.38,0.14752,9
5,2020-06,4,61893.982411,0.105023,9
6,2020-07,0,171223.56,0.23956,9
6,2020-07,1,98057.315299,0.137193,9
6,2020-07,2,95619.367676,0.133782,9
6,2020-07,3,77932.43,0.109036,9
6,2020-07,4,71707.14,0.100326,9
7,2020-08,0,184561.56,0.242573,9
7,2020-08,1,109322.050198,0.143684,9
7,2020-08,2,97174.667949,0.127719,9
7,2020-08,3,96217.88,0.126461,9
7,2020-08,4,79511.86,0.104504,9
8,2020-09,0,146379.57,0.207497,9
8,2020-09,1,143446.59,0.203339,9
8,2020-09,2,114956.623602,0.162954,9
8,2020-09,3,87697.839009,0.124314,9
8,2020-09,4,72715.66,0.103076,9
9,2020-10,0,183948.25,0.264291,9
9,2020-10,1,116148.047289,0.166878,9
9,2020-10,2,103121.847981,0.148162,9
9,2020-10,3,88749.03,0.127512,9
9,2020-10,4,68765.023309,0.098799,9
10,2020-11,0,143820.68,0.261927,9
10,2020-11,1,105950.591664,0.192957,9
10,2020-11,2,84108.445416,0.153178,9
10,2020-11,3,59674.66,0.10868,9
10,2020-11,4,56977.24,0.103767,9
11,2020-12,0,100652.537842,0.179087,9
11,2020-12,1,94425.86,0.168008,9
11,2020-12,2,88648.09,0.157728,9
11,2020-12,3,84135.89,0.1497,9
11,2020-12,4,64378.49,0.114546,9
