t_idx,time_label,node_idx,node_label,fk_echo_impact
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,-75433.08
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,21514.524
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,41716.9458
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,13917.6857
0,2020-01,4,04_ACC_Cash_DPT_Admin,-64027.5
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,-31430.2873
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,-10029.4404
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,-22806.991
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,-74632.038
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,-143430.16
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,-74783.3651
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,-17754.8412
0,2020-01,12,12_ACC_Cash,0.0
0,2020-01,13,13_ACC_Raw_Materials,0.0
0,2020-01,14,14_ACC_Finished_Goods,0.0
0,2020-01,15,15_ACC_Equity_Capital,0.0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,-52222.0257
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,-9748.582
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,57805.7479
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,15995.2254
1,2020-02,4,04_ACC_Cash_DPT_Admin,-51845.7947
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,-7845.0441
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,-24443.9876
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,-18149.9804
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,-63801.4518
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,-174750.72
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,-66004.4179
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,-7963.3055
1,2020-02,12,12_ACC_Cash,0.0
1,2020-02,13,13_ACC_Raw_Materials,0.0
1,2020-02,14,14_ACC_Finished_Goods,0.0
1,2020-02,15,15_ACC_Equity_Capital,0.0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,-27832.1106
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,-94518.2825
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,87434.8562
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,16795.0201
2,2020-03,4,04_ACC_Cash_DPT_Admin,-116641.4201
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,36081.4115
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,-15628.7338
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,-17821.6508
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,-66520.204
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,-150404.45
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,-76048.3856
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,-7235.6935
2,2020-03,12,12_ACC_Cash,0.0
2,2020-03,13,13_ACC_Raw_Materials,0.0
2,2020-03,14,14_ACC_Finished_Goods,0.0
2,2020-03,15,15_ACC_Equity_Capital,0.0
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,-56882.9486
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,-159774.0985
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,72574.8736
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,17029.001
3,2020-04,4,04_ACC_Cash_DPT_Admin,-55959.4137
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,35944.4283
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,-3504.5986
3,2020-04,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,-16711.4059
3,2020-04,8,08_ACC_Raw_Materials_DPT_Ops,-65656.4863
3,2020-04,9,09_ACC_Sales_Revenue_DPT_Sales,-84120.41
3,2020-04,10,10_ACC_Work_In_Process_DPT_Prod_A,-66487.0076
3,2020-04,11,11_ACC_Work_In_Process_DPT_Prod_B,-8952.003
3,2020-04,12,12_ACC_Cash,0.0
3,2020-04,13,13_ACC_Raw_Materials,0.0
3,2020-04,14,14_ACC_Finished_Goods,0.0
