t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2000-10,0,US_Economy,77.2912,0.1929,0.0,0.0
0,2000-10,1,Copper,0.0305,-0.0,0.0,0.0
0,2000-10,2,Oil,2.24,-0.0,0.0,0.0
0,2000-10,3,SP500,74.0601,-0.0,0.0,0.0
0,2000-10,4,US10Y,0.03,-0.0,0.0,0.0
0,2000-10,5,US_Inflation,0.6,-0.0,0.0,0.0
0,2000-10,6,US_Production,0.7884,-0.0,0.0,0.0
0,2000-10,7,US_Unemployment,0.2,-0.0,0.0,0.0
1,2000-11,0,US_Economy,26.7562,-0.0389,52.0237,-154.3875
1,2000-11,1,Copper,0.105,-0.0,0.0372,0.0
1,2000-11,2,Oil,5.18,-0.0,1.47,50.5537
1,2000-11,3,SP500,33.28,-0.0,53.67,0.0
1,2000-11,4,US10Y,0.01,-0.0,0.02,52.0037
1,2000-11,5,US_Inflation,0.6,-0.0,0.0,0.0
1,2000-11,6,US_Production,0.4012,-0.0,0.1936,51.8301
1,2000-11,7,US_Unemployment,0.2,-0.0,0.0,0.0
2,2000-12,0,US_Economy,82.4757,-0.129,50.315,-97.0881
2,2000-12,1,Copper,0.025,-0.0,0.0365,50.2785
2,2000-12,2,Oil,4.76,-0.0,4.1693,0.0
2,2000-12,3,SP500,86.5001,-0.0,53.7731,-3.4582
2,2000-12,4,US10Y,0.45,-0.0,0.2081,0.0
2,2000-12,5,US_Inflation,0.5,-0.0,0.0471,50.2678
2,2000-12,6,US_Production,0.7294,-0.0,0.1703,0.0
2,2000-12,7,US_Unemployment,0.2,-0.0,0.0,0.0
3,2001-01,0,US_Economy,132.9349,0.8737,58.056,-226.5801
3,2001-01,1,Copper,0.0285,-0.0,0.0334,0.0
3,2001-01,2,Oil,4.14,-0.0,3.8758,54.1802
3,2001-01,3,SP500,126.9,-0.0,59.2167,-1.1607
3,2001-01,4,US10Y,0.05,-0.0,0.186,57.87
3,2001-01,5,US_Inflation,0.1,-0.0,0.2915,57.7645
3,2001-01,6,US_Production,0.8666,-0.0,0.1772,0.0
3,2001-01,7,US_Unemployment,0.5,-0.0,0.1299,57.9261
4,2001-02,0,US_Economy,43.1247,0.1946,67.9613,-67.7902
4,2001-02,1,Copper,0.069,-0.0,0.0311,0.0
4,2001-02,2,Oil,0.96,-0.0,3.4792,0.0
4,2001-02,3,SP500,44.9,-0.0,68.4613,0.0
4,2001-02,4,US10Y,0.03,-0.0,0.1711,67.7902
4,2001-02,5,US_Inflation,0.5,-0.0,0.2638,0.0
4,2001-02,6,US_Production,1.0257,-0.0,0.2061,0.0
4,2001-02,7,US_Unemployment,0.2,-0.0,0.12,0.0
5,2001-03,0,US_Economy,3.6438,0.1302,63.8867,-187.7865
5,2001-03,1,Copper,0.082,-0.0,0.0306,0.0
5,2001-03,2,Oil,1.22,-0.0,3.1785,60.7082
5,2001-03,3,SP500,1.5601,-0.0,64.2753,-0.3885
5,2001-03,4,US10Y,0.18,-0.0,0.1584,0.0
5,2001-03,5,US_Inflation,0.8,-0.0,0.2794,0.0
5,2001-03,6,US_Production,0.6143,-0.0,0.1961,63.6906
5,2001-03,7,US_Unemployment,0.3,-0.0,0.1106,63.7762
6,2001-04,0,US_Economy,173.9753,0.0956,75.9669,-376.2358
6,2001-04,1,Copper,0.0305,-0.0,0.0298,75.9371
6,2001-04,2,Oil,2.24,-0.0,2.9542,73.0127
6,2001-04,3,SP500,170.3,-0.0,76.0135,-0.0466
6,2001-04,4,US10Y,0.28,-0.0,0.2031,75.7638
6,2001-04,5,US_Inflation,0.6,-0.0,0.2619,75.705
6,2001-04,6,US_Production,0.7542,-0.0,0.1816,0.0
6,2001-04,7,US_Unemployment,0.3,-0.0,0.103,75.8638
7,2001-05,0,US_Economy,93.4623,-0.0058,72.0651,-140.9398
7,2001-05,1,Copper,0.037,-0.0,0.0283,0.0
7,2001-05,2,Oil,4.21,-0.0,2.8948,69.1703
7,2001-05,3,SP500,87.53,-0.0,71.9409,0.0
7,2001-05,4,US10Y,0.28,-0.0,0.2215,0.0
7,2001-05,5,US_Inflation,0.0,-0.0,0.2955,71.7695
7,2001-05,6,US_Production,0.8607,-0.0,0.1745,0.0
7,2001-05,7,US_Unemployment,0.1,-0.0,0.1118,0.0
8,2001-06,0,US_Economy,50.9279,0.6296,68.0285,-67.913
8,2001-06,1,Copper,0.078,-0.0,0.028,0.0
