src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,00_Copper,0,00_Copper,0,1.0
0,00_Copper,1,01_Oil,0,0.353
0,00_Copper,2,02_SP500,0,0.3251
0,00_Copper,3,03_US10Y,9,0.0671
0,00_Copper,4,04_US_Economy,1,0.2771
0,00_Copper,5,05_US_Inflation,10,0.0965
0,00_Copper,6,06_US_Production,3,0.1048
0,00_Copper,7,07_US_Unemployment,6,0.0667
1,01_Oil,0,00_Copper,0,0.353
1,01_Oil,1,01_Oil,0,1.0
1,01_Oil,2,02_SP500,10,0.1457
1,01_Oil,3,03_US10Y,0,0.1676
1,01_Oil,4,04_US_Economy,1,0.1281
1,01_Oil,5,05_US_Inflation,1,0.2688
1,01_Oil,6,06_US_Production,0,0.1606
1,01_Oil,7,07_US_Unemployment,1,0.1678
2,02_SP500,0,00_Copper,0,0.3251
2,02_SP500,1,01_Oil,8,0.094
2,02_SP500,2,02_SP500,0,1.0
2,02_SP500,3,03_US10Y,6,0.0919
2,02_SP500,4,04_US_Economy,1,0.5103
2,02_SP500,5,05_US_Inflation,3,0.185
2,02_SP500,6,06_US_Production,11,0.224
2,02_SP500,7,07_US_Unemployment,0,0.2058
3,03_US10Y,0,00_Copper,1,0.0653
3,03_US10Y,1,01_Oil,0,0.1676
3,03_US10Y,2,02_SP500,9,0.1393
3,03_US10Y,3,03_US10Y,0,1.0
3,03_US10Y,4,04_US_Economy,8,0.1276
3,03_US10Y,5,05_US_Inflation,0,0.1231
3,03_US10Y,6,06_US_Production,1,0.1775
3,03_US10Y,7,07_US_Unemployment,9,0.0942
4,04_US_Economy,0,00_Copper,1,0.131
4,04_US_Economy,1,01_Oil,4,0.1045
4,04_US_Economy,2,02_SP500,1,0.5177
4,04_US_Economy,3,03_US10Y,5,0.1039
4,04_US_Economy,4,04_US_Economy,0,1.0
4,04_US_Economy,5,05_US_Inflation,4,0.1961
4,04_US_Economy,6,06_US_Production,10,0.1548
4,04_US_Economy,7,07_US_Unemployment,1,0.2032
5,05_US_Inflation,0,00_Copper,10,0.0566
5,05_US_Inflation,1,01_Oil,0,0.1128
5,05_US_Inflation,2,02_SP500,5,0.1499
5,05_US_Inflation,3,03_US10Y,1,0.1341
5,05_US_Inflation,4,04_US_Economy,3,0.2054
5,05_US_Inflation,5,05_US_Inflation,0,1.0
5,05_US_Inflation,6,06_US_Production,0,0.1382
5,05_US_Inflation,7,07_US_Unemployment,12,0.0724
6,06_US_Production,0,00_Copper,7,0.1205
6,06_US_Production,1,01_Oil,0,0.1606
6,06_US_Production,2,02_SP500,5,0.2163
6,06_US_Production,3,03_US10Y,3,0.1318
6,06_US_Production,4,04_US_Economy,4,0.1232
6,06_US_Production,5,05_US_Inflation,0,0.1382
6,06_US_Production,6,06_US_Production,0,1.0
6,06_US_Production,7,07_US_Unemployment,2,0.2076
7,07_US_Unemployment,0,00_Copper,10,0.1301
7,07_US_Unemployment,1,01_Oil,1,0.2505
7,07_US_Unemployment,2,02_SP500,0,0.2058
7,07_US_Unemployment,3,03_US10Y,11,0.092
7,07_US_Unemployment,4,04_US_Economy,6,0.1228
7,07_US_Unemployment,5,05_US_Inflation,2,0.0881
7,07_US_Unemployment,6,06_US_Production,11,0.2363
7,07_US_Unemployment,7,07_US_Unemployment,0,1.0
