t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2000-10,0,74.100832,1.0,1
0,2000-10,1,0.0,0.0,1
0,2000-10,2,0.0,0.0,1
0,2000-10,3,0.0,0.0,1
0,2000-10,4,0.0,0.0,1
1,2000-11,0,107.381074,1.0,1
1,2000-11,1,0.0,0.0,1
1,2000-11,2,0.0,0.0,1
1,2000-11,3,0.0,0.0,1
1,2000-11,4,0.0,0.0,1
2,2000-12,0,120.193277,1.0,1
2,2000-12,1,0.0,0.0,1
2,2000-12,2,0.0,0.0,1
2,2000-12,3,0.0,0.0,1
2,2000-12,4,0.0,0.0,1
3,2001-01,0,41.376213,1.0,1
3,2001-01,1,0.0,0.0,1
3,2001-01,2,0.0,0.0,1
3,2001-01,3,0.0,0.0,1
3,2001-01,4,0.0,0.0,1
4,2001-02,0,171.830866,1.0,1
4,2001-02,1,0.0,0.0,1
4,2001-02,2,0.0,0.0,1
4,2001-02,3,0.0,0.0,1
4,2001-02,4,0.0,0.0,1
5,2001-03,0,46.463952,1.0,1
5,2001-03,1,0.0,0.0,1
5,2001-03,2,0.0,0.0,1
5,2001-03,3,0.0,0.0,1
5,2001-03,4,0.0,0.0,1
6,2001-04,0,168.743884,1.0,1
6,2001-04,1,0.0,0.0,1
6,2001-04,2,0.0,0.0,1
6,2001-04,3,0.0,0.0,1
6,2001-04,4,0.0,0.0,1
7,2001-05,0,82.795944,1.0,1
7,2001-05,1,0.0,0.0,1
7,2001-05,2,0.0,0.0,1
7,2001-05,3,0.0,0.0,1
7,2001-05,4,0.0,0.0,1
8,2001-06,0,38.026777,1.0,1
8,2001-06,1,0.0,0.0,1
8,2001-06,2,0.0,0.0,1
8,2001-06,3,0.0,0.0,1
8,2001-06,4,0.0,0.0,1
9,2001-07,0,18.426403,1.0,1
9,2001-07,1,0.0,0.0,1
9,2001-07,2,0.0,0.0,1
9,2001-07,3,0.0,0.0,1
9,2001-07,4,0.0,0.0,1
10,2001-08,0,64.510153,1.0,1
10,2001-08,1,0.0,0.0,1
10,2001-08,2,0.0,0.0,1
10,2001-08,3,0.0,0.0,1
10,2001-08,4,0.0,0.0,1
11,2001-09,0,15.736301,1.0,1
11,2001-09,1,0.0,0.0,1
11,2001-09,2,0.0,0.0,1
11,2001-09,3,0.0,0.0,1
11,2001-09,4,0.0,0.0,1
12,2001-10,0,111.497326,1.0,1
12,2001-10,1,0.0,0.0,1
12,2001-10,2,0.0,0.0,1
12,2001-10,3,0.0,0.0,1
12,2001-10,4,0.0,0.0,1
13,2001-11,0,60.834669,1.0,1
13,2001-11,1,0.0,0.0,1
13,2001-11,2,0.0,0.0,1
13,2001-11,3,0.0,0.0,1
13,2001-11,4,0.0,0.0,1
14,2001-12,0,71.074997,1.0,1
14,2001-12,1,0.0,0.0,1
14,2001-12,2,0.0,0.0,1
14,2001-12,3,0.0,0.0,1
14,2001-12,4,0.0,0.0,1
15,2002-01,0,26.536911,1.0,1
15,2002-01,1,0.0,0.0,1
15,2002-01,2,0.0,0.0,1
15,2002-01,3,0.0,0.0,1
15,2002-01,4,0.0,0.0,1
16,2002-02,0,6.248719,1.0,1
16,2002-02,1,0.0,0.0,1
16,2002-02,2,0.0,0.0,1
16,2002-02,3,0.0,0.0,1
16,2002-02,4,0.0,0.0,1
17,2002-03,0,64.166886,1.0,1
17,2002-03,1,0.0,0.0,1
17,2002-03,2,0.0,0.0,1
17,2002-03,3,0.0,0.0,1
17,2002-03,4,0.0,0.0,1
18,2002-04,0,111.181256,1.0,1
18,2002-04,1,0.0,0.0,1
18,2002-04,2,0.0,0.0,1
18,2002-04,3,0.0,0.0,1
18,2002-04,4,0.0,0.0,1
19,2002-05,0,60.767823,1.0,1
19,2002-05,1,0.0,0.0,1
19,2002-05,2,0.0,0.0,1
19,2002-05,3,0.0,0.0,1
19,2002-05,4,0.0,0.0,1
20,2002-06,0,67.629506,1.0,1
20,2002-06,1,0.0,0.0,1
20,2002-06,2,0.0,0.0,1
20,2002-06,3,0.0,0.0,1
20,2002-06,4,0.0,0.0,1
21,2002-07,0,1.814808,1.0,1
21,2002-07,1,0.0,0.0,1
21,2002-07,2,0.0,0.0,1
21,2002-07,3,0.0,0.0,1
21,2002-07,4,0.0,0.0,1
22,2002-08,0,82.669908,1.0,1
22,2002-08,1,0.0,0.0,1
22,2002-08,2,0.0,0.0,1
22,2002-08,3,0.0,0.0,1
22,2002-08,4,0.0,0.0,1
23,2002-09,0,105.258628,1.0,1
23,2002-09,1,0.0,0.0,1
23,2002-09,2,0.0,0.0,1
23,2002-09,3,0.0,0.0,1
23,2002-09,4,0.0,0.0,1
24,2002-10,0,171.279856,1.0,1
24,2002-10,1,0.0,0.0,1
24,2002-10,2,0.0,0.0,1
24,2002-10,3,0.0,0.0,1
24,2002-10,4,0.0,0.0,1
25,2002-11,0,19.994625,1.0,1
25,2002-11,1,0.0,0.0,1
25,2002-11,2,0.0,0.0,1
25,2002-11,3,0.0,0.0,1
25,2002-11,4,0.0,0.0,1
26,2002-12,0,107.045409,1.0,1
26,2002-12,1,0.0,0.0,1
26,2002-12,2,0.0,0.0,1
26,2002-12,3,0.0,0.0,1
26,2002-12,4,0.0,0.0,1
27,2003-01,0,33.069844,1.0,1
27,2003-01,1,0.0,0.0,1
27,2003-01,2,0.0,0.0,1
27,2003-01,3,0.0,0.0,1
27,2003-01,4,0.0,0.0,1
28,2003-02,0,10.229719,1.0,1
28,2003-02,1,0.0,0.0,1
28,2003-02,2,0.0,0.0,1
28,2003-02,3,0.0,0.0,1
28,2003-02,4,0.0,0.0,1
29,2003-03,0,23.262505,1.0,1
29,2003-03,1,0.0,0.0,1
29,2003-03,2,0.0,0.0,1
29,2003-03,3,0.0,0.0,1
29,2003-03,4,0.0,0.0,1
30,2003-04,0,61.720288,1.0,1
30,2003-04,1,0.0,0.0,1
30,2003-04,2,0.0,0.0,1
30,2003-04,3,0.0,0.0,1
30,2003-04,4,0.0,0.0,1
31,2003-05,0,23.849618,1.0,1
31,2003-05,1,0.0,0.0,1
31,2003-05,2,0.0,0.0,1
31,2003-05,3,0.0,0.0,1
31,2003-05,4,0.0,0.0,1
32,2003-06,0,35.961445,1.0,1
32,2003-06,1,0.0,0.0,1
32,2003-06,2,0.0,0.0,1
32,2003-06,3,0.0,0.0,1
32,2003-06,4,0.0,0.0,1
33,2003-07,0,5.112412,1.0,1
33,2003-07,1,0.0,0.0,1
33,2003-07,2,0.0,0.0,1
33,2003-07,3,0.0,0.0,1
33,2003-07,4,0.0,0.0,1
34,2003-08,0,2.02276,1.0,1
34,2003-08,1,0.0,0.0,1
34,2003-08,2,0.0,0.0,1
34,2003-08,3,0.0,0.0,1
34,2003-08,4,0.0,0.0,1
35,2003-09,0,29.951961,1.0,1
35,2003-09,1,0.0,0.0,1
35,2003-09,2,0.0,0.0,1
35,2003-09,3,0.0,0.0,1
35,2003-09,4,0.0,0.0,1
36,2003-10,0,66.825878,1.0,1
36,2003-10,1,0.0,0.0,1
36,2003-10,2,0.0,0.0,1
36,2003-10,3,0.0,0.0,1
36,2003-10,4,0.0,0.0,1
37,2003-11,0,47.274412,1.0,1
37,2003-11,1,0.0,0.0,1
37,2003-11,2,0.0,0.0,1
37,2003-11,3,0.0,0.0,1
37,2003-11,4,0.0,0.0,1
38,2003-12,0,46.243077,1.0,1
38,2003-12,1,0.0,0.0,1
38,2003-12,2,0.0,0.0,1
38,2003-12,3,0.0,0.0,1
38,2003-12,4,0.0,0.0,1
39,2004-01,0,34.54805,1.0,1
39,2004-01,1,0.0,0.0,1
39,2004-01,2,0.0,0.0,1
39,2004-01,3,0.0,0.0,1
39,2004-01,4,0.0,0.0,1
40,2004-02,0,5.458713,1.0,1
40,2004-02,1,0.0,0.0,1
40,2004-02,2,0.0,0.0,1
40,2004-02,3,0.0,0.0,1
40,2004-02,4,0.0,0.0,1
41,2004-03,0,32.668375,1.0,1
41,2004-03,1,0.0,0.0,1
41,2004-03,2,0.0,0.0,1
41,2004-03,3,0.0,0.0,1
41,2004-03,4,0.0,0.0,1
42,2004-04,0,1.621295,1.0,1
42,2004-04,1,0.0,0.0,1
42,2004-04,2,0.0,0.0,1
42,2004-04,3,0.0,0.0,1
42,2004-04,4,0.0,0.0,1
43,2004-05,0,32.309134,1.0,1
43,2004-05,1,0.0,0.0,1
43,2004-05,2,0.0,0.0,1
43,2004-05,3,0.0,0.0,1
43,2004-05,4,0.0,0.0,1
44,2004-06,0,8.746437,1.0,1
44,2004-06,1,0.0,0.0,1
44,2004-06,2,0.0,0.0,1
44,2004-06,3,0.0,0.0,1
44,2004-06,4,0.0,0.0,1
45,2004-07,0,60.0688,1.0,1
