t_idx,time_label,node_idx,node_label,z_score_X,z_score_v,local_kl_drift,micro_anomaly_flag
0,2000-10,0,US_Economy,0.0,0.0,0.0,0
0,2000-10,1,Copper,0.0,0.0,0.0,0
0,2000-10,2,Oil,0.0,0.0,0.0,0
0,2000-10,3,SP500,0.0,0.0,0.0,0
0,2000-10,4,US10Y,0.0,0.0,0.0,0
0,2000-10,5,US_Inflation,0.0,0.0,0.0,0
0,2000-10,6,US_Production,0.0,0.0,0.0,0
0,2000-10,7,US_Unemployment,0.0,0.0,0.0,0
1,2000-11,0,US_Economy,0.0,0.0,,0
1,2000-11,1,Copper,0.0,0.0,0.0,0
1,2000-11,2,Oil,0.0,0.0,0.0,0
1,2000-11,3,SP500,0.0,0.0,0.0,0
1,2000-11,4,US10Y,0.0,0.0,0.0,0
1,2000-11,5,US_Inflation,0.0,0.0,0.0,0
1,2000-11,6,US_Production,0.0,0.0,0.0,0
1,2000-11,7,US_Unemployment,0.0,0.0,0.0,0
2,2000-12,0,US_Economy,0.5701,1.3817,,0
2,2000-12,1,Copper,5.9239,6.0227,0.0,1
2,2000-12,2,Oil,4.7758,35.8,0.0,1
2,2000-12,3,SP500,0.8695,1.5041,0.0,0
2,2000-12,4,US10Y,13.3613,13.2857,0.0,1
2,2000-12,5,US_Inflation,1.2083,1.3333,0.0,0
2,2000-12,6,US_Production,0.1029,0.2171,0.0,0
2,2000-12,7,US_Unemployment,1.0,1.0,0.0,0
3,2001-01,0,US_Economy,0.7586,0.2535,,0
3,2001-01,1,Copper,0.1105,0.0744,0.0,0
3,2001-01,2,Oil,0.6468,1.7733,0.0,0
3,2001-01,3,SP500,0.7224,0.1179,0.0,0
3,2001-01,4,US10Y,1.943,2.488,0.0,0
3,2001-01,5,US_Inflation,1.9392,2.4802,0.0,0
3,2001-01,6,US_Production,0.4608,0.219,0.0,0
3,2001-01,7,US_Unemployment,1.9445,2.4749,0.0,0
4,2001-02,0,US_Economy,0.8111,2.5565,,0
4,2001-02,1,Copper,0.5864,0.5926,0.0,0
4,2001-02,2,Oil,0.9569,0.6158,0.0,0
4,2001-02,3,SP500,0.6453,2.3919,0.0,0
4,2001-02,4,US10Y,0.2339,0.1064,0.0,0
4,2001-02,5,US_Inflation,1.4186,1.4655,0.0,0
4,2001-02,6,US_Production,0.3727,0.1366,0.0,0
4,2001-02,7,US_Unemployment,2.7441,3.2717,0.0,1
5,2001-03,0,US_Economy,0.426,0.5034,,0
5,2001-03,1,Copper,0.0508,0.0153,0.0,0
5,2001-03,2,Oil,0.2551,0.0107,0.0,0
5,2001-03,3,SP500,0.4748,0.4975,0.0,0
5,2001-03,4,US10Y,0.4857,0.5263,0.0,0
5,2001-03,5,US_Inflation,0.1662,0.4385,0.0,0
5,2001-03,6,US_Production,1.1994,1.6328,0.0,0
5,2001-03,7,US_Unemployment,0.2067,0.2914,0.0,0
6,2001-04,0,US_Economy,3.7607,1.6454,,1
6,2001-04,1,Copper,1.3885,1.3697,0.0,0
6,2001-04,2,Oil,0.0204,0.1409,0.0,0
6,2001-04,3,SP500,1.9356,1.623,0.0,0
6,2001-04,4,US10Y,1.9891,1.918,0.0,0
6,2001-04,5,US_Inflation,0.7397,0.7881,0.0,0
6,2001-04,6,US_Production,0.1226,0.0906,0.0,0
6,2001-04,7,US_Unemployment,0.3761,0.2641,0.0,0
7,2001-05,0,US_Economy,0.6819,0.932,,0
7,2001-05,1,Copper,0.0196,0.0432,0.0,0
7,2001-05,2,Oil,0.1426,0.307,0.0,0
7,2001-05,3,SP500,0.6594,0.9499,0.0,0
7,2001-05,4,US10Y,0.0516,0.1369,0.0,0
7,2001-05,5,US_Inflation,1.4457,1.6783,0.0,0
7,2001-05,6,US_Production,0.1966,0.0032,0.0,0
7,2001-05,7,US_Unemployment,1.4585,1.3789,0.0,0
8,2001-06,0,US_Economy,0.6194,0.4859,,0
8,2001-06,1,Copper,0.7814,0.7839,0.0,0
