t_idx,time_label,node_idx,node_label,ik_suggested_delta,ik_strain_energy
0,2000-10,0,Copper,0.0,9.9972
0,2000-10,1,US_Economy,0.0,9.9972
0,2000-10,2,Oil,0.0,9.9972
0,2000-10,3,SP500,0.0,9.9972
0,2000-10,4,US10Y,0.0,9.9972
0,2000-10,5,US_Inflation,1.9997,9.9972
0,2000-10,6,US_Production,0.0,9.9972
0,2000-10,7,US_Unemployment,3.9994,9.9972
1,2000-11,0,Copper,0.0,9.9972
1,2000-11,1,US_Economy,0.0,9.9972
1,2000-11,2,Oil,0.0,9.9972
1,2000-11,3,SP500,0.0,9.9972
1,2000-11,4,US10Y,0.0,9.9972
1,2000-11,5,US_Inflation,1.9997,9.9972
1,2000-11,6,US_Production,0.0,9.9972
1,2000-11,7,US_Unemployment,3.9994,9.9972
2,2000-12,0,Copper,-0.1292,0.4754
2,2000-12,1,US_Economy,279.674,0.4754
2,2000-12,2,Oil,7.3291,0.4754
2,2000-12,3,SP500,-271.4617,0.4754
2,2000-12,4,US10Y,0.3962,0.4754
2,2000-12,5,US_Inflation,0.3895,0.4754
2,2000-12,6,US_Production,1.2801,0.4754
2,2000-12,7,US_Unemployment,-0.1383,0.4754
3,2001-01,0,Copper,-0.8749,138.1639
3,2001-01,1,US_Economy,-113.6769,138.1639
3,2001-01,2,Oil,203.2694,138.1639
3,2001-01,3,SP500,-97.7192,138.1639
3,2001-01,4,US10Y,8.7976,138.1639
3,2001-01,5,US_Inflation,0.3506,138.1639
3,2001-01,6,US_Production,-4.3076,138.1639
3,2001-01,7,US_Unemployment,4.133,138.1639
4,2001-02,0,Copper,-0.3966,30.63
4,2001-02,1,US_Economy,-55.5359,30.63
4,2001-02,2,Oil,100.5855,30.63
4,2001-02,3,SP500,-52.8827,30.63
4,2001-02,4,US10Y,4.24,30.63
4,2001-02,5,US_Inflation,2.1475,30.63
4,2001-02,6,US_Production,-0.3038,30.63
4,2001-02,7,US_Unemployment,2.144,30.63
5,2001-03,0,Copper,-0.1143,15.4254
5,2001-03,1,US_Economy,-12.0295,15.4254
5,2001-03,2,Oil,17.7254,15.4254
5,2001-03,3,SP500,-11.8894,15.4254
5,2001-03,4,US10Y,0.1725,15.4254
5,2001-03,5,US_Inflation,2.128,15.4254
5,2001-03,6,US_Production,3.4616,15.4254
5,2001-03,7,US_Unemployment,0.5452,15.4254
6,2001-04,0,Copper,-0.1683,474.6937
6,2001-04,1,US_Economy,-5.1016,474.6937
6,2001-04,2,Oil,1.4635,474.6937
6,2001-04,3,SP500,-5.071,474.6937
6,2001-04,4,US10Y,-7.8929,474.6937
6,2001-04,5,US_Inflation,1.9912,474.6937
6,2001-04,6,US_Production,11.126,474.6937
6,2001-04,7,US_Unemployment,3.653,474.6937
7,2001-05,0,Copper,0.5513,161.3382
7,2001-05,1,US_Economy,-3.5502,161.3382
7,2001-05,2,Oil,1.5603,161.3382
7,2001-05,3,SP500,-3.5377,161.3382
7,2001-05,4,US10Y,-2.536,161.3382
7,2001-05,5,US_Inflation,1.9983,161.3382
7,2001-05,6,US_Production,1.5459,161.3382
7,2001-05,7,US_Unemployment,3.9683,161.3382
8,2001-06,0,Copper,-11.39,142.0387
8,2001-06,1,US_Economy,-0.0163,142.0387
8,2001-06,2,Oil,2.7691,142.0387
8,2001-06,3,SP500,0.0009,142.0387
8,2001-06,4,US10Y,-0.8943,142.0387
8,2001-06,5,US_Inflation,1.9929,142.0387
8,2001-06,6,US_Production,3.5763,142.0387
8,2001-06,7,US_Unemployment,3.9615,142.0387
9,2001-07,0,Copper,-1.2709,103.2953
9,2001-07,1,US_Economy,-2.5446,103.2953
9,2001-07,2,Oil,0.1952,103.2953
9,2001-07,3,SP500,-2.5383,103.2953
9,2001-07,4,US10Y,-2.1351,103.2953
9,2001-07,5,US_Inflation,1.9973,103.2953
9,2001-07,6,US_Production,2.3147,103.2953
9,2001-07,7,US_Unemployment,3.9818,103.2953
10,2001-08,0,Copper,-0.7852,82.5289
10,2001-08,1,US_Economy,-2.3717,82.5289
10,2001-08,2,Oil,-0.767,82.5289
10,2001-08,3,SP500,-2.3677,82.5289
10,2001-08,4,US10Y,-2.1133,82.5289
10,2001-08,5,US_Inflation,2.0005,82.5289
10,2001-08,6,US_Production,2.4215,82.5289
10,2001-08,7,US_Unemployment,3.9831,82.5289
11,2001-09,0,Copper,-0.6231,82.9222
11,2001-09,1,US_Economy,-2.6637,82.9222
11,2001-09,2,Oil,-0.6718,82.9222
11,2001-09,3,SP500,-2.6538,82.9222
11,2001-09,4,US10Y,-2.4684,82.9222
11,2001-09,5,US_Inflation,1.9994,82.9222
11,2001-09,6,US_Production,3.0962,82.9222
11,2001-09,7,US_Unemployment,3.9849,82.9222
12,2001-10,0,Copper,-0.6387,89.8736
12,2001-10,1,US_Economy,-2.6689,89.8736
12,2001-10,2,Oil,-0.5847,89.8736
12,2001-10,3,SP500,-2.6645,89.8736
12,2001-10,4,US10Y,-2.4163,89.8736
12,2001-10,5,US_Inflation,1.9977,89.8736
12,2001-10,6,US_Production,3.0098,89.8736
12,2001-10,7,US_Unemployment,3.9658,89.8736
13,2001-11,0,Copper,-0.5576,97.0918
13,2001-11,1,US_Economy,-2.7079,97.0918
13,2001-11,2,Oil,-0.582,97.0918
13,2001-11,3,SP500,-2.7033,97.0918
13,2001-11,4,US10Y,-2.4121,97.0918
13,2001-11,5,US_Inflation,1.9959,97.0918
13,2001-11,6,US_Production,3.014,97.0918
13,2001-11,7,US_Unemployment,3.9529,97.0918
14,2001-12,0,Copper,-0.5583,103.3811
14,2001-12,1,US_Economy,-2.6165,103.3811
14,2001-12,2,Oil,-0.9632,103.3811
14,2001-12,3,SP500,-2.6103,103.3811
14,2001-12,4,US10Y,-2.3195,103.3811
14,2001-12,5,US_Inflation,1.9951,103.3811
14,2001-12,6,US_Production,3.1232,103.3811
14,2001-12,7,US_Unemployment,3.9497,103.3811
15,2002-01,0,Copper,-0.6174,109.4027
15,2002-01,1,US_Economy,-2.8272,109.4027
15,2002-01,2,Oil,-0.6941,109.4027
15,2002-01,3,SP500,-2.8194,109.4027
15,2002-01,4,US10Y,-1.933,109.4027
15,2002-01,5,US_Inflation,1.9945,109.4027
15,2002-01,6,US_Production,2.9496,109.4027
15,2002-01,7,US_Unemployment,3.9469,109.4027
16,2002-02,0,Copper,-0.6223,116.2196
16,2002-02,1,US_Economy,-2.7611,116.2196
16,2002-02,2,Oil,-0.5095,116.2196
16,2002-02,3,SP500,-2.7537,116.2196
16,2002-02,4,US10Y,-1.8231,116.2196
16,2002-02,5,US_Inflation,1.9938,116.2196
16,2002-02,6,US_Production,2.5332,116.2196
16,2002-02,7,US_Unemployment,3.9429,116.2196
17,2002-03,0,Copper,-0.626,123.2951
17,2002-03,1,US_Economy,-2.743,123.2951
17,2002-03,2,Oil,-0.3587,123.2951
17,2002-03,3,SP500,-2.7374,123.2951
17,2002-03,4,US10Y,-1.8637,123.2951
17,2002-03,5,US_Inflation,1.9933,123.2951
17,2002-03,6,US_Production,2.3959,123.2951
17,2002-03,7,US_Unemployment,3.9393,123.2951
18,2002-04,0,Copper,-0.6316,113.5954
18,2002-04,1,US_Economy,-1.9141,113.5954
18,2002-04,2,Oil,0.1275,113.5954
18,2002-04,3,SP500,-1.9163,113.5954
18,2002-04,4,US10Y,-2.4281,113.5954
18,2002-04,5,US_Inflation,1.9947,113.5954
18,2002-04,6,US_Production,0.8154,113.5954
18,2002-04,7,US_Unemployment,3.9524,113.5954
19,2002-05,0,Copper,-0.5894,89.4174
19,2002-05,1,US_Economy,-1.7177,89.4174
19,2002-05,2,Oil,-0.0055,89.4174
19,2002-05,3,SP500,-1.7176,89.4174
19,2002-05,4,US10Y,-2.3417,89.4174
19,2002-05,5,US_Inflation,1.9979,89.4174
19,2002-05,6,US_Production,0.4041,89.4174
19,2002-05,7,US_Unemployment,3.9699,89.4174
20,2002-06,0,Copper,-0.5389,87.1259
20,2002-06,1,US_Economy,-1.811,87.1259
20,2002-06,2,Oil,0.1525,87.1259
20,2002-06,3,SP500,-1.8055,87.1259
20,2002-06,4,US10Y,-2.4706,87.1259
20,2002-06,5,US_Inflation,1.9983,87.1259
20,2002-06,6,US_Production,0.5027,87.1259
20,2002-06,7,US_Unemployment,3.9726,87.1259
21,2002-07,0,Copper,-0.5418,91.393
21,2002-07,1,US_Economy,-1.8503,91.393
21,2002-07,2,Oil,0.2701,91.393
21,2002-07,3,SP500,-1.8427,91.393
21,2002-07,4,US10Y,-2.442,91.393
21,2002-07,5,US_Inflation,1.9982,91.393
21,2002-07,6,US_Production,0.4376,91.393
21,2002-07,7,US_Unemployment,3.9707,91.393
22,2002-08,0,Copper,-0.5886,94.0872
22,2002-08,1,US_Economy,-1.8266,94.0872
22,2002-08,2,Oil,0.3684,94.0872
22,2002-08,3,SP500,-1.8209,94.0872
22,2002-08,4,US10Y,-2.2833,94.0872
22,2002-08,5,US_Inflation,1.9982,94.0872
22,2002-08,6,US_Production,0.1826,94.0872
22,2002-08,7,US_Unemployment,3.9702,94.0872
23,2002-09,0,Copper,-0.5896,95.869
23,2002-09,1,US_Economy,-1.9174,95.869
23,2002-09,2,Oil,0.2117,95.869
23,2002-09,3,SP500,-1.9156,95.869
23,2002-09,4,US10Y,-2.009,95.869
23,2002-09,5,US_Inflation,1.9979,95.869
23,2002-09,6,US_Production,0.2515,95.869
23,2002-09,7,US_Unemployment,3.9704,95.869
24,2002-10,0,Copper,-0.5745,99.81
24,2002-10,1,US_Economy,-1.9773,99.81
24,2002-10,2,Oil,0.3035,99.81
24,2002-10,3,SP500,-1.9762,99.81
24,2002-10,4,US10Y,-2.0195,99.81
24,2002-10,5,US_Inflation,1.9977,99.81
24,2002-10,6,US_Production,0.2776,99.81
24,2002-10,7,US_Unemployment,3.9688,99.81
25,2002-11,0,Copper,-0.5471,103.2798
25,2002-11,1,US_Economy,-2.091,103.2798
25,2002-11,2,Oil,0.4388,103.2798
25,2002-11,3,SP500,-2.0864,103.2798
25,2002-11,4,US10Y,-2.0744,103.2798
25,2002-11,5,US_Inflation,1.9975,103.2798
25,2002-11,6,US_Production,0.3952,103.2798
25,2002-11,7,US_Unemployment,3.9677,103.2798
26,2002-12,0,Copper,-0.5151,104.097
26,2002-12,1,US_Economy,-2.4446,104.097
26,2002-12,2,Oil,0.1818,104.097
26,2002-12,3,SP500,-2.4407,104.097
26,2002-12,4,US10Y,-1.9886,104.097
26,2002-12,5,US_Inflation,1.9974,104.097
26,2002-12,6,US_Production,1.2413,104.097
26,2002-12,7,US_Unemployment,3.9685,104.097
27,2003-01,0,Copper,-0.537,105.9837
27,2003-01,1,US_Economy,-2.0801,105.9837
27,2003-01,2,Oil,0.269,105.9837
27,2003-01,3,SP500,-2.0826,105.9837
27,2003-01,4,US10Y,-1.838,105.9837
27,2003-01,5,US_Inflation,1.9971,105.9837
27,2003-01,6,US_Production,0.3029,105.9837
27,2003-01,7,US_Unemployment,3.9686,105.9837
28,2003-02,0,Copper,-0.5563,91.6331
28,2003-02,1,US_Economy,-1.3399,91.6331
28,2003-02,2,Oil,-0.1263,91.6331
28,2003-02,3,SP500,-1.3411,91.6331
28,2003-02,4,US10Y,-1.3227,91.6331
28,2003-02,5,US_Inflation,1.9976,91.6331
28,2003-02,6,US_Production,-1.2894,91.6331
28,2003-02,7,US_Unemployment,3.9781,91.6331
29,2003-03,0,Copper,-0.5324,87.368
29,2003-03,1,US_Economy,-1.2713,87.368
29,2003-03,2,Oil,0.1677,87.368
29,2003-03,3,SP500,-1.2725,87.368
29,2003-03,4,US10Y,-1.4895,87.368
29,2003-03,5,US_Inflation,1.9983,87.368
29,2003-03,6,US_Production,-1.5795,87.368
29,2003-03,7,US_Unemployment,3.9793,87.368
30,2003-04,0,Copper,-0.522,90.294
30,2003-04,1,US_Economy,-1.2589,90.294
30,2003-04,2,Oil,0.1916,90.294
30,2003-04,3,SP500,-1.2612,90.294
30,2003-04,4,US10Y,-1.4987,90.294
30,2003-04,5,US_Inflation,1.9981,90.294
30,2003-04,6,US_Production,-1.6274,90.294
30,2003-04,7,US_Unemployment,3.9784,90.294
31,2003-05,0,Copper,-0.5272,93.2433
31,2003-05,1,US_Economy,-1.2639,93.2433
31,2003-05,2,Oil,0.1986,93.2433
31,2003-05,3,SP500,-1.2643,93.2433
31,2003-05,4,US10Y,-1.4949,93.2433
31,2003-05,5,US_Inflation,1.9978,93.2433
31,2003-05,6,US_Production,-1.6217,93.2433
31,2003-05,7,US_Unemployment,3.9756,93.2433
32,2003-06,0,Copper,-0.5532,94.3915
32,2003-06,1,US_Economy,-1.3035,94.3915
32,2003-06,2,Oil,-0.2172,94.3915
32,2003-06,3,SP500,-1.3041,94.3915
32,2003-06,4,US10Y,-1.121,94.3915
32,2003-06,5,US_Inflation,1.9979,94.3915
32,2003-06,6,US_Production,-1.4744,94.3915
32,2003-06,7,US_Unemployment,3.9756,94.3915
33,2003-07,0,Copper,-0.5573,91.3753
33,2003-07,1,US_Economy,-1.2078,91.3753
33,2003-07,2,Oil,-0.275,91.3753
33,2003-07,3,SP500,-1.2077,91.3753
33,2003-07,4,US10Y,-1.4051,91.3753
33,2003-07,5,US_Inflation,1.9982,91.3753
33,2003-07,6,US_Production,-1.3232,91.3753
33,2003-07,7,US_Unemployment,3.9777,91.3753
34,2003-08,0,Copper,-0.5711,91.8061
34,2003-08,1,US_Economy,-0.9945,91.8061
34,2003-08,2,Oil,-0.0044,91.8061
34,2003-08,3,SP500,-0.9942,91.8061
34,2003-08,4,US10Y,-1.7663,91.8061
34,2003-08,5,US_Inflation,1.9981,91.8061
34,2003-08,6,US_Production,-1.646,91.8061
34,2003-08,7,US_Unemployment,3.9783,91.8061
35,2003-09,0,Copper,-0.563,94.3997
35,2003-09,1,US_Economy,-1.0414,94.3997
35,2003-09,2,Oil,-0.018,94.3997
35,2003-09,3,SP500,-1.0414,94.3997
35,2003-09,4,US10Y,-1.791,94.3997
35,2003-09,5,US_Inflation,1.998,94.3997
35,2003-09,6,US_Production,-1.5209,94.3997
35,2003-09,7,US_Unemployment,3.9775,94.3997
36,2003-10,0,Copper,-0.5649,94.4438
36,2003-10,1,US_Economy,-1.1282,94.4438
36,2003-10,2,Oil,-0.2858,94.4438
