t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2000-10,0,US_Economy,1.8828,0.8388,3,0.4999,0.0,0
0,2000-10,1,Copper,1.0,0.0,0,0.4999,-0.0003,0
0,2000-10,2,Oil,1.0,0.0,0,0.4996,0.0254,0
0,2000-10,3,SP500,1.0,0.0,0,0.2935,0.4923,0
0,2000-10,4,US10Y,1.0,0.0,0,0.4999,-0.0003,0
0,2000-10,5,US_Inflation,1.0,0.0,0,0.4999,-0.0068,0
0,2000-10,6,US_Production,1.0,0.0,0,0.4999,-0.0089,0
0,2000-10,7,US_Unemployment,1.0,0.0,0,0.4999,0.0023,0
1,2000-11,0,US_Economy,1.905,0.8769,3,0.4999,0.0,0
1,2000-11,1,Copper,1.0,0.0,0,0.4999,0.0006,0
1,2000-11,2,Oil,1.0,0.0,0,0.4996,-0.024,0
1,2000-11,3,SP500,1.0,0.0,0,0.2826,0.4957,0
1,2000-11,4,US10Y,1.0,0.0,0,0.4999,-0.0003,0
1,2000-11,5,US_Inflation,1.0,0.0,0,0.4999,0.0,0
1,2000-11,6,US_Production,1.0,0.0,0,0.4999,-0.0032,0
1,2000-11,7,US_Unemployment,1.0,0.0,0,0.4999,0.0,0
2,2000-12,0,US_Economy,2.017,0.9321,3,0.0,-1.0368,3
2,2000-12,1,Copper,1.0,0.0,0,222.2624,-6355.2203,3
2,2000-12,2,Oil,1.0,0.0,0,0.0037,24.7965,3
2,2000-12,3,SP500,1.0,0.0,0,0.0,-1.6447,0
2,2000-12,4,US10Y,1.0,0.0,0,1.3196,462.1544,3
2,2000-12,5,US_Inflation,1.0,0.0,0,1.4583,-483.6546,3
2,2000-12,6,US_Production,1.0,0.0,0,1.1265,-443.3757,3
2,2000-12,7,US_Unemployment,1.0,0.0,0,20.1728,1811.4006,3
3,2001-01,0,US_Economy,1.8547,0.6805,3,0.0065,-1.3871,2
3,2001-01,1,Copper,1.0,0.0,0,169.3812,-225.2787,2
3,2001-01,2,Oil,1.0,0.0,0,0.004,-0.587,0
3,2001-01,3,SP500,1.0,0.0,0,0.0044,-1.1448,2
3,2001-01,4,US10Y,1.0,0.0,0,2.1258,25.2283,2
3,2001-01,5,US_Inflation,1.0,0.0,0,73.3936,-146.4144,2
3,2001-01,6,US_Production,1.0,0.0,0,8.393,-50.074,2
3,2001-01,7,US_Unemployment,1.0,0.0,0,10.7153,56.6811,2
4,2001-02,0,US_Economy,1.8502,0.8294,3,0.009,-1.671,2
4,2001-02,1,Copper,1.0,0.0,0,402.4838,-133.6908,2
4,2001-02,2,Oil,1.0,0.0,0,0.0027,-0.5623,0
4,2001-02,3,SP500,1.0,0.0,0,0.0029,-0.9461,2
4,2001-02,4,US10Y,1.0,0.0,0,2.7445,22.9431,2
4,2001-02,5,US_Inflation,1.0,0.0,0,1.5892,-1.6396,0
4,2001-02,6,US_Production,1.0,0.0,0,2.0531,-1.1167,0
4,2001-02,7,US_Unemployment,1.0,0.0,0,8.1413,42.4176,2
5,2001-03,0,US_Economy,1.8668,0.8444,3,0.0378,-1.5674,2
5,2001-03,1,Copper,1.0,0.0,0,504.2354,-19.0613,2
5,2001-03,2,Oil,1.0,0.0,0,0.0077,-0.5192,0
5,2001-03,3,SP500,1.0,0.0,0,0.0115,-0.8607,2
5,2001-03,4,US10Y,1.0,0.0,0,17.8412,6.8361,2
5,2001-03,5,US_Inflation,1.0,0.0,0,2.0993,-0.8021,0
5,2001-03,6,US_Production,1.0,0.0,0,1.5712,-0.489,0
5,2001-03,7,US_Unemployment,1.0,0.0,0,54.7252,31.6524,2
6,2001-04,0,US_Economy,1.8514,0.8421,3,0.371,-1.1544,2
6,2001-04,1,Copper,1.0,0.0,0,568.354,9.7313,5
6,2001-04,2,Oil,1.0,0.0,0,0.0727,-0.412,0
6,2001-04,3,SP500,1.0,0.0,0,0.1126,-0.6315,2
6,2001-04,4,US10Y,1.0,0.0,0,5.8605,-1.3703,6
6,2001-04,5,US_Inflation,1.0,0.0,0,2.611,-0.5609,3
6,2001-04,6,US_Production,1.0,0.0,0,1.548,-0.357,4
6,2001-04,7,US_Unemployment,1.0,0.0,0,33.5561,2.6223,6
7,2001-05,0,US_Economy,1.9043,0.8738,3,0.0953,-1.4906,2
7,2001-05,1,Copper,1.0,0.0,0,231.0196,-4.8948,2
7,2001-05,2,Oil,1.0,0.0,0,0.0167,-0.495,0
7,2001-05,3,SP500,1.0,0.0,0,0.0279,-0.8025,2
7,2001-05,4,US10Y,1.0,0.0,0,4.2488,0.5457,2
7,2001-05,5,US_Inflation,1.0,0.0,0,2.4,-0.5071,0
7,2001-05,6,US_Production,1.0,0.0,0,1.6555,-0.3553,0
7,2001-05,7,US_Unemployment,1.0,0.0,0,9.5405,-0.5737,4
8,2001-06,0,US_Economy,1.862,0.7554,3,0.2487,-1.2292,2
8,2001-06,1,Copper,1.0,0.0,0,0.4247,-0.1828,5
8,2001-06,2,Oil,1.0,0.0,0,0.0581,-0.4427,0
8,2001-06,3,SP500,1.0,0.0,0,0.0835,-0.7058,2
8,2001-06,4,US10Y,1.0,0.0,0,3.8895,-1.3769,1
8,2001-06,5,US_Inflation,1.0,0.0,0,1.3943,-0.6051,1
8,2001-06,6,US_Production,1.0,0.0,0,1.8091,-0.5257,1
8,2001-06,7,US_Unemployment,1.0,0.0,0,6.8512,-1.7329,1
9,2001-07,0,US_Economy,1.9278,0.792,3,0.0841,-1.5052,2
9,2001-07,1,Copper,1.0,0.0,0,1.8064,-0.1959,2
9,2001-07,2,Oil,1.0,0.0,0,0.0205,-0.5137,0
9,2001-07,3,SP500,1.0,0.0,0,0.0269,-0.8474,2
9,2001-07,4,US10Y,1.0,0.0,0,4.9343,0.8804,2
9,2001-07,5,US_Inflation,1.0,0.0,0,1.4996,-0.4394,0
9,2001-07,6,US_Production,1.0,0.0,0,2.0892,-0.3694,0
9,2001-07,7,US_Unemployment,1.0,0.0,0,5.4713,-0.4928,4
10,2001-08,0,US_Economy,1.902,0.8726,3,0.0929,-1.4515,2
10,2001-08,1,Copper,1.0,0.0,0,1.8341,-0.1828,6
10,2001-08,2,Oil,1.0,0.0,0,0.017,-0.4829,0
10,2001-08,3,SP500,1.0,0.0,0,0.0272,-0.7816,2
10,2001-08,4,US10Y,1.0,0.0,0,5.0613,1.135,2
10,2001-08,5,US_Inflation,1.0,0.0,0,1.2399,-0.4314,0
10,2001-08,6,US_Production,1.0,0.0,0,2.1586,-0.4508,0
10,2001-08,7,US_Unemployment,1.0,0.0,0,5.0638,0.5631,6
11,2001-09,0,US_Economy,1.9135,0.6522,3,0.0888,-1.4813,2
11,2001-09,1,Copper,1.0,0.0,0,3.9709,-0.2265,6
11,2001-09,2,Oil,1.0,0.0,0,0.0309,-0.5234,0
11,2001-09,3,SP500,1.0,0.0,0,0.0336,-0.9057,2
11,2001-09,4,US10Y,1.0,0.0,0,4.6753,0.9685,2
11,2001-09,5,US_Inflation,1.0,0.0,0,1.2723,-0.4511,0
11,2001-09,6,US_Production,1.0,0.0,0,1.9712,-0.3622,0
11,2001-09,7,US_Unemployment,1.0,0.0,0,4.9374,0.7392,6
12,2001-10,0,US_Economy,1.8682,0.8438,3,0.1122,-1.4195,2
12,2001-10,1,Copper,1.0,0.0,0,3.6315,-0.2221,6
