t_idx,src_idx,tgt_idx,value
2020-01,ACC_Accounts_Payable_DPT_Admin,ACC_Raw_Materials_DPT_Ops,75433.08
2020-01,ACC_Cash_DPT_Admin,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,29791.059999999998
2020-01,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_A,28053.37
2020-01,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_B,6183.07
2020-01,ACC_Finished_Goods_DPT_Prod_A,ACC_COGS_DPT_Prod_A,68432.69
2020-01,ACC_Finished_Goods_DPT_Prod_B,ACC_COGS_DPT_Prod_B,22442.71
2020-01,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_A,9595.58
2020-01,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_B,12020.64
2020-01,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_A,69012.6
2020-01,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_B,16934.4
2020-01,ACC_Sales_Revenue_DPT_Sales,ACC_Accounts_Receivable_DPT_Admin,143430.16
2020-01,ACC_Work_In_Process_DPT_Prod_A,ACC_Finished_Goods_DPT_Prod_A,97065.97
2020-01,ACC_Work_In_Process_DPT_Prod_B,ACC_Finished_Goods_DPT_Prod_B,23117.47
2020-02,ACC_Accounts_Payable_DPT_Admin,ACC_Raw_Materials_DPT_Ops,58193.96
2020-02,ACC_Accounts_Receivable_DPT_Admin,ACC_Cash_DPT_Admin,35961.19
2020-02,ACC_Cash_DPT_Admin,ACC_Accounts_Payable_DPT_Admin,13395.45
2020-02,ACC_Cash_DPT_Admin,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,30511.5
2020-02,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_A,32795.36
2020-02,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_B,2818.38
2020-02,ACC_Finished_Goods_DPT_Prod_A,ACC_COGS_DPT_Prod_A,72250.76
2020-02,ACC_Finished_Goods_DPT_Prod_B,ACC_COGS_DPT_Prod_B,37813.43
2020-02,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_A,14862.53
2020-02,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_B,10741.46
2020-02,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_A,68446.06
2020-02,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_B,9160.630000000001
2020-02,ACC_Sales_Revenue_DPT_Sales,ACC_Accounts_Receivable_DPT_Admin,174750.72
2020-02,ACC_Work_In_Process_DPT_Prod_A,ACC_Finished_Goods_DPT_Prod_A,101241.42
2020-02,ACC_Work_In_Process_DPT_Prod_B,ACC_Finished_Goods_DPT_Prod_B,11979.01
2020-03,ACC_Accounts_Payable_DPT_Admin,ACC_Raw_Materials_DPT_Ops,56996.06
2020-03,ACC_Accounts_Receivable_DPT_Admin,ACC_Cash_DPT_Admin,117078.95
2020-03,ACC_Cash_DPT_Admin,ACC_Accounts_Payable_DPT_Admin,82477.97
2020-03,ACC_Cash_DPT_Admin,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,29531.54
2020-03,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_A,38123.41
2020-03,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_B,3246.91
2020-03,ACC_Finished_Goods_DPT_Prod_A,ACC_COGS_DPT_Prod_A,62910.28
2020-03,ACC_Finished_Goods_DPT_Prod_B,ACC_COGS_DPT_Prod_B,30693.47
2020-03,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_A,12307.01
2020-03,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_B,10782.32
2020-03,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_A,90786.74
2020-03,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_B,9072.23
2020-03,ACC_Sales_Revenue_DPT_Sales,ACC_Accounts_Receivable_DPT_Admin,150404.45
2020-03,ACC_Work_In_Process_DPT_Prod_A,ACC_Finished_Goods_DPT_Prod_A,128910.15
2020-03,ACC_Work_In_Process_DPT_Prod_B,ACC_Finished_Goods_DPT_Prod_B,12319.14
2020-04,ACC_Accounts_Payable_DPT_Admin,ACC_Raw_Materials_DPT_Ops,68842.69
2020-04,ACC_Accounts_Receivable_DPT_Admin,ACC_Cash_DPT_Admin,172392.16
2020-04,ACC_Cash_DPT_Admin,ACC_Accounts_Payable_DPT_Admin,24607.48
2020-04,ACC_Cash_DPT_Admin,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,29741.98
2020-04,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_A,34151.92
2020-04,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_B,4042.21
2020-04,ACC_Finished_Goods_DPT_Prod_A,ACC_COGS_DPT_Prod_A,34260.23
2020-04,ACC_Finished_Goods_DPT_Prod_B,ACC_COGS_DPT_Prod_B,18917.49
2020-04,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_A,14591.79
2020-04,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_B,11101.88
2020-04,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_A,75536.94
2020-04,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_B,10611.73
2020-04,ACC_Sales_Revenue_DPT_Sales,ACC_Accounts_Receivable_DPT_Admin,84120.41
2020-04,ACC_Work_In_Process_DPT_Prod_A,ACC_Finished_Goods_DPT_Prod_A,109688.86
2020-04,ACC_Work_In_Process_DPT_Prod_B,ACC_Finished_Goods_DPT_Prod_B,14653.94
2020-05,ACC_Accounts_Payable_DPT_Admin,ACC_Raw_Materials_DPT_Ops,62507.58
2020-05,ACC_Accounts_Receivable_DPT_Admin,ACC_Cash_DPT_Admin,122515.83
2020-05,ACC_Cash_DPT_Admin,ACC_Accounts_Payable_DPT_Admin,66078.09
2020-05,ACC_Cash_DPT_Admin,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,32059.94
2020-05,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_A,28361.53
2020-05,ACC_Cash_DPT_Admin,ACC_Work_In_Process_DPT_Prod_B,4899.76
2020-05,ACC_Finished_Goods_DPT_Prod_A,ACC_COGS_DPT_Prod_A,28887.32
2020-05,ACC_Finished_Goods_DPT_Prod_B,ACC_COGS_DPT_Prod_B,10830.36
2020-05,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_A,10899.29
2020-05,ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,ACC_Finished_Goods_DPT_Prod_B,13512.25
2020-05,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_A,64311.1
2020-05,ACC_Raw_Materials_DPT_Ops,ACC_Work_In_Process_DPT_Prod_B,15723.130000000001
2020-05,ACC_Sales_Revenue_DPT_Sales,ACC_Accounts_Receivable_DPT_Admin,65006.12
