t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-01,4586809.32,3.0677,0.0,-143430.16,99050.24,0.0,4586809.32
1,2020-02,5156647.36,3.1658,297614.42,-174750.72,114971.7,0.0,4214457.3152
2,2020-03,5580004.04,2.992,432258.9888,-150404.45,100045.96,0.0,4286687.3051
3,2020-04,5697953.44,3.2876,503195.9875,-84120.41,57226.03,0.0,4043663.1671
4,2020-05,5867342.46,3.3561,424721.2805,-65006.12,47366.08,0.0,4441921.8985
5,2020-06,6133731.92,3.1836,389341.9845,-86939.38,57881.47,0.0,4894239.4219
6,2020-07,6626255.34,3.3505,403888.0913,-171223.56,111978.05,0.0,5273047.9461
7,2020-08,7126022.88,3.303,512941.4949,-184561.56,122306.76,0.0,5431783.2334
8,2020-09,7430435.36,3.1648,526625.2143,-143446.59,95134.39,0.0,5763761.2648
9,2020-10,7563240.9,3.1308,465624.3428,-88749.03,60954.23,0.0,6105444.6952
10,2020-11,7680968.52,3.2634,458461.3274,-56977.24,41210.53,0.0,6184828.707
11,2020-12,7916715.16,2.0553,394290.921,-84135.89,76330.13,0.0,7106312.447
