src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,00_ACC_Accounts_Payable_DPT_Admin,0,00_ACC_Accounts_Payable_DPT_Admin,0,1.0
0,00_ACC_Accounts_Payable_DPT_Admin,1,01_ACC_Accounts_Receivable_DPT_Admin,2,0.1139
0,00_ACC_Accounts_Payable_DPT_Admin,2,02_ACC_COGS_DPT_Prod_A,3,0.1147
0,00_ACC_Accounts_Payable_DPT_Admin,3,03_ACC_COGS_DPT_Prod_B,3,0.0365
0,00_ACC_Accounts_Payable_DPT_Admin,4,04_ACC_Cash_DPT_Admin,1,0.3758
0,00_ACC_Accounts_Payable_DPT_Admin,5,05_ACC_Finished_Goods_DPT_Prod_A,3,0.1761
0,00_ACC_Accounts_Payable_DPT_Admin,6,06_ACC_Finished_Goods_DPT_Prod_B,1,0.2377
0,00_ACC_Accounts_Payable_DPT_Admin,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,2,0.4159
0,00_ACC_Accounts_Payable_DPT_Admin,8,08_ACC_Raw_Materials_DPT_Ops,2,0.4549
0,00_ACC_Accounts_Payable_DPT_Admin,9,09_ACC_Sales_Revenue_DPT_Sales,0,0.1444
0,00_ACC_Accounts_Payable_DPT_Admin,10,10_ACC_Work_In_Process_DPT_Prod_A,0,0.2657
0,00_ACC_Accounts_Payable_DPT_Admin,11,11_ACC_Work_In_Process_DPT_Prod_B,3,0.5586
0,00_ACC_Accounts_Payable_DPT_Admin,12,12_ACC_Cash,0,0.0
0,00_ACC_Accounts_Payable_DPT_Admin,13,13_ACC_Raw_Materials,0,0.0
0,00_ACC_Accounts_Payable_DPT_Admin,14,14_ACC_Finished_Goods,0,0.0
0,00_ACC_Accounts_Payable_DPT_Admin,15,15_ACC_Equity_Capital,0,0.0
1,01_ACC_Accounts_Receivable_DPT_Admin,0,00_ACC_Accounts_Payable_DPT_Admin,3,-0.2729
1,01_ACC_Accounts_Receivable_DPT_Admin,1,01_ACC_Accounts_Receivable_DPT_Admin,0,1.0
1,01_ACC_Accounts_Receivable_DPT_Admin,2,02_ACC_COGS_DPT_Prod_A,0,0.904
1,01_ACC_Accounts_Receivable_DPT_Admin,3,03_ACC_COGS_DPT_Prod_B,1,0.828
1,01_ACC_Accounts_Receivable_DPT_Admin,4,04_ACC_Cash_DPT_Admin,3,0.6674
1,01_ACC_Accounts_Receivable_DPT_Admin,5,05_ACC_Finished_Goods_DPT_Prod_A,3,0.8703
1,01_ACC_Accounts_Receivable_DPT_Admin,6,06_ACC_Finished_Goods_DPT_Prod_B,3,0.6609
1,01_ACC_Accounts_Receivable_DPT_Admin,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,0,-0.0208
1,01_ACC_Accounts_Receivable_DPT_Admin,8,08_ACC_Raw_Materials_DPT_Ops,0,0.1513
1,01_ACC_Accounts_Receivable_DPT_Admin,9,09_ACC_Sales_Revenue_DPT_Sales,3,0.8468
1,01_ACC_Accounts_Receivable_DPT_Admin,10,10_ACC_Work_In_Process_DPT_Prod_A,2,0.3534
1,01_ACC_Accounts_Receivable_DPT_Admin,11,11_ACC_Work_In_Process_DPT_Prod_B,3,0.3007
1,01_ACC_Accounts_Receivable_DPT_Admin,12,12_ACC_Cash,0,0.0
1,01_ACC_Accounts_Receivable_DPT_Admin,13,13_ACC_Raw_Materials,0,0.0
1,01_ACC_Accounts_Receivable_DPT_Admin,14,14_ACC_Finished_Goods,0,0.0
1,01_ACC_Accounts_Receivable_DPT_Admin,15,15_ACC_Equity_Capital,0,0.0
2,02_ACC_COGS_DPT_Prod_A,0,00_ACC_Accounts_Payable_DPT_Admin,3,-0.0618
2,02_ACC_COGS_DPT_Prod_A,1,01_ACC_Accounts_Receivable_DPT_Admin,0,0.904
2,02_ACC_COGS_DPT_Prod_A,2,02_ACC_COGS_DPT_Prod_A,0,1.0
2,02_ACC_COGS_DPT_Prod_A,3,03_ACC_COGS_DPT_Prod_B,0,0.9286
2,02_ACC_COGS_DPT_Prod_A,4,04_ACC_Cash_DPT_Admin,2,0.7863
2,02_ACC_COGS_DPT_Prod_A,5,05_ACC_Finished_Goods_DPT_Prod_A,3,0.8461
2,02_ACC_COGS_DPT_Prod_A,6,06_ACC_Finished_Goods_DPT_Prod_B,3,0.7123
2,02_ACC_COGS_DPT_Prod_A,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,3,0.0645
2,02_ACC_COGS_DPT_Prod_A,8,08_ACC_Raw_Materials_DPT_Ops,3,-0.0267
2,02_ACC_COGS_DPT_Prod_A,9,09_ACC_Sales_Revenue_DPT_Sales,3,0.9779
2,02_ACC_COGS_DPT_Prod_A,10,10_ACC_Work_In_Process_DPT_Prod_A,2,0.194
2,02_ACC_COGS_DPT_Prod_A,11,11_ACC_Work_In_Process_DPT_Prod_B,3,0.344
2,02_ACC_COGS_DPT_Prod_A,12,12_ACC_Cash,0,0.0
2,02_ACC_COGS_DPT_Prod_A,13,13_ACC_Raw_Materials,0,0.0
2,02_ACC_COGS_DPT_Prod_A,14,14_ACC_Finished_Goods,0,0.0
2,02_ACC_COGS_DPT_Prod_A,15,15_ACC_Equity_Capital,0,0.0
3,03_ACC_COGS_DPT_Prod_B,0,00_ACC_Accounts_Payable_DPT_Admin,3,0.2531
3,03_ACC_COGS_DPT_Prod_B,1,01_ACC_Accounts_Receivable_DPT_Admin,0,0.7504
3,03_ACC_COGS_DPT_Prod_B,2,02_ACC_COGS_DPT_Prod_A,0,0.9286
