t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,29024204.7422
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,4934.4014,29024204.7422
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,29024204.7422
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,29024204.7422
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,0.0,29024204.7422
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,29024204.7422
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,29024204.7422
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,29024204.7422
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,29024204.7422
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,5805.1781,29024204.7422
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,29024204.7422
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,29024204.7422
0,2020-01,12,12_ACC_Cash,Asset,0.0,29024204.7422
0,2020-01,13,13_ACC_Raw_Materials,Unknown,0.0,29024204.7422
0,2020-01,14,14_ACC_Finished_Goods,Unknown,0.0,29024204.7422
0,2020-01,15,15_ACC_Equity_Capital,Equity,0.0,29024204.7422
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,1535.0691,12497706.1076
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,2124.6632,12497706.1076
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,455.2538,12497706.1076
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,661.9163,12497706.1076
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,1805.9637,12497706.1076
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,535.5927,12497706.1076
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,778.725,12497706.1076
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1535.0691,12497706.1076
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,1304.8088,12497706.1076
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,2499.6037,12497706.1076
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,1247.0767,12497706.1076
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,1209.3109,12497706.1076
1,2020-02,12,12_ACC_Cash,Asset,0.0,12497706.1076
1,2020-02,13,13_ACC_Raw_Materials,Unknown,0.0,12497706.1076
1,2020-02,14,14_ACC_Finished_Goods,Unknown,0.0,12497706.1076
1,2020-02,15,15_ACC_Equity_Capital,Equity,0.0,12497706.1076
