t_idx,src_idx,tgt_idx,value
0,0,1,756.96
1,2,3,447.99
2,0,1,1036.59
3,2,3,645.24
4,0,1,1471.19
5,2,3,686.99
6,4,2,11648.77
7,0,1,1504.62
8,2,3,641.09
9,0,1,1087.44
10,2,3,445.34
11,0,1,663.03
12,2,3,308.7
13,0,1,664.64
14,2,3,408.62
15,0,1,664.03
16,2,3,374.17
17,0,1,881.3
18,2,3,471.29
19,5,1,40433.6
20,0,1,40433.6
21,1,5,40433.6
22,0,1,638.87
23,2,3,409.99
24,0,1,533.51
25,2,3,281.04
26,5,6,1149.94
27,0,1,556.35
28,2,3,238.02
29,0,1,454.72
30,2,3,230.86
31,0,1,1437.8
32,2,3,835.53
33,5,6,567.53
34,0,1,821.9
35,2,3,556.17
36,0,1,452.47
37,2,3,255.92
38,0,1,643.46
39,2,3,378.74
40,0,1,504.83
41,2,3,308.64
42,0,1,929.73
43,2,3,556.33
44,0,1,629.14
45,2,3,306.28
46,0,1,628.87
47,2,3,323.26
48,0,1,1678.28
49,2,3,991.37
50,0,1,795.69
51,2,3,357.1
52,4,2,10413.43
53,0,1,490.92
54,2,3,297.04
55,0,1,869.71
56,2,3,506.81
57,0,1,365.31
58,2,3,204.66
59,0,1,470.28
60,2,3,211.17
61,5,6,1112.71
62,0,1,1074.92
63,2,3,500.79
64,0,1,856.76
65,2,3,559.34
66,0,1,763.84
67,2,3,318.35
68,0,1,709.22
69,2,3,290.52
70,0,1,599.85
71,2,3,404.26
72,0,1,665.38
73,2,3,441.09
74,0,1,1221.04
75,2,3,566.3
76,5,6,1100.02
77,0,1,395.2
78,2,3,189.48
79,0,1,910.73
80,2,3,567.84
81,0,1,685.8
82,2,3,328.38
83,0,1,610.23
84,2,3,322.52
85,5,6,286.61
86,0,1,1208.35
87,2,3,668.05
88,0,1,1161.1
89,2,3,727.7
90,0,1,571.88
91,2,3,247.56
92,0,1,706.93
93,2,3,316.7
94,0,1,1181.84
95,2,3,608.04
96,0,1,660.46
97,2,3,369.02
98,0,1,742.74
99,2,3,488.9
100,0,1,513.93
101,2,3,310.46
102,0,1,1107.24
103,2,3,531.53
104,0,1,1376.24
105,2,3,690.94
106,0,1,777.29
107,2,3,412.3
108,4,2,13505.3
