t_idx,src_idx,tgt_idx,value
0,0,1,7765.85
0,2,3,9260.16
0,3,2,9260.16
0,3,4,1717.47
0,1,5,6424.89
0,6,2,21611.21
1,0,1,6942.29
1,3,4,1511.79
1,1,5,9137.95
1,6,2,16593.78
2,0,1,8812.53
2,3,4,2985.64
2,1,5,12257.06
2,6,2,21253.12
3,0,1,8296.12
3,3,7,20862.23
3,3,8,5361.86
3,3,4,1001.5799999999999
3,1,5,11166.52
3,6,2,20102.86
4,0,1,7216.75
4,2,3,13613.91
4,3,2,12856.95
4,3,4,1057.69
4,1,5,11824.04
4,6,2,34680.3
5,0,1,8341.15
5,2,3,1592.27
5,3,0,7765.85
5,3,4,1494.4
5,1,5,13916.28
5,6,2,25158.45
6,0,1,8570.89
6,2,3,4198.93
6,3,4,970.48
6,1,5,15326.86
6,6,2,28067.510000000002
7,0,1,7346.67
7,2,3,9000.23
7,3,0,6942.29
7,3,4,2514.27
7,1,5,13530.63
7,6,2,24049.47
8,0,1,8280.99
8,2,3,15138.68
8,3,7,17698.23
8,3,8,5794.56
8,3,4,356.16999999999996
8,1,5,15044.55
8,6,2,26205.38
9,0,1,6785.81
9,2,3,9474.31
9,3,0,8296.12
9,3,4,393.92
9,1,5,13660.85
9,6,2,25979.43
10,0,1,8690.14
10,2,3,9263.44
10,3,4,1941.56
10,1,5,14497.64
10,6,2,27065.58
11,0,1,8046.98
11,2,3,18906.93
11,3,0,7216.75
11,3,4,1315.12
11,1,5,16639.78
11,6,2,31699.07
12,0,1,6695.53
12,2,3,17160.3
12,3,0,8812.53
12,3,7,18357.69
12,3,8,4383.36
12,3,4,1138.2
12,1,5,13790.78
12,6,2,24233.190000000002
13,0,1,6577.75
13,2,3,18831.79
13,3,4,2291.12
13,1,5,14977.65
13,6,2,27127.86
14,0,1,7337.38
14,2,3,19222.38
14,3,0,6785.81
14,3,4,2393.55
14,1,5,12356.25
14,6,2,22752.86
15,0,1,8289.77
15,2,3,17587.92
15,3,0,8341.15
15,3,4,2513.0699999999997
15,1,5,14701.06
15,6,2,25960.06
16,0,1,8756.99
16,2,3,29434.260000000002
16,3,0,8046.98
16,3,7,19365.120000000003
16,3,8,5268.66
16,3,4,1027.94
16,1,5,16447.49
16,6,2,29720.88
17,0,1,6704.92
17,2,3,46063.91
17,3,0,7346.67
17,3,4,1113.34
17,1,5,12779.93
17,6,2,23964.14
18,0,1,7222.18
18,2,3,21361.920000000002
18,3,0,8570.89
18,3,4,2494.34
18,1,5,14175.78
18,6,2,24929.18
19,0,1,8399.14
19,2,3,37092.520000000004
19,3,0,6695.53
19,3,2,15512.6
19,3,4,1184.71
19,1,5,12345.06
19,6,2,38396.58
20,0,1,6593.34
20,2,3,29006.03
20,3,0,8280.99
20,3,4,2088.66
20,1,5,11741.18
20,6,2,23362.05
21,0,1,8459.18
21,2,3,26844.9
