Trans_Date,Src,Tgt,Amount
2020-W01,ACC_Accounts_Payable,ACC_Inventory,7765.85
2020-W01,ACC_Cash,ACC_Travel_Exp,1649.55
2020-W01,ACC_Inventory,ACC_COGS,6159.9
2020-W01,ACC_Sales_Revenue,ACC_Accounts_Receivable,11688.16
2020-W02,ACC_Accounts_Payable,ACC_Inventory,6942.29
2020-W02,ACC_Cash,ACC_Travel_Exp,2415.54
2020-W02,ACC_Inventory,ACC_COGS,10435.26
2020-W02,ACC_Sales_Revenue,ACC_Accounts_Receivable,18504.48
2020-W03,ACC_Accounts_Payable,ACC_Inventory,9003.53
2020-W03,ACC_Cash,ACC_Travel_Exp,2365.18
2020-W03,ACC_Inventory,ACC_COGS,14063.39
2020-W03,ACC_Sales_Revenue,ACC_Accounts_Receivable,23979.2
2020-W04,ACC_Accounts_Payable,ACC_Inventory,7197.72
2020-W04,ACC_Cash,ACC_Payroll_Exp,18973.66
2020-W04,ACC_Cash,ACC_Rent_Exp,6683.35
2020-W04,ACC_Cash,ACC_Travel_Exp,1121.18
2020-W04,ACC_Inventory,ACC_COGS,13090.81
2020-W04,ACC_Sales_Revenue,ACC_Accounts_Receivable,24510.13
2020-W05,ACC_Accounts_Payable,ACC_Inventory,6392.52
2020-W05,ACC_Accounts_Receivable,ACC_Cash,664.03
2020-W05,ACC_Cash,ACC_Travel_Exp,2935.7200000000003
2020-W05,ACC_Inventory,ACC_COGS,14400.14
2020-W05,ACC_Sales_Revenue,ACC_Accounts_Receivable,25700.15
2020-W06,ACC_Accounts_Payable,ACC_Inventory,7142.84
2020-W06,ACC_Accounts_Receivable,ACC_Cash,3035.08
2020-W06,ACC_Cash,ACC_Travel_Exp,2226.96
2020-W06,ACC_Inventory,ACC_COGS,15803.99
2020-W06,ACC_Sales_Revenue,ACC_Accounts_Receivable,27839.6
2020-W07,ACC_Accounts_Payable,ACC_Inventory,6132.73
2020-W07,ACC_Accounts_Receivable,ACC_Cash,5236.2
2020-W07,ACC_Cash,ACC_Travel_Exp,2537.84
