t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-W01,85485.52,0.0,0.0,-11688.16,7809.45,0.0,85485.52
1,2020-W02,136379.06,0.0,12681.23,-18504.48,12850.8,0.0,136379.06
2,2020-W03,202344.52,0.0,17678.2815,-23979.2,16428.57,0.0,202344.52
3,2020-W04,269439.3,1.0436,39431.8981,-24510.13,39869.0,0.0,228286.8388
4,2020-W05,349639.88,0.0,38255.9731,-25700.15,17335.86,0.0,349639.88
5,2020-W06,436927.06,0.0,37342.173,-27839.6,18030.95,0.0,436927.06
6,2020-W07,526777.12,0.0,36647.127,-29035.09,18427.78,0.0,526777.12
7,2020-W08,597163.72,0.6737,36722.2284,-26896.32,16733.42,0.0,572423.7165
8,2020-W09,710581.46,1.0266,38325.4934,-28035.54,41184.27,0.0,671238.2131
9,2020-W10,757724.72,0.5309,40513.8822,-22433.93,14447.82,0.0,736217.4774
10,2020-W11,811968.76,0.0,41613.8147,-27310.23,17345.89,0.0,811968.76
11,2020-W12,887547.3,0.0,43214.9696,-25087.29,15426.2,0.0,887547.3
12,2020-W13,940318.34,1.1092,45810.7367,-16918.91,31188.14,0.0,889502.866
13,2020-W14,995971.78,0.0,46787.8229,-17623.89,13273.88,0.0,995971.78
14,2020-W15,1015832.48,0.4506,50435.7989,-12283.91,7587.36,0.0,993103.6194
15,2020-W16,1032421.74,0.8289,55308.6233,-9129.67,7468.61,0.0,986575.6441
16,2020-W17,1003512.66,1.5488,62138.2083,-9244.52,31758.16,0.0,907273.3595
17,2020-W18,1007522.22,0.3149,65288.492,-10592.71,6654.49,0.0,986961.7335
18,2020-W19,1040081.76,0.0,65601.116,-10589.43,6726.9,0.0,1040081.76
19,2020-W20,1076817.52,0.0,63872.4351,-12012.73,9084.96,0.0,1076817.52
20,2020-W21,1077061.84,0.5893,62155.945,-10502.53,8203.76,0.0,1040434.4932
21,2020-W22,1082957.9,1.3958,58131.0061,-8586.72,27130.84,0.0,1001816.4625
22,2020-W23,1098863.76,0.7303,55690.1178,-9771.75,7401.5,0.0,1058194.3227
23,2020-W24,1132087.04,0.0,51294.0571,-10976.12,7379.19,0.0,1132087.04
24,2020-W25,1164190.72,0.876,46949.6627,-14081.1,10435.85,0.0,1123063.5072
25,2020-W26,1195371.96,1.7141,49057.4568,-14087.12,35332.58,0.0,1111284.2957
26,2020-W27,1242382.48,0.5514,51498.2939,-21422.85,13140.9,0.0,1213984.5165
27,2020-W28,1313854.38,0.0,55672.46,-22566.53,16253.5,0.0,1313854.38
28,2020-W29,1357698.6,0.4187,58643.1908,-25312.48,15315.15,0.0,1333145.5468
29,2020-W30,1449810.06,1.0934,59164.4258,-29470.83,45850.79,0.0,1385119.4189
30,2020-W31,1478949.18,0.4718,61864.5095,-26061.35,16806.04,0.0,1449764.4295
31,2020-W32,1544777.18,0.5743,59734.4826,-26767.71,15869.98,0.0,1510474.6507
32,2020-W33,1623406.12,0.0,58665.2813,-30487.38,16053.3,0.0,1623406.12
33,2020-W34,1714631.18,0.0,61404.815,-29286.0,17458.43,0.0,1714631.18
34,2020-W35,1795186.46,1.1097,57883.992,-25857.41,40627.89,0.0,1730950.7358
35,2020-W36,1865158.08,0.4158,54284.1768,-28375.69,17161.0,0.0,1842584.7296
36,2020-W37,1928489.96,0.4855,51021.2536,-25426.76,14834.86,0.0,1903720.3814
37,2020-W38,1970946.32,0.8352,51910.1701,-18494.66,13336.65,0.0,1927590.5151
38,2020-W39,2007472.74,1.4547,49920.2802,-21794.69,38011.86,0.0,1934853.4311
39,2020-W40,2054520.58,0.0,54557.5938,-15114.76,9796.47,0.0,2054520.58
40,2020-W41,2106371.2,1.2216,56101.2846,-34731.96,11328.17,0.0,2037838.0974
41,2020-W42,2145406.38,0.0,61965.0717,-12689.88,8636.19,0.0,2145406.38
42,2020-W43,2143000.74,1.5776,63421.3953,-11595.55,32221.63,0.0,2042947.9671
43,2020-W44,2129803.7,0.4828,62339.8834,-6876.54,5751.36,0.0,2099706.1029
44,2020-W45,2155420.38,0.0,64047.3479,-8395.0,7146.8,0.0,2155420.38
45,2020-W46,2160244.06,0.6856,62213.0529,-11317.82,9764.61,0.0,2117592.8125
46,2020-W47,2178839.54,0.8046,59767.982,-12271.51,9810.84,0.0,2130752.0165
47,2020-W48,2250699.14,1.5249,58791.8763,-29946.92,30183.11,0.0,2161045.319
48,2020-W49,2283508.4,0.8211,55741.792,-15439.05,10599.15,0.0,2237739.6299
49,2020-W50,2307947.98,0.6285,53658.1713,-13002.0,8747.92,0.0,2274221.816
50,2020-W51,2335675.84,0.3569,53785.0338,-18887.83,11768.07,0.0,2316477.7146
51,2020-W52,2379852.46,0.8488,51526.963,-14116.88,28561.73,0.0,2336118.4168
