src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,ACC_Accounts_Payable,0,ACC_Accounts_Payable,0,1.0
0,ACC_Accounts_Payable,1,ACC_Inventory,5,0.2877
0,ACC_Accounts_Payable,2,ACC_Accounts_Receivable,12,0.0769
0,ACC_Accounts_Payable,3,ACC_Cash,1,0.312
0,ACC_Accounts_Payable,4,ACC_Travel_Exp,9,0.2638
0,ACC_Accounts_Payable,5,ACC_COGS,12,0.17
0,ACC_Accounts_Payable,6,ACC_Sales_Revenue,5,0.2926
0,ACC_Accounts_Payable,7,ACC_Payroll_Exp,0,0.1272
0,ACC_Accounts_Payable,8,ACC_Rent_Exp,10,0.1589
1,ACC_Inventory,0,ACC_Accounts_Payable,0,0.0708
1,ACC_Inventory,1,ACC_Inventory,0,1.0
1,ACC_Inventory,2,ACC_Accounts_Receivable,11,0.886
1,ACC_Inventory,3,ACC_Cash,1,0.2682
1,ACC_Inventory,4,ACC_Travel_Exp,10,0.3788
1,ACC_Inventory,5,ACC_COGS,12,0.8447
1,ACC_Inventory,6,ACC_Sales_Revenue,0,0.8945
1,ACC_Inventory,7,ACC_Payroll_Exp,12,0.124
1,ACC_Inventory,8,ACC_Rent_Exp,12,0.1214
2,ACC_Accounts_Receivable,0,ACC_Accounts_Payable,10,0.1465
2,ACC_Accounts_Receivable,1,ACC_Inventory,12,0.6293
2,ACC_Accounts_Receivable,2,ACC_Accounts_Receivable,0,1.0
2,ACC_Accounts_Receivable,3,ACC_Cash,12,0.3449
2,ACC_Accounts_Receivable,4,ACC_Travel_Exp,0,0.1479
2,ACC_Accounts_Receivable,5,ACC_COGS,2,0.867
2,ACC_Accounts_Receivable,6,ACC_Sales_Revenue,12,0.6866
2,ACC_Accounts_Receivable,7,ACC_Payroll_Exp,1,0.0708
2,ACC_Accounts_Receivable,8,ACC_Rent_Exp,1,0.081
3,ACC_Cash,0,ACC_Accounts_Payable,2,0.3198
3,ACC_Cash,1,ACC_Inventory,3,0.505
3,ACC_Cash,2,ACC_Accounts_Receivable,11,0.422
3,ACC_Cash,3,ACC_Cash,0,1.0
3,ACC_Cash,4,ACC_Travel_Exp,7,0.2258
3,ACC_Cash,5,ACC_COGS,12,0.2388
3,ACC_Cash,6,ACC_Sales_Revenue,4,0.4424
3,ACC_Cash,7,ACC_Payroll_Exp,12,0.283
3,ACC_Cash,8,ACC_Rent_Exp,12,0.2695
4,ACC_Travel_Exp,0,ACC_Accounts_Payable,8,0.2483
4,ACC_Travel_Exp,1,ACC_Inventory,8,-0.0281
4,ACC_Travel_Exp,2,ACC_Accounts_Receivable,4,0.2043
4,ACC_Travel_Exp,3,ACC_Cash,4,0.1411
4,ACC_Travel_Exp,4,ACC_Travel_Exp,0,1.0
4,ACC_Travel_Exp,5,ACC_COGS,3,0.2451
4,ACC_Travel_Exp,6,ACC_Sales_Revenue,8,0.0833
4,ACC_Travel_Exp,7,ACC_Payroll_Exp,10,0.1547
4,ACC_Travel_Exp,8,ACC_Rent_Exp,10,0.1646
5,ACC_COGS,0,ACC_Accounts_Payable,8,0.2246
5,ACC_COGS,1,ACC_Inventory,12,0.8036
5,ACC_COGS,2,ACC_Accounts_Receivable,0,0.775
5,ACC_COGS,3,ACC_Cash,12,0.3716
5,ACC_COGS,4,ACC_Travel_Exp,0,0.1817
5,ACC_COGS,5,ACC_COGS,0,1.0
5,ACC_COGS,6,ACC_Sales_Revenue,11,0.8094
5,ACC_COGS,7,ACC_Payroll_Exp,6,0.0891
5,ACC_COGS,8,ACC_Rent_Exp,6,0.0916
6,ACC_Sales_Revenue,0,ACC_Accounts_Payable,0,0.1442
6,ACC_Sales_Revenue,1,ACC_Inventory,0,0.8945
6,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,11,0.8059
6,ACC_Sales_Revenue,3,ACC_Cash,1,0.3214
6,ACC_Sales_Revenue,4,ACC_Travel_Exp,10,0.3308
6,ACC_Sales_Revenue,5,ACC_COGS,12,0.806
6,ACC_Sales_Revenue,6,ACC_Sales_Revenue,0,1.0
6,ACC_Sales_Revenue,7,ACC_Payroll_Exp,7,0.0984
6,ACC_Sales_Revenue,8,ACC_Rent_Exp,11,0.0752
7,ACC_Payroll_Exp,0,ACC_Accounts_Payable,3,0.1362
7,ACC_Payroll_Exp,1,ACC_Inventory,6,0.1431
7,ACC_Payroll_Exp,2,ACC_Accounts_Receivable,12,0.1318
7,ACC_Payroll_Exp,3,ACC_Cash,2,0.3536
7,ACC_Payroll_Exp,4,ACC_Travel_Exp,8,0.2122
7,ACC_Payroll_Exp,5,ACC_COGS,11,0.0528
7,ACC_Payroll_Exp,6,ACC_Sales_Revenue,9,0.1452
7,ACC_Payroll_Exp,7,ACC_Payroll_Exp,0,1.0
7,ACC_Payroll_Exp,8,ACC_Rent_Exp,0,0.9525
8,ACC_Rent_Exp,0,ACC_Accounts_Payable,9,0.1637
8,ACC_Rent_Exp,1,ACC_Inventory,6,0.1217
8,ACC_Rent_Exp,2,ACC_Accounts_Receivable,12,0.0904
8,ACC_Rent_Exp,3,ACC_Cash,2,0.3262
8,ACC_Rent_Exp,4,ACC_Travel_Exp,10,0.2235
8,ACC_Rent_Exp,5,ACC_COGS,7,0.0647
8,ACC_Rent_Exp,6,ACC_Sales_Revenue,9,0.1269
8,ACC_Rent_Exp,7,ACC_Payroll_Exp,0,0.9525
8,ACC_Rent_Exp,8,ACC_Rent_Exp,0,1.0
