t_idx,time_label,node_idx,node_label,account_category,curvature,density
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,217201.07
0,2020-01,2,02_ACC_COGS,Expense,0.0,52213.24
0,2020-01,3,03_ACC_Cash,Asset,0.0,112548.91
0,2020-01,4,04_ACC_Inventory,Asset,0.0,108166.1
0,2020-01,5,05_ACC_Payroll_Exp,Expense,0.0,18973.66
0,2020-01,6,06_ACC_Rent_Exp,Expense,0.0,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,136333.87
0,2020-01,8,08_ACC_Travel_Exp,Expense,0.0,6024.7
0,2020-01,9,09_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,78059.11
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,297572.17
1,2020-02,2,02_ACC_COGS,Expense,0.0,64779.79
1,2020-02,3,03_ACC_Cash,Asset,0.0,197062.12
1,2020-02,4,04_ACC_Inventory,Asset,0.0,107271.4
1,2020-02,5,05_ACC_Payroll_Exp,Expense,0.0,18245.21
1,2020-02,6,06_ACC_Rent_Exp,Expense,0.0,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,168987.27
1,2020-02,8,08_ACC_Travel_Exp,Expense,0.0,9295.75
1,2020-02,9,09_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,58267.23,75331.51
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,123132.62,166448.21
2,2020-03,2,02_ACC_COGS,Expense,22259.36,55086.98
2,2020-03,3,03_ACC_Cash,Asset,73489.3,119723.59
2,2020-03,4,04_ACC_Inventory,Asset,38976.05,100834.03
2,2020-03,5,05_ACC_Payroll_Exp,Expense,2734.72,14782.04
2,2020-03,6,06_ACC_Rent_Exp,Expense,1749.44,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,101181.9,100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,9002.76,3564.04
2,2020-03,9,09_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,10113.75,103884.44
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,20867.58,158122.63
3,2020-04,2,02_ACC_COGS,Expense,18392.75,27001.42
3,2020-04,3,03_ACC_Cash,Asset,37990.28,182306.14
3,2020-04,4,04_ACC_Inventory,Asset,28976.14,86587.3
3,2020-04,5,05_ACC_Payroll_Exp,Expense,7515.14,18834.01
3,2020-04,6,06_ACC_Rent_Exp,Expense,933.15,5305.31
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,18550.21,50480.48
3,2020-04,8,08_ACC_Travel_Exp,Expense,8393.78,6226.11
3,2020-04,9,09_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,41341.38,123227.93
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,128397.51,292736.28
4,2020-05,2,02_ACC_COGS,Expense,26861.31,25777.17
4,2020-05,3,03_ACC_Cash,Asset,45644.36,305074.77
4,2020-05,4,04_ACC_Inventory,Asset,52136.72,73926.47
4,2020-05,5,05_ACC_Payroll_Exp,Expense,7145.93,15740.05
4,2020-05,6,06_ACC_Rent_Exp,Expense,134.28,4672.73
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,90728.89,91231.08
4,2020-05,8,08_ACC_Travel_Exp,Expense,810.02,8078.16
4,2020-05,9,09_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,100661.65,75749.19
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,18934.88,112322.87
5,2020-06,2,02_ACC_COGS,Expense,5848.32,30401.24
5,2020-06,3,03_ACC_Cash,Asset,19295.46,112455.76
5,2020-06,4,04_ACC_Inventory,Asset,11071.39,84033.67
5,2020-06,5,05_ACC_Payroll_Exp,Expense,5420.59,18066.68
5,2020-06,6,06_ACC_Rent_Exp,Expense,1183.97,5224.12
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,77102.01,54879.67
5,2020-06,8,08_ACC_Travel_Exp,Expense,325.21,9605.0
5,2020-06,9,09_ACC_Equity_Capital,Equity,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,73300.98,110875.41
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,48408.01,159659.81
6,2020-07,2,02_ACC_COGS,Expense,27932.4,62957.71
6,2020-07,3,03_ACC_Cash,Asset,32204.61,131383.7
6,2020-07,4,04_ACC_Inventory,Asset,23280.41,126725.26
6,2020-07,5,05_ACC_Payroll_Exp,Expense,329.41,20722.72
6,2020-07,6,06_ACC_Rent_Exp,Expense,883.08,6658.59
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,93139.7,111667.96
6,2020-07,8,08_ACC_Travel_Exp,Expense,2229.16,8902.68
6,2020-07,9,09_ACC_Equity_Capital,Equity,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,12854.83,109993.7
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,72862.1,191400.79
7,2020-08,2,02_ACC_COGS,Expense,27206.47,68307.71
7,2020-08,3,03_ACC_Cash,Asset,47039.09,160538.69
7,2020-08,4,04_ACC_Inventory,Asset,2775.09,117779.0
7,2020-08,5,05_ACC_Payroll_Exp,Expense,4501.97,18876.79
7,2020-08,6,06_ACC_Rent_Exp,Expense,3149.36,4943.7
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,44229.03,124227.22
7,2020-08,8,08_ACC_Travel_Exp,Expense,821.86,9022.22
7,2020-08,9,09_ACC_Equity_Capital,Equity,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,34221.98,127515.09
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,54808.72,194592.89
8,2020-09,2,02_ACC_COGS,Expense,20441.14,53216.57
8,2020-09,3,03_ACC_Cash,Asset,18449.03,197504.49
8,2020-09,4,04_ACC_Inventory,Asset,46753.68,114704.14
8,2020-09,5,05_ACC_Payroll_Exp,Expense,4139.66,21170.52
8,2020-09,6,06_ACC_Rent_Exp,Expense,127.43,3356.24
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,41678.8,95107.68
