t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,0.0,0.0,0.0,0
2,2020-W03,0.0,0.0,0.7072,1.6871,0
3,2020-W04,0.0,-0.1917,0.5775,4.2471,1
4,2020-W05,0.0,0.395,0.8662,3.206,1
5,2020-W06,0.0,2.6288,0.7304,11.6508,1
6,2020-W07,0.0,1.836,0.7596,4.0615,1
7,2020-W08,0.0,0.8177,0.8071,5.2756,1
8,2020-W09,0.0,3.6335,2.0264,32.1945,1
9,2020-W10,0.0,3.4152,0.921,17.531,1
10,2020-W11,0.0,1.3828,0.7594,36.4164,1
11,2020-W12,0.0,1.2257,7.7123,5.0317,1
12,2020-W13,0.0,2.8363,0.9242,16.755,1
13,2020-W14,0.0,1.104,0.7239,5.9413,1
14,2020-W15,0.0,2.4291,0.8318,20.4181,1
15,2020-W16,0.0,1.152,0.743,11.6328,1
16,2020-W17,0.0,0.9363,2.5396,11.8383,1
17,2020-W18,0.0,1.2861,1.4506,6.9985,1
18,2020-W19,0.0,1.304,1.5446,3.9179,1
19,2020-W20,0.0,1.304,1.211,4.038,1
20,2020-W21,0.0,0.9283,1.0944,3.2121,1
21,2020-W22,0.0,1.6949,1.5506,8.2283,1
22,2020-W23,0.0,0.6787,0.8616,1.8353,0
23,2020-W24,0.0,1.3049,1.1248,4.4716,1
24,2020-W25,0.0,0.3868,1.1119,3.9269,1
25,2020-W26,0.0,1.508,1.5419,7.4271,1
26,2020-W27,0.0,0.5203,1.5759,8.8031,1
27,2020-W28,0.0,1.5001,1.6334,7.7358,1
28,2020-W29,0.0,0.7936,1.7834,5.4903,1
29,2020-W30,0.0,2.6528,2.1674,15.5097,1
30,2020-W31,0.0,0.8843,2.8052,4.8121,1
31,2020-W32,0.0,0.5963,1.0055,6.4755,1
32,2020-W33,0.0,0.9037,1.127,4.7451,1
33,2020-W34,0.0,1.9423,3.3969,8.5035,1
34,2020-W35,0.0,2.3257,1.2372,8.7974,1
35,2020-W36,0.0,0.7582,0.4645,8.5072,1
36,2020-W37,0.0,0.5371,0.6372,2.0215,0
37,2020-W38,0.0,0.3479,1.112,4.6762,1
38,2020-W39,0.0,0.8435,1.2449,14.2046,1
39,2020-W40,0.0,2.0204,1.3007,6.6549,1
40,2020-W41,0.0,-0.2008,1.0438,52.5232,1
41,2020-W42,0.0,2.0396,1.1171,4.0603,1
42,2020-W43,0.0,0.9989,1.5166,62.2366,1
43,2020-W44,0.0,0.6532,1.2965,4.1585,1
44,2020-W45,0.0,1.6802,0.8194,3.7479,1
45,2020-W46,0.0,0.6562,0.9517,4.0185,1
46,2020-W47,0.0,0.4307,0.3719,3.6509,1
47,2020-W48,0.0,2.8586,1.1675,9.1529,1
48,2020-W49,0.0,0.4434,0.2004,3.5668,1
49,2020-W50,0.0,0.6201,0.2188,4.7707,1
50,2020-W51,0.0,0.8369,0.7498,3.9359,1
51,2020-W52,0.0,2.8942,1.3692,285.7591,1
