t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,136333.87
0,2020-01,2,02_ACC_COGS,Expense,-0.0,52213.24
0,2020-01,3,03_ACC_Cash,Asset,0.0,31681.71
0,2020-01,4,04_ACC_Inventory,Asset,0.0,3739.62
0,2020-01,5,05_ACC_Payroll_Exp,Expense,12870.3637,18973.66
0,2020-01,6,06_ACC_Rent_Exp,Expense,4533.503,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,146333.87
0,2020-01,8,08_ACC_Travel_Exp,Expense,4086.7223,6024.7
0,2020-01,9,09_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,6924.11
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,146967.91
1,2020-02,2,02_ACC_COGS,Expense,3008.7019,64779.79
1,2020-02,3,03_ACC_Cash,Asset,0.0,46457.86
1,2020-02,4,04_ACC_Inventory,Asset,0.0,22288.18
1,2020-02,5,05_ACC_Payroll_Exp,Expense,11891.278,18245.21
1,2020-02,6,06_ACC_Rent_Exp,Expense,3499.0783,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,178987.27
1,2020-02,8,08_ACC_Travel_Exp,Expense,6058.4859,9295.75
1,2020-02,9,09_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,0.0,16162.59
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,0.0,34469.33
2,2020-03,2,02_ACC_COGS,Expense,-0.0,55086.98
2,2020-03,3,03_ACC_Cash,Asset,0.0,12255.29
2,2020-03,4,04_ACC_Inventory,Asset,0.0,9339.93
2,2020-03,5,05_ACC_Payroll_Exp,Expense,3085.7788,14782.04
2,2020-03,6,06_ACC_Rent_Exp,Expense,1211.5146,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,0.0,110458.77
