t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-01,0,00_ACC_Accounts_Payable,25.725,8.5,4,49.99,0.0,0
0,2020-01,1,01_ACC_Accounts_Receivable,33.4899,13.3381,3,10.4148,2.7783,7
0,2020-01,2,02_ACC_COGS,10.0,0.0,0,22.2746,3.7869,4
0,2020-01,3,03_ACC_Cash,29.03,7.4784,1,9.4837,2.5299,1
0,2020-01,4,04_ACC_Inventory,18.5,8.5,2,29.0242,4.9344,0
0,2020-01,5,05_ACC_Payroll_Exp,10.0,0.0,0,40.1209,2.8161,3
0,2020-01,6,06_ACC_Rent_Exp,10.0,0.0,0,48.5095,1.1994,3
0,2020-01,7,07_ACC_Sales_Revenue,37.2808,13.3381,1,49.99,0.0,0
0,2020-01,8,08_ACC_Travel_Exp,10.0,0.0,0,48.7802,1.0872,3
0,2020-01,9,09_ACC_Equity_Capital,10.0,0.0,0,49.99,0.0,0
1,2020-02,0,00_ACC_Accounts_Payable,25.725,8.5,4,39.7853,2.7981,3
1,2020-02,1,01_ACC_Accounts_Receivable,35.4324,12.0371,3,13.3976,3.2254,7
1,2020-02,2,02_ACC_COGS,10.0,0.0,0,21.3629,3.6318,4
1,2020-02,3,03_ACC_Cash,31.3374,5.2675,1,11.471,2.7616,1
1,2020-02,4,04_ACC_Inventory,18.5,8.5,2,26.6119,4.5243,0
1,2020-02,5,05_ACC_Payroll_Exp,10.0,0.0,0,46.8293,1.6895,3
1,2020-02,6,06_ACC_Rent_Exp,10.0,0.0,0,49.6995,0.5276,3
1,2020-02,7,07_ACC_Sales_Revenue,38.9132,12.0371,1,49.99,0.0,0
1,2020-02,8,08_ACC_Travel_Exp,10.0,0.0,0,49.1292,0.9031,3
1,2020-02,9,09_ACC_Equity_Capital,10.0,0.0,0,49.99,0.0,0
2,2020-03,0,00_ACC_Accounts_Payable,25.725,8.5,4,0.0,31.863,1
2,2020-03,1,01_ACC_Accounts_Receivable,31.9802,8.5,3,0.0,-27.2522,7
2,2020-03,2,02_ACC_COGS,10.0,0.0,0,0.0,72.2173,1
2,2020-03,3,03_ACC_Cash,25.8591,4.6799,0,0.0,-29.3659,1
2,2020-03,4,04_ACC_Inventory,18.5,8.5,2,0.0,-200.9216,1
2,2020-03,5,05_ACC_Payroll_Exp,10.0,0.0,0,0.0,-174.1621,1
2,2020-03,6,06_ACC_Rent_Exp,10.0,0.0,0,0.0,-219.9214,1
2,2020-03,7,07_ACC_Sales_Revenue,37.1832,8.5,1,0.0,-12.1694,1
2,2020-03,8,08_ACC_Travel_Exp,10.0,0.0,0,0.0,185.4728,1
2,2020-03,9,09_ACC_Equity_Capital,10.0,0.0,0,0.0,0.0,0
