t_idx,src_idx,tgt_idx,value
0,0,1,11648.77
0,2,3,1105.0
0,1,4,5909.04
0,5,6,11688.16
1,0,1,10413.43
1,2,3,1185.15
1,1,4,10262.83
1,5,6,18504.48
2,0,1,13505.3
2,2,3,2346.2799999999997
2,1,4,13310.79
2,5,6,23979.2
3,0,1,10796.58
3,2,7,18973.66
3,2,8,6683.35
3,2,3,1998.01
3,1,4,12662.56
3,5,6,24510.13
4,0,1,14045.83
4,2,3,2625.2799999999997
4,1,4,15342.42
4,5,6,28322.86
5,0,1,13165.57
5,6,2,2521.24
5,2,0,11648.77
5,2,3,1907.0
5,1,4,18129.69
5,5,6,32328.84
6,0,1,12324.69
6,6,2,4410.139999999999
6,2,3,2525.57
6,1,4,17107.75
6,5,6,29332.4
7,0,1,14161.91
7,6,2,7412.2
7,2,0,10413.43
7,1,4,13770.08
7,5,6,25599.6
8,0,1,13958.22
8,6,2,15113.26
8,2,7,19177.27
8,2,8,5656.52
8,2,3,1230.6599999999999
8,1,4,15368.3
8,5,6,27524.06
9,0,1,12466.36
9,6,2,7893.679999999999
9,2,0,27211.4
9,2,3,1922.21
9,1,4,12392.79
9,5,6,22880.89
10,0,1,11134.64
10,6,2,18133.8
10,2,0,13505.3
10,2,3,3317.33
10,1,4,14539.85
10,5,6,25180.38
11,0,1,12968.06
11,6,2,18869.8
11,2,3,1379.87
11,1,4,13363.09
11,5,6,23532.66
12,0,1,11839.45
12,6,2,16623.62
12,2,7,15342.08
12,2,8,7357.67
12,2,3,1496.71
12,1,4,9160.95
12,5,6,16698.62
13,0,1,11473.82
13,6,2,23180.69
13,2,0,24791.050000000003
13,2,3,1390.24
13,1,4,9420.039999999999
13,5,6,17461.96
14,0,1,10757.12
14,6,2,30832.68
14,2,3,214.17
14,1,4,7207.68
14,5,6,12854.66
15,0,1,12072.13
15,6,2,22849.75
15,2,0,10796.58
15,2,3,2035.8899999999999
15,1,4,4490.45
15,5,6,8689.3
16,0,1,12556.72
16,6,2,32810.19
16,2,0,13958.22
