t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-W01,28012.13,0.0,0.0,-11688.16,8558.12,0.0,28012.13
1,2020-W02,36432.89,0.0,10933.44,-18504.48,10986.12,0.0,36432.89
2,2020-W03,48055.77,0.0,16152.6497,-23979.2,15073.04,0.0,48055.77
3,2020-W04,72614.32,1.1449,38988.9589,-24510.13,40906.47,0.0,27976.9121
4,2020-W05,49737.62,0.0,37759.8224,-25700.15,15383.37,0.0,49737.62
5,2020-W06,56899.19,0.0,37736.7174,-28680.31,17323.81,0.0,56899.19
6,2020-W07,57808.99,0.0,36811.6032,-29263.4,17699.6,0.0,57808.99
7,2020-W08,60948.37,0.0,36143.9774,-29456.95,18763.45,0.0,60948.37
8,2020-W09,99457.96,1.6181,44555.6664,-26456.49,40041.67,0.0,27361.1699
9,2020-W10,59082.88,0.8276,43132.046,-23176.59,15518.34,0.0,23386.2581
10,2020-W11,66226.67,0.0,44851.8265,-25519.06,14669.12,0.0,66226.67
11,2020-W12,63062.37,0.0,44775.6241,-24654.39,15534.14,0.0,63062.37
12,2020-W13,76587.65,1.176,48509.5032,-15416.69,32536.36,0.0,19538.2737
13,2020-W14,76358.07,0.0624,49807.9359,-19331.7,10047.58,0.0,73248.4659
14,2020-W15,60818.36,0.0,58096.6599,-12240.17,7842.28,0.0,60818.36
15,2020-W16,65068.6,0.5879,63168.8994,-11695.98,7286.68,0.0,27929.0136
16,2020-W17,97875.8,1.5812,65102.49,-11033.68,32577.22,0.0,-5065.0012
17,2020-W18,64511.53,0.3635,67269.6854,-10589.43,6636.35,0.0,40060.5527
18,2020-W19,63875.0,0.7308,66321.362,-12012.73,8941.15,0.0,15407.4894
19,2020-W20,56620.05,0.7363,64059.5929,-10502.53,8087.19,0.0,9455.8611
20,2020-W21,38759.29,0.0,60361.6379,-10172.71,9304.48,0.0,38759.29
21,2020-W22,99344.08,1.5136,61600.7982,-9672.41,30188.52,0.0,6104.1865
22,2020-W23,46828.25,0.0,58353.1642,-10976.12,8534.6,0.0,46828.25
23,2020-W24,54032.11,0.767,54456.8023,-10561.84,8261.09,0.0,12265.119
24,2020-W25,42684.13,0.0,49508.0685,-14489.68,9064.82,0.0,42684.13
25,2020-W26,92010.75,1.5218,54076.7574,-17425.65,36379.94,0.0,9719.1785
26,2020-W27,47729.37,0.0,56493.1165,-19620.4,11326.37,0.0,47729.37
27,2020-W28,57960.36,0.7074,58428.8499,-22283.0,14256.45,0.0,16628.4739
28,2020-W29,75266.2,0.3907,61676.8206,-27183.66,16600.72,0.0,51170.7922
29,2020-W30,105677.11,1.6302,66885.7799,-29246.79,43313.43,0.0,-3356.9121
30,2020-W31,70016.41,0.3658,65353.683,-24504.17,13712.13,0.0,46111.2439
31,2020-W32,69839.96,0.8393,64533.7976,-26321.46,16853.84,0.0,15676.6639
32,2020-W33,87575.08,0.7969,64110.2957,-31679.76,19630.06,0.0,36485.4367
33,2020-W34,68609.81,0.0,63658.6491,-25332.28,17082.61,0.0,68609.81
34,2020-W35,95943.64,1.0423,55597.274,-29751.81,38839.38,0.0,37997.0404
35,2020-W36,71994.89,0.0,53424.6374,-23451.57,16017.67,0.0,71994.89
36,2020-W37,80410.04,0.7999,50609.1495,-23008.57,15538.33,0.0,39927.0061
37,2020-W38,78913.45,0.5476,48335.7119,-22589.14,14120.16,0.0,52442.8462
38,2020-W39,94443.14,1.5958,46929.4174,-17033.84,35494.88,0.0,19555.2791
39,2020-W40,56403.29,0.0,49095.0618,-17352.01,10266.07,0.0,56403.29
40,2020-W41,75081.38,0.7839,54705.5616,-13873.55,9792.05,0.0,32199.3562
41,2020-W42,52477.76,0.0,56602.6657,-12308.38,9121.95,0.0,52477.76
42,2020-W43,95448.67,1.395,55721.886,-9417.12,27340.43,0.0,17716.8332
43,2020-W44,63693.98,0.8874,56259.1683,-13967.91,10570.5,0.0,13768.2433
44,2020-W45,60268.98,0.6014,56664.6642,-9234.1,7536.49,0.0,26190.6876
45,2020-W46,63135.67,0.5702,54523.465,-12838.2,7862.82,0.0,32044.9057
46,2020-W47,78339.24,0.3646,53843.5858,-11753.9,8023.32,0.0,58707.1469
47,2020-W48,77741.63,1.6659,53926.0073,-11562.52,33675.34,0.0,-12094.9443
48,2020-W49,58057.4,0.0,52316.9254,-17763.03,11097.58,0.0,58057.4
49,2020-W50,40353.86,0.0,51187.1455,-12428.02,7987.59,0.0,40353.86
50,2020-W51,50565.88,0.0,48834.2989,-13314.08,7088.38,0.0,50565.88
51,2020-W52,51596.35,0.9552,48509.1713,-10016.47,27764.09,0.0,5258.9666
