t_idx,time_label,node_idx,node_label,account_category,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-01,0,00_ACC_Accounts_Payable,Liability,55952.86,-0.0,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,95968.3,-0.0,0.0,0.0
0,2020-01,2,02_ACC_COGS,Expense,51203.21,-0.0,0.0,0.0
0,2020-01,3,03_ACC_Cash,Asset,465669.02,1.4339,0.0,0.0
0,2020-01,4,04_ACC_Inventory,Asset,504749.65,-0.0,0.0,0.0
0,2020-01,5,05_ACC_Payroll_Exp,Expense,18973.66,-0.0,0.0,0.0
0,2020-01,6,06_ACC_Rent_Exp,Expense,6683.35,-0.0,0.0,0.0
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,95968.3,-0.0,0.0,0.0
0,2020-01,8,08_ACC_Travel_Exp,Expense,8673.97,-0.0,0.0,0.0
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,-0.0,0.0,0.0
0,2020-01,10,10_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,74525.74,-0.0,9286.44,9116.115
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,192549.69,0.1161,48290.695,-68828.67
1,2020-02,2,02_ACC_COGS,Expense,113539.49,-0.0,31168.14,-21245.805
1,2020-02,3,03_ACC_Cash,Asset,430135.7,1.7671,17766.66,-15770.11
1,2020-02,4,04_ACC_Inventory,Asset,484904.98,-0.0,9922.335,20609.91
1,2020-02,5,05_ACC_Payroll_Exp,Expense,37218.87,-0.0,9122.605,8644.055
1,2020-02,6,06_ACC_Rent_Exp,Expense,12052.11,-0.0,2684.38,15082.28
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,212214.51,-0.0,58123.105,-9832.41
1,2020-02,8,08_ACC_Travel_Exp,Expense,16032.11,-0.0,3679.07,14087.59
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,307.3,-0.0,153.65,48137.045
1,2020-02,10,10_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,97827.44,-0.0,17131.5224,-7284.5797
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,218163.73,0.0439,52615.7634,-54357.9533
2,2020-03,2,02_ACC_COGS,Expense,169023.45,-0.0,48127.0201,-35817.637
2,2020-03,3,03_ACC_Cash,Asset,452523.64,1.8307,14669.082,21189.3577
2,2020-03,4,04_ACC_Inventory,Asset,475168.07,-0.0,12309.3831,40639.7762
2,2020-03,5,05_ACC_Payroll_Exp,Expense,52000.91,-0.0,13508.0044,1161.0776
2,2020-03,6,06_ACC_Rent_Exp,Expense,17855.72,-0.0,4562.2524,10106.8296
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,312673.28,-0.0,88547.6608,-35931.8974
2,2020-03,8,08_ACC_Travel_Exp,Expense,25098.17,-0.0,6717.2251,7951.8569
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,667.03,-0.0,272.5941,52343.1693
2,2020-03,10,10_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,117301.58,-0.0,23203.0192,-8591.346
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,155098.64,-0.0,45956.4678,34110.8378
3,2020-04,2,02_ACC_COGS,Expense,194394.84,-0.0,55074.3977,-41032.195
3,2020-04,3,03_ACC_Cash,Asset,495846.51,1.5546,23772.4896,-15910.5162
3,2020-04,4,04_ACC_Inventory,Asset,509382.56,-0.0,14042.2027,50193.0114
3,2020-04,5,05_ACC_Payroll_Exp,Expense,70834.92,-0.0,19066.5687,4705.9209
3,2020-04,6,06_ACC_Rent_Exp,Expense,23161.03,-0.0,6176.5468,17595.9429
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,363153.76,-0.0,102251.2837,-56294.8159
3,2020-04,8,08_ACC_Travel_Exp,Expense,31069.81,-0.0,8549.3295,15223.1601
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,667.03,-0.0,278.7363,0.0
3,2020-04,10,10_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,78403.61,-0.0,17061.2114,12796.4089
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,100337.86,-0.0,44314.6181,9424.4444
4,2020-05,2,02_ACC_COGS,Expense,220707.27,-0.0,39613.9647,-17779.0403
4,2020-05,3,03_ACC_Cash,Asset,478989.01,1.1654,25083.9073,-30535.0619
4,2020-05,4,04_ACC_Inventory,Asset,531219.43,-0.0,21834.9244,13005.3272
4,2020-05,5,05_ACC_Payroll_Exp,Expense,88989.92,-0.0,19495.6725,5588.2348
4,2020-05,6,06_ACC_Rent_Exp,Expense,27866.14,-0.0,5903.7404,19180.1669
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,408505.14,-0.0,72969.7733,-28655.1552
4,2020-05,8,08_ACC_Travel_Exp,Expense,38132.09,-0.0,8109.2321,16974.6752
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,667.03,-0.0,155.7677,0.0
4,2020-05,10,10_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,110724.54,-0.0,14840.4315,15843.4699
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,96064.58,-0.0,49541.8812,-27087.2252
5,2020-06,2,02_ACC_COGS,Expense,251173.0,-0.0,30524.3114,-1340.8898
5,2020-06,3,03_ACC_Cash,Asset,488130.39,1.7426,16340.9114,15795.8607
5,2020-06,4,04_ACC_Inventory,Asset,554386.13,-0.0,29183.4216,-13002.1002
5,2020-06,5,05_ACC_Payroll_Exp,Expense,107056.6,-0.0,20497.0346,-4156.1232
5,2020-06,6,06_ACC_Rent_Exp,Expense,33090.26,-0.0,5637.2928,10703.6185
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,463384.81,-0.0,55655.6257,-6113.7445
5,2020-06,8,08_ACC_Travel_Exp,Expense,43541.36,-0.0,6983.7775,9357.1339
