src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,ACC_Accounts_Payable,0,ACC_Accounts_Payable,0,1.0
0,ACC_Accounts_Payable,1,ACC_Inventory,8,0.93
0,ACC_Accounts_Payable,2,ACC_Cash,5,0.3958
0,ACC_Accounts_Payable,3,ACC_Payroll_Exp,2,0.5818
0,ACC_Accounts_Payable,4,ACC_Rent_Exp,8,0.2527
0,ACC_Accounts_Payable,5,ACC_Travel_Exp,5,0.5983
0,ACC_Accounts_Payable,6,ACC_COGS,10,1.0
0,ACC_Accounts_Payable,7,ACC_Sales_Revenue,8,0.9387
0,ACC_Accounts_Payable,8,ACC_Accounts_Receivable,10,1.0
0,ACC_Accounts_Payable,9,UNKNOWN_LEAK,9,0.5972
0,ACC_Accounts_Payable,10,ACC_Equity_Capital,0,0.0
1,ACC_Inventory,0,ACC_Accounts_Payable,10,1.0
1,ACC_Inventory,1,ACC_Inventory,0,1.0
1,ACC_Inventory,2,ACC_Cash,10,1.0
1,ACC_Inventory,3,ACC_Payroll_Exp,10,1.0
1,ACC_Inventory,4,ACC_Rent_Exp,10,1.0
1,ACC_Inventory,5,ACC_Travel_Exp,10,1.0
1,ACC_Inventory,6,ACC_COGS,3,0.8359
1,ACC_Inventory,7,ACC_Sales_Revenue,10,1.0
1,ACC_Inventory,8,ACC_Accounts_Receivable,8,0.9352
1,ACC_Inventory,9,UNKNOWN_LEAK,10,1.0
1,ACC_Inventory,10,ACC_Equity_Capital,0,0.0
2,ACC_Cash,0,ACC_Accounts_Payable,10,1.0
2,ACC_Cash,1,ACC_Inventory,10,1.0
2,ACC_Cash,2,ACC_Cash,0,1.0
2,ACC_Cash,3,ACC_Payroll_Exp,10,1.0
2,ACC_Cash,4,ACC_Rent_Exp,10,1.0
2,ACC_Cash,5,ACC_Travel_Exp,10,1.0
2,ACC_Cash,6,ACC_COGS,4,0.8216
2,ACC_Cash,7,ACC_Sales_Revenue,10,1.0
2,ACC_Cash,8,ACC_Accounts_Receivable,9,0.913
2,ACC_Cash,9,UNKNOWN_LEAK,10,1.0
2,ACC_Cash,10,ACC_Equity_Capital,0,0.0
3,ACC_Payroll_Exp,0,ACC_Accounts_Payable,10,1.0
3,ACC_Payroll_Exp,1,ACC_Inventory,10,1.0
3,ACC_Payroll_Exp,2,ACC_Cash,10,1.0
3,ACC_Payroll_Exp,3,ACC_Payroll_Exp,0,1.0
3,ACC_Payroll_Exp,4,ACC_Rent_Exp,10,1.0
3,ACC_Payroll_Exp,5,ACC_Travel_Exp,10,1.0
3,ACC_Payroll_Exp,6,ACC_COGS,8,0.6133
3,ACC_Payroll_Exp,7,ACC_Sales_Revenue,10,1.0
3,ACC_Payroll_Exp,8,ACC_Accounts_Receivable,7,0.7149
3,ACC_Payroll_Exp,9,UNKNOWN_LEAK,10,1.0
3,ACC_Payroll_Exp,10,ACC_Equity_Capital,0,0.0
4,ACC_Rent_Exp,0,ACC_Accounts_Payable,10,1.0
4,ACC_Rent_Exp,1,ACC_Inventory,10,1.0
4,ACC_Rent_Exp,2,ACC_Cash,10,1.0
4,ACC_Rent_Exp,3,ACC_Payroll_Exp,10,1.0
4,ACC_Rent_Exp,4,ACC_Rent_Exp,10,1.0
4,ACC_Rent_Exp,5,ACC_Travel_Exp,10,1.0
4,ACC_Rent_Exp,6,ACC_COGS,8,0.8373
4,ACC_Rent_Exp,7,ACC_Sales_Revenue,10,1.0
4,ACC_Rent_Exp,8,ACC_Accounts_Receivable,6,0.6086
4,ACC_Rent_Exp,9,UNKNOWN_LEAK,10,1.0
4,ACC_Rent_Exp,10,ACC_Equity_Capital,0,0.0
5,ACC_Travel_Exp,0,ACC_Accounts_Payable,10,1.0
5,ACC_Travel_Exp,1,ACC_Inventory,10,1.0
5,ACC_Travel_Exp,2,ACC_Cash,10,1.0
5,ACC_Travel_Exp,3,ACC_Payroll_Exp,10,1.0
5,ACC_Travel_Exp,4,ACC_Rent_Exp,10,1.0
5,ACC_Travel_Exp,5,ACC_Travel_Exp,0,1.0
5,ACC_Travel_Exp,6,ACC_COGS,9,0.9867
5,ACC_Travel_Exp,7,ACC_Sales_Revenue,10,1.0
5,ACC_Travel_Exp,8,ACC_Accounts_Receivable,6,0.4242
