t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-W01,0,11688.16,0.441595,4
0,2020-W01,1,7765.85,0.293405,4
0,2020-W01,2,5909.04,0.223252,4
0,2020-W01,3,1105.0,0.041748,4
0,2020-W01,4,0.0,0.0,4
1,2020-W02,0,18504.48,0.501548,4
1,2020-W02,1,10262.83,0.278165,4
1,2020-W02,2,6942.29,0.188165,4
1,2020-W02,3,1185.15,0.032122,4
1,2020-W02,4,0.0,0.0,4
2,2020-W03,0,23979.2,0.492995,4
2,2020-W03,1,13310.79,0.27366,4
2,2020-W03,2,9003.53,0.185106,4
2,2020-W03,3,2346.28,0.048238,4
2,2020-W03,4,0.0,0.0,4
3,2020-W04,0,24510.13,0.379498,4
3,2020-W04,1,20215.315604,0.313,4
3,2020-W04,2,12662.56,0.196058,4
3,2020-W04,3,7197.72,0.111444,4
3,2020-W04,4,0.0,0.0,4
4,2020-W05,0,28322.86,0.508906,4
4,2020-W05,1,15342.42,0.275673,4
4,2020-W05,2,9363.89,0.168251,4
4,2020-W05,3,2625.28,0.047171,4
4,2020-W05,4,0.0,0.0,4
5,2020-W06,0,32328.84,0.463473,5
5,2020-W06,1,18129.69,0.259911,5
5,2020-W06,2,8777.05,0.12583,5
5,2020-W06,3,7996.566465,0.114641,5
5,2020-W06,4,2521.24,0.036145,5
6,2020-W07,0,29332.4,0.476235,5
6,2020-W07,1,17107.75,0.277758,5
6,2020-W07,2,8216.46,0.133401,5
6,2020-W07,3,4410.14,0.071602,5
6,2020-W07,4,2525.57,0.041005,5
7,2020-W08,0,25599.6,0.405279,5
7,2020-W08,1,13770.08,0.218,5
7,2020-W08,2,9441.27,0.149469,5
7,2020-W08,3,7412.2,0.117346,5
7,2020-W08,4,6942.29,0.109906,5
8,2020-W09,0,27524.06,0.315126,5
8,2020-W09,1,20031.935184,0.229348,5
8,2020-W09,2,15368.3,0.175953,5
8,2020-W09,3,15113.26,0.173033,5
8,2020-W09,4,9305.48,0.106539,5
9,2020-W10,0,22880.89,0.328179,5
9,2020-W10,1,18242.49422,0.261651,5
9,2020-W10,2,12392.79,0.177749,5
9,2020-W10,3,8310.91,0.119203,5
9,2020-W10,4,7893.68,0.113218,5
10,2020-W11,0,25180.38,0.336311,5
10,2020-W11,1,18133.8,0.242196,5
10,2020-W11,2,14539.85,0.194195,5
10,2020-W11,3,9595.219163,0.128154,5
10,2020-W11,4,7423.1,0.099143,5
11,2020-W12,0,23532.66,0.357689,5
11,2020-W12,1,18869.8,0.286815,5
11,2020-W12,2,13363.09,0.203115,5
11,2020-W12,3,8645.38,0.131407,5
11,2020-W12,4,1379.87,0.020974,5
12,2020-W13,0,17080.833334,0.253211,5
12,2020-W13,1,16698.62,0.247545,5
12,2020-W13,2,16623.62,0.246433,5
12,2020-W13,3,9160.95,0.135804,5
12,2020-W13,4,7892.97,0.117007,5
13,2020-W14,0,23180.69,0.311998,5
13,2020-W14,1,17461.96,0.235027,5
13,2020-W14,2,16585.738644,0.223234,5
13,2020-W14,3,9420.04,0.126788,5
13,2020-W14,4,7649.21,0.102954,5
14,2020-W15,0,30832.68,0.529038,5
14,2020-W15,1,12854.66,0.220565,5
14,2020-W15,2,7207.68,0.123672,5
14,2020-W15,3,7171.42,0.12305,5
14,2020-W15,4,214.17,0.003675,5
15,2020-W16,0,22849.75,0.443188,5
15,2020-W16,1,8689.3,0.168535,5
15,2020-W16,2,8048.08,0.156099,5
15,2020-W16,3,7480.108374,0.145082,5
15,2020-W16,4,4490.45,0.087096,5
16,2020-W17,0,32810.19,0.405071,5
16,2020-W17,1,21776.655196,0.268852,5
16,2020-W17,2,11801.73,0.145703,5
16,2020-W17,3,8371.15,0.103349,5
16,2020-W17,4,6238.98,0.077026,5
17,2020-W18,0,32800.01,0.447954,5
17,2020-W18,1,15402.973634,0.21036,5
17,2020-W18,2,11093.59,0.151507,5
17,2020-W18,3,7780.9,0.106265,5
17,2020-W18,4,6144.4,0.083915,5
18,2020-W19,0,30690.63,0.490024,5
18,2020-W19,1,9500.590593,0.151692,5
18,2020-W19,2,8903.46,0.142158,5
18,2020-W19,3,8333.66,0.13306,5
18,2020-W19,4,5202.58,0.083067,5
19,2020-W20,0,16575.44,0.363281,5
19,2020-W20,1,12670.88,0.277706,5
19,2020-W20,2,7327.3,0.160591,5
19,2020-W20,3,6874.51,0.150668,5
19,2020-W20,4,2178.88,0.047754,5
20,2020-W21,0,14346.43,0.413245,5
20,2020-W21,1,7438.2,0.214255,5
20,2020-W21,2,6987.9,0.201285,5
20,2020-W21,3,3924.65,0.113049,5
20,2020-W21,4,2019.33,0.058166,5
21,2020-W22,0,28254.783517,0.433512,5
21,2020-W22,1,12944.94,0.198614,5
