t_idx,time_label,node_idx,node_label,account_category,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-01,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,49.99,0.0,0
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,10.0,0.0,0,29.0242,4.9344,7
0,2020-01,2,02_ACC_COGS,Expense,10.0,0.0,0,22.2746,3.7869,4
0,2020-01,3,03_ACC_Cash,Asset,18.5,4.6977,5,49.99,0.0,0
0,2020-01,4,04_ACC_Inventory,Asset,18.5,8.5,2,29.0242,4.9344,0
0,2020-01,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,40.954,3.8481,3
0,2020-01,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,48.6579,1.6105,3
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,18.5,8.5,1,49.99,0.0,0
0,2020-01,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,47.7865,2.0527,3
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,49.99,0.0,0
0,2020-01,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,38.3782,2.8432,3
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,30.4854,8.3672,3,29.0242,4.9344,7
1,2020-02,2,02_ACC_COGS,Expense,10.0,0.0,0,20.8101,3.5379,4
1,2020-02,3,03_ACC_Cash,Asset,24.3244,3.7039,0,22.6643,3.7929,1
1,2020-02,4,04_ACC_Inventory,Asset,18.5,8.5,2,25.7553,4.3786,0
1,2020-02,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,42.5067,2.4021,3
1,2020-02,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,49.2394,0.8188,3
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,35.9126,8.5,1,49.99,0.0,0
1,2020-02,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,48.5984,1.1076,3
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,49.9748,0.1328,1
1,2020-02,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,21.6027,1
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,30.5616,8.4591,3,0.0,-14.4469,3
2,2020-03,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,57.5933,1
2,2020-03,3,03_ACC_Cash,Asset,24.2587,3.6621,0,0.0,-29.211,1
2,2020-03,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-109.4934,1
2,2020-03,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-225.4265,1
2,2020-03,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0,-175.8813,1
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,35.9774,8.5,1,0.0,-19.8474,1
2,2020-03,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,-107.6645,1
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0006,1694.7002,1
2,2020-03,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,-44.0751,3
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,32.2147,8.5,3,0.0,-21.6704,3
3,2020-04,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,-94.7265,3
3,2020-04,3,03_ACC_Cash,Asset,26.1349,4.8553,0,0.0,-6.4841,0
3,2020-04,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-19.517,3
3,2020-04,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0001,233.838,7
3,2020-04,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0,150.1804,3
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,37.3825,8.5,1,0.0,-17.8125,3
3,2020-04,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,67.9257,3
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0021,1478.8329,3
3,2020-04,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0001,-34.1479,8
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,34.1799,8.5,3,0.0001,23.238,8
4,2020-05,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0001,-33.9662,8
4,2020-05,3,03_ACC_Cash,Asset,28.447,6.3256,0,0.0003,-50.034,5
4,2020-05,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-9.3182,8
4,2020-05,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-10.1305,8
4,2020-05,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0002,35.4979,8
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,39.0529,8.5,1,0.0,11.6935,8
4,2020-05,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,-9.9379,5
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,1.615,-3551.3866,8
4,2020-05,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0001,-25.1477,8
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,30.5664,8.5,3,0.0001,18.6517,8
5,2020-06,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0001,-28.8673,8
5,2020-06,3,03_ACC_Cash,Asset,24.1958,3.6221,0,0.0005,55.4791,8
5,2020-06,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-8.9434,8
5,2020-06,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-10.4277,8
5,2020-06,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0002,34.2932,8
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,35.9815,8.5,1,0.0,11.4798,8
5,2020-06,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,-9.8555,5
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,1.3227,-2769.3331,8
5,2020-06,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,-10.7395,8
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,32.9043,8.5,3,0.0,-11.9326,2
6,2020-07,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0001,17.8883,8
6,2020-07,3,03_ACC_Cash,Asset,26.9463,5.3713,0,0.0,-10.44,8
6,2020-07,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-10.8853,8
6,2020-07,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-9.8885,8
6,2020-07,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0002,32.3827,8
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,37.9687,8.5,1,0.0,13.5764,8
6,2020-07,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,9.1758,2
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.1146,-707.5943,8
6,2020-07,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0003,-14.6732,8
