t_idx,src_idx,tgt_idx,value
0,0,1,55952.86
0,2,3,18973.66
0,2,4,6683.35
0,2,5,6181.45
0,1,6,53801.35
0,7,8,95968.3
1,0,1,42491.61
1,8,2,24552.01
1,8,9,166.57999999999993
1,2,0,11648.77
1,2,3,18245.21
1,2,4,5368.76
1,2,5,7980.12
1,1,6,64416.81
1,7,8,116246.21
2,0,1,45747.05
2,8,2,77272.73
2,8,9,340.01
2,2,0,44221.770000000004
2,2,3,14782.04
2,2,4,5803.61
2,2,5,8343.59
2,1,6,55485.03
2,7,8,100458.77
3,0,1,59585.880000000005
3,8,2,107625.72
3,2,0,33614.21
3,2,3,18834.01
3,2,4,5305.31
3,2,5,10112.02
3,1,6,28712.36
3,7,8,50480.48
4,0,1,48149.3
4,8,2,94978.71
4,2,0,67695.89
4,2,3,18155.0
4,2,4,4705.11
4,2,5,8852.29
4,1,6,25013.8
4,7,8,45351.38
5,0,1,53632.43
5,8,2,62102.98
5,2,0,57321.99
5,2,3,18066.68
5,2,4,5224.12
5,2,5,7490.93
5,1,6,29433.32
5,7,8,54879.67
6,0,1,63767.55
6,8,2,45828.76
6,2,0,49118.47
6,2,3,20722.72
6,2,4,6658.59
6,2,5,6590.42
6,1,6,61866.13
6,7,8,111667.96
7,0,1,49471.29
7,8,2,68191.22
7,2,0,27722.04
7,2,3,18876.79
7,2,4,4943.7
7,2,5,10580.58
7,1,6,69481.38
7,7,8,124227.22
8,0,1,61487.57
8,8,2,105374.81
8,2,0,77983.54
8,2,3,21170.519999999997
8,2,4,3356.24
8,2,5,9483.42
8,1,6,51616.33
8,7,8,95107.68
9,0,1,48174.66
9,8,2,112348.06999999999
9,2,0,49768.66
9,2,3,18513.78
9,2,4,6428.78
9,2,5,7906.78
9,1,6,31780.1
9,7,8,56232.85
10,0,1,47318.0
10,8,2,101319.18
10,8,9,906.29
10,2,0,63964.67
10,2,3,17692.5
10,2,4,5978.88
10,2,5,7946.75
10,1,6,25578.54
10,7,8,46444.07
11,0,1,50971.77
11,8,2,42135.07
11,2,0,45911.87
11,2,3,16938.43
11,2,4,1553.29
11,2,5,7974.37
11,1,6,32766.88
11,7,8,58092.97
