Trans_Date,Src,Tgt,Amount
2020-W01,ACC_Accounts_Payable,ACC_Inventory,7765.85
2020-W01,ACC_Cash,ACC_Travel_Exp,1577.3
2020-W01,ACC_Inventory,ACC_COGS,5839.62
2020-W01,ACC_Sales_Revenue,ACC_Accounts_Receivable,11688.16
2020-W02,ACC_Accounts_Payable,ACC_Inventory,6942.29
2020-W02,ACC_Cash,ACC_Travel_Exp,940.0
2020-W02,ACC_Inventory,ACC_COGS,10581.97
2020-W02,ACC_Sales_Revenue,ACC_Accounts_Receivable,18504.48
2020-W03,ACC_Accounts_Payable,ACC_Inventory,9003.53
2020-W03,ACC_Cash,ACC_Travel_Exp,476.49
2020-W03,ACC_Inventory,ACC_COGS,13742.18
2020-W03,ACC_Sales_Revenue,ACC_Accounts_Receivable,23979.2
2020-W04,ACC_Accounts_Payable,ACC_Inventory,7197.72
2020-W04,ACC_Cash,ACC_Payroll_Exp,18973.66
2020-W04,ACC_Cash,ACC_Rent_Exp,6683.35
2020-W04,ACC_Cash,ACC_Travel_Exp,1940.7199999999998
2020-W04,ACC_Inventory,ACC_COGS,13011.32
2020-W04,ACC_Sales_Revenue,ACC_Accounts_Receivable,24510.13
2020-W05,ACC_Accounts_Payable,ACC_Inventory,6392.52
2020-W05,ACC_Cash,ACC_Travel_Exp,2409.76
2020-W05,ACC_Inventory,ACC_COGS,14224.42
2020-W05,ACC_Sales_Revenue,ACC_Accounts_Receivable,25700.15
2020-W06,ACC_Accounts_Payable,ACC_Inventory,7142.84
2020-W06,ACC_Accounts_Receivable,ACC_Cash,2873.47
2020-W06,ACC_Cash,ACC_Travel_Exp,1662.67
2020-W06,ACC_Inventory,ACC_COGS,15098.89
2020-W06,ACC_Sales_Revenue,ACC_Accounts_Receivable,27839.6
2020-W07,ACC_Accounts_Payable,ACC_Inventory,6132.73
2020-W07,ACC_Accounts_Receivable,ACC_Cash,8461.33
2020-W07,ACC_Cash,ACC_Travel_Exp,1016.6600000000001
2020-W07,ACC_Inventory,ACC_COGS,16395.19
2020-W07,ACC_Sales_Revenue,ACC_Accounts_Receivable,29035.09
2020-W08,ACC_Accounts_Payable,ACC_Inventory,7073.07
2020-W08,ACC_Accounts_Receivable,ACC_Cash,7441.53
2020-W08,ACC_Cash,ACC_Accounts_Payable,6942.29
2020-W08,ACC_Cash,ACC_Travel_Exp,1455.1000000000001
2020-W08,ACC_Inventory,ACC_COGS,15745.36
2020-W08,ACC_Sales_Revenue,ACC_Accounts_Receivable,26896.32
2020-W09,ACC_Accounts_Payable,ACC_Inventory,7979.1
2020-W09,ACC_Accounts_Receivable,ACC_Cash,8849.89
2020-W09,ACC_Cash,ACC_Payroll_Exp,18245.21
2020-W09,ACC_Cash,ACC_Rent_Exp,5368.76
2020-W09,ACC_Cash,ACC_Travel_Exp,1269.1499999999999
2020-W09,ACC_Inventory,ACC_COGS,15846.23
2020-W09,ACC_Sales_Revenue,ACC_Accounts_Receivable,28035.54
2020-W10,ACC_Accounts_Payable,ACC_Inventory,7177.78
2020-W10,ACC_Accounts_Receivable,ACC_Cash,12148.64
2020-W10,ACC_Cash,ACC_Accounts_Payable,7765.85
2020-W10,ACC_Cash,ACC_Travel_Exp,3521.41
2020-W10,ACC_Inventory,ACC_COGS,12345.02
2020-W10,ACC_Sales_Revenue,ACC_Accounts_Receivable,22433.93
2020-W11,ACC_Accounts_Payable,ACC_Inventory,7232.65
2020-W11,ACC_Accounts_Receivable,ACC_Cash,18457.07
2020-W11,ACC_Cash,ACC_Accounts_Payable,6392.52
2020-W11,ACC_Cash,ACC_Travel_Exp,3147.68
2020-W11,ACC_Inventory,ACC_COGS,14778.55
2020-W11,ACC_Sales_Revenue,ACC_Accounts_Receivable,27310.23
2020-W12,ACC_Accounts_Payable,ACC_Inventory,8120.3
2020-W12,ACC_Accounts_Receivable,ACC_Cash,12718.14
2020-W12,ACC_Cash,ACC_Accounts_Payable,7073.07
2020-W12,ACC_Cash,ACC_Travel_Exp,1726.74
2020-W12,ACC_Inventory,ACC_COGS,13687.72
2020-W12,ACC_Sales_Revenue,ACC_Accounts_Receivable,25087.29
2020-W13,ACC_Accounts_Payable,ACC_Inventory,7967.31
