t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,2020-W01,0,ACC_Accounts_Payable,-7765.85,-7765.85,0.0,7765.85,0.0,0.0
0,2020-W01,1,ACC_Inventory,12926.66,1926.23,0.0,12926.66,0.0,0.0
0,2020-W01,2,ACC_Cash,33999.77,-1577.3,0.0,33999.77,0.0,0.0
0,2020-W01,3,ACC_Travel_Exp,1577.3,1577.3,0.0,1577.3,0.0,0.0
0,2020-W01,4,ACC_COGS,5839.62,5839.62,0.0,5839.62,0.0,0.0
0,2020-W01,5,ACC_Sales_Revenue,-11688.16,-11688.16,0.0,11688.16,0.0,0.0
0,2020-W01,6,ACC_Accounts_Receivable,11688.16,11688.16,0.0,11688.16,0.0,0.0
0,2020-W01,7,ACC_Payroll_Exp,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-W01,8,ACC_Rent_Exp,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-W01,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-W02,0,ACC_Accounts_Payable,-14708.14,-6942.29,823.56,11236.995,0.0024,9254322.743
1,2020-W02,1,ACC_Inventory,9286.98,-3639.68,-5565.91,11106.82,0.0004,-61819561.814
1,2020-W02,2,ACC_Cash,33059.77,-940.0,637.3,33529.77,0.0031,21368519.4711
1,2020-W02,3,ACC_Travel_Exp,2517.3,940.0,-637.3,2047.3,0.0031,-1304741.3401
1,2020-W02,4,ACC_COGS,16421.59,10581.97,4742.35,11130.605,0.0004,52785229.0845
1,2020-W02,5,ACC_Sales_Revenue,-30192.64,-18504.48,-6816.32,20940.4,0.0003,-142736472.7575
1,2020-W02,6,ACC_Accounts_Receivable,30192.64,18504.48,6816.32,20940.4,0.0003,142736472.7575
1,2020-W02,7,ACC_Payroll_Exp,0.0,0.0,0.0,0.0,0.0077,0.0
1,2020-W02,8,ACC_Rent_Exp,0.0,0.0,0.0,0.0,0.0077,0.0
1,2020-W02,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0077,0.0
2,2020-W03,0,ACC_Accounts_Payable,-23711.67,-9003.53,-2061.24,15395.22,0.0012,-31733253.901
2,2020-W03,1,ACC_Inventory,4548.33,-4738.65,-1098.97,8920.6567,0.0003,-9803535.6812
2,2020-W03,2,ACC_Cash,32583.28,-476.49,463.51,33214.2733,0.0022,15395146.7768
2,2020-W03,3,ACC_Travel_Exp,2993.79,476.49,-463.51,2362.7967,0.0022,-1095178.8271
2,2020-W03,4,ACC_COGS,30163.77,13742.18,3160.21,17474.9933,0.0003,55224652.9133
2,2020-W03,5,ACC_Sales_Revenue,-54171.84,-23979.2,-5474.72,32017.5467,0.0002,-175287107.8563
2,2020-W03,6,ACC_Accounts_Receivable,54171.84,23979.2,5474.72,32017.5467,0.0002,175287107.8563
2,2020-W03,7,ACC_Payroll_Exp,0.0,0.0,0.0,0.0,0.0056,0.0
2,2020-W03,8,ACC_Rent_Exp,0.0,0.0,0.0,0.0,0.0056,0.0
2,2020-W03,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0056,0.0
3,2020-W04,0,ACC_Accounts_Payable,-30909.39,-7197.72,1805.81,19273.7625,0.0013,34804744.0043
3,2020-W04,1,ACC_Inventory,-1265.27,-5813.6,-1074.95,7006.81,0.0003,-7531972.3583
3,2020-W04,2,ACC_Cash,4985.55,-27597.73,-27121.24,26157.0925,0.0001,-709412785.7894
3,2020-W04,3,ACC_Travel_Exp,4934.51,1940.72,1464.23,3005.725,0.0018,4401076.1508
3,2020-W04,4,ACC_COGS,43175.09,13011.32,-730.86,23900.0175,0.0003,-17467562.5796
3,2020-W04,5,ACC_Sales_Revenue,-78681.97,-24510.13,-530.93,43683.6525,0.0002,-23192966.3594
3,2020-W04,6,ACC_Accounts_Receivable,78681.97,24510.13,530.93,43683.6525,0.0002,23192966.3594
3,2020-W04,7,ACC_Payroll_Exp,18973.66,18973.66,18973.66,4743.415,0.0001,89999945.7583
3,2020-W04,8,ACC_Rent_Exp,6683.35,6683.35,6683.35,1670.8375,0.0003,11166794.115
3,2020-W04,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0025,0.0
4,2020-W05,0,ACC_Accounts_Payable,-37301.91,-6392.52,805.2,22879.392,0.0011,18422479.2484
4,2020-W05,1,ACC_Inventory,-9097.17,-7831.9,-2018.3,7424.882,0.0003,-14985641.7289
4,2020-W05,2,ACC_Cash,2575.79,-2409.76,25187.97,21440.832,0.0001,540051032.9619
4,2020-W05,3,ACC_Travel_Exp,7344.27,2409.76,469.04,3873.434,0.0014,1816798.9731
4,2020-W05,4,ACC_COGS,57399.51,14224.42,1213.1,30599.916,0.0003,37120762.7091
4,2020-W05,5,ACC_Sales_Revenue,-104382.12,-25700.15,-1190.02,55823.346,0.0002,-66430903.132
4,2020-W05,6,ACC_Accounts_Receivable,104382.12,25700.15,1190.02,55823.346,0.0002,66430903.132
4,2020-W05,7,ACC_Payroll_Exp,18973.66,0.0,-18973.66,7589.464,0.0001,-143999909.5182
4,2020-W05,8,ACC_Rent_Exp,6683.35,0.0,-6683.35,2673.34,0.0004,-17866866.889
4,2020-W05,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0026,0.0
5,2020-W06,0,ACC_Accounts_Payable,-44444.75,-7142.84,-750.32,26473.6183,0.0012,-19863694.0165
5,2020-W06,1,ACC_Inventory,-17053.22,-7956.05,-124.15,9029.605,0.0003,-1121027.8473
5,2020-W06,2,ACC_Cash,3786.59,1210.8,3620.56,18498.4583,0.0001,66974778.424
5,2020-W06,3,ACC_Travel_Exp,9006.94,1662.67,-747.09,4729.0183,0.0016,-3532999.6862
5,2020-W06,4,ACC_COGS,72498.4,15098.89,874.47,37582.9967,0.0003,32865207.9294
5,2020-W06,5,ACC_Sales_Revenue,-132221.72,-27839.6,-2139.45,68556.4083,0.0002,-146673012.9409
5,2020-W06,6,ACC_Accounts_Receivable,129348.25,24966.13,-734.02,68077.4967,0.0002,-49970239.1115
5,2020-W06,7,ACC_Payroll_Exp,18973.66,0.0,0.0,9486.83,0.0001,0.0
5,2020-W06,8,ACC_Rent_Exp,6683.35,0.0,0.0,3341.675,0.0004,0.0
5,2020-W06,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0026,0.0
6,2020-W07,0,ACC_Accounts_Payable,-50577.48,-6132.73,1010.11,29917.0271,0.0011,30219481.3236
6,2020-W07,1,ACC_Inventory,-27315.68,-10262.46,-2306.41,11641.9014,0.0003,-26851000.6829
6,2020-W07,2,ACC_Cash,11231.26,7444.67,6233.87,17460.2871,0.0001,108845160.9337
6,2020-W07,3,ACC_Travel_Exp,10023.6,1016.66,-646.01,5485.3871,0.0016,-3543613.2853
6,2020-W07,4,ACC_COGS,88893.59,16395.19,1296.3,44913.0814,0.0003,58220832.4826
6,2020-W07,5,ACC_Sales_Revenue,-161256.81,-29035.09,-1195.49,81799.3229,0.0002,-97790277.679
6,2020-W07,6,ACC_Accounts_Receivable,149922.01,20573.76,-4392.37,79769.57,0.0002,-350377461.75
6,2020-W07,7,ACC_Payroll_Exp,18973.66,0.0,0.0,10842.0914,0.0002,0.0
6,2020-W07,8,ACC_Rent_Exp,6683.35,0.0,0.0,3819.0571,0.0004,0.0
6,2020-W07,9,UNKNOWN_LEAK,0.0,0.0,0.0,0.0,0.0026,0.0
7,2020-W08,0,ACC_Accounts_Payable,-50708.26,-130.78,6001.95,32515.9313,0.0004,195158993.5133
7,2020-W08,1,ACC_Inventory,-35987.97,-8672.29,1590.17,14685.16,0.0003,23351898.4531
7,2020-W08,2,ACC_Cash,10275.4,-955.86,-8400.53,16562.1762,0.0001,-139131058.5522
