t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-W01,0,ACC_Accounts_Payable,11648.77,-0.0,0.0,0.0
0,2020-W01,1,ACC_Inventory,16809.58,-0.0,0.0,0.0
0,2020-W01,2,ACC_Cash,33999.77,-0.0,0.0,0.0
0,2020-W01,3,ACC_Travel_Exp,1577.3,-0.0,0.0,0.0
0,2020-W01,4,ACC_COGS,5839.62,-0.0,0.0,0.0
0,2020-W01,5,ACC_Sales_Revenue,11688.16,-0.0,0.0,0.0
0,2020-W01,6,ACC_Accounts_Receivable,11688.16,-0.0,0.0,0.0
0,2020-W01,7,ACC_Payroll_Exp,0.0,-0.0,0.0,0.0
0,2020-W01,8,ACC_Rent_Exp,0.0,-0.0,0.0,0.0
0,2020-W01,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
1,2020-W02,0,ACC_Accounts_Payable,22062.2,-0.0,617.67,2371.175
1,2020-W02,1,ACC_Inventory,16641.04,-0.0,2988.845,-2988.845
1,2020-W02,2,ACC_Cash,33059.77,-0.0,318.65,0.0
1,2020-W02,3,ACC_Travel_Exp,2517.3,-0.0,318.65,0.0
1,2020-W02,4,ACC_COGS,16421.59,-0.0,2371.175,617.67
1,2020-W02,5,ACC_Sales_Revenue,30192.64,-0.0,3408.16,0.0
1,2020-W02,6,ACC_Accounts_Receivable,30192.64,-0.0,3408.16,0.0
1,2020-W02,7,ACC_Payroll_Exp,0.0,-0.0,0.0,0.0
1,2020-W02,8,ACC_Rent_Exp,0.0,-0.0,0.0,0.0
1,2020-W02,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
2,2020-W03,0,ACC_Accounts_Payable,35567.5,-0.0,1270.7141,1563.4412
2,2020-W03,1,ACC_Inventory,16404.16,-0.0,2834.1553,-1149.9091
2,2020-W03,2,ACC_Cash,32583.28,-0.0,451.2668,0.0
2,2020-W03,3,ACC_Travel_Exp,2993.79,-0.0,451.2668,0.0
2,2020-W03,4,ACC_COGS,30163.77,-0.0,3247.6875,-413.5322
2,2020-W03,5,ACC_Sales_Revenue,54171.84,-0.0,5027.7501,0.0
2,2020-W03,6,ACC_Accounts_Receivable,54171.84,-0.0,5027.7501,0.0
2,2020-W03,7,ACC_Payroll_Exp,0.0,-0.0,0.0,0.0
2,2020-W03,8,ACC_Rent_Exp,0.0,-0.0,0.0,0.0
2,2020-W03,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
3,2020-W04,0,ACC_Accounts_Payable,46364.08,-0.0,1192.2307,1815.8169
3,2020-W04,1,ACC_Inventory,14189.42,-0.0,3008.0476,-1733.593
3,2020-W04,2,ACC_Cash,4985.55,1.1364,11524.6794,-22899.08
3,2020-W04,3,ACC_Travel_Exp,4934.51,-0.0,565.1471,10959.5324
3,2020-W04,4,ACC_COGS,43175.09,-0.0,3090.2715,-82.2239
3,2020-W04,5,ACC_Sales_Revenue,78681.97,-0.0,5173.5933,0.0
3,2020-W04,6,ACC_Accounts_Receivable,78681.97,-0.0,5173.5933,0.0
3,2020-W04,7,ACC_Payroll_Exp,18973.66,-0.0,8215.8358,3308.8437
3,2020-W04,8,ACC_Rent_Exp,6683.35,-0.0,2893.9754,8630.704
3,2020-W04,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
4,2020-W05,0,ACC_Accounts_Payable,55952.86,-0.0,1333.6287,2124.88
4,2020-W05,1,ACC_Inventory,9553.78,-0.0,3458.5087,-2497.4664
4,2020-W05,2,ACC_Cash,2575.79,-0.0,10518.7762,-9828.2409
4,2020-W05,3,ACC_Travel_Exp,7344.27,-0.0,690.5353,9828.2409
4,2020-W05,4,ACC_COGS,57399.51,-0.0,3085.9224,372.5864
4,2020-W05,5,ACC_Sales_Revenue,104382.12,-0.0,5218.2312,0.0
4,2020-W05,6,ACC_Accounts_Receivable,104382.12,-0.0,5218.2312,0.0
4,2020-W05,7,ACC_Payroll_Exp,18973.66,-0.0,7589.464,0.0
4,2020-W05,8,ACC_Rent_Exp,6683.35,-0.0,2673.34,0.0
4,2020-W05,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
5,2020-W06,0,ACC_Accounts_Payable,66667.12,-0.0,1230.3041,2269.6512
5,2020-W06,1,ACC_Inventory,5211.05,-0.0,3499.9553,-2653.0499
5,2020-W06,2,ACC_Cash,2088.54,-0.0,9868.8396,-13950.8294
5,2020-W06,3,ACC_Travel_Exp,10070.17,-0.0,785.3873,9083.4523
5,2020-W06,4,ACC_COGS,72456.5,-0.0,3116.5566,383.3987
5,2020-W06,5,ACC_Sales_Revenue,132221.72,-0.0,5424.5512,-423.0887
5,2020-W06,6,ACC_Accounts_Receivable,129348.25,0.7619,5001.4625,525.5867
5,2020-W06,7,ACC_Payroll_Exp,18973.66,-0.0,7071.0656,0.0
5,2020-W06,8,ACC_Rent_Exp,6683.35,-0.0,2490.7375,0.0
5,2020-W06,9,UNKNOWN_LEAK,634.82,-0.0,236.5834,4764.8791
6,2020-W07,0,ACC_Accounts_Payable,75866.22,-0.0,1321.0206,2505.4836
6,2020-W07,1,ACC_Inventory,1570.17,-0.0,3826.5042,-3139.5181
6,2020-W07,2,ACC_Cash,7718.93,-0.0,9943.4894,-14412.2397
6,2020-W07,3,ACC_Travel_Exp,12901.11,-0.0,831.4925,9111.9969
6,2020-W07,4,ACC_COGS,88436.82,-0.0,3192.4696,634.0346
6,2020-W07,5,ACC_Sales_Revenue,161256.81,-0.0,5587.386,-944.1394
6,2020-W07,6,ACC_Accounts_Receivable,149922.01,-0.0,4643.2466,6244.3822
6,2020-W07,7,ACC_Payroll_Exp,18973.66,-0.0,6639.3979,0.0
6,2020-W07,8,ACC_Rent_Exp,6683.35,-0.0,2338.6853,0.0
6,2020-W07,9,UNKNOWN_LEAK,634.82,-0.0,222.1407,0.0
7,2020-W08,0,ACC_Accounts_Payable,76062.39,-0.0,3730.0927,5514.7329
7,2020-W08,1,ACC_Inventory,5622.8,-0.0,3656.3568,-521.9197
7,2020-W08,2,ACC_Cash,2024.11,0.7363,9318.5615,-19003.5548
